Held-out typology,Detector,Method,AUPRC,Δ vs no aug.
integration,lightgbm,No aug.,1.74e-04 ± 2.7e-05,
integration,lightgbm,Random feasible,1.47e-04 ± 2.7e-05,-0.000
integration,lightgbm,Hard projected,1.16e-04 ± 1.7e-05,-0.000
integration,lightgbm,Plausible hard,1.30e-04 ± 2.9e-05,-0.000
integration,lightgbm,Curriculum projected,1.10e-04 ± 1.7e-05,-0.000
integration,lightgbm,Typology projected,1.19e-04 ± 1.5e-05,-0.000
integration,lightgbm,Plausible typology,1.25e-04 ± 2.9e-05,-0.000
integration,xgboost,No aug.,3.01e-04 ± 3.1e-05,
integration,xgboost,Random feasible,2.83e-04 ± 5.2e-05,-0.000
integration,xgboost,Hard projected,4.18e-04 ± 7.9e-05,+0.000
integration,xgboost,Plausible hard,6.57e-04 ± 6.3e-05,+0.000
integration,xgboost,Curriculum projected,3.25e-04 ± 3.5e-05,+0.000
integration,xgboost,Typology projected,4.36e-04 ± 4.8e-05,+0.000
integration,xgboost,Plausible typology,5.51e-04 ± 1.8e-04,+0.000
structuring,lightgbm,No aug.,0.618 ± 0.041,
structuring,lightgbm,Random feasible,0.593 ± 0.022,-0.026
structuring,lightgbm,Hard projected,0.390 ± 0.003,-0.228
structuring,lightgbm,Plausible hard,0.386 ± 0.003,-0.232
structuring,lightgbm,Curriculum projected,0.387 ± 0.006,-0.231
structuring,lightgbm,Typology projected,0.386 ± 0.002,-0.233
structuring,lightgbm,Plausible typology,0.386 ± 0.002,-0.233
structuring,xgboost,No aug.,0.625 ± 0.029,
structuring,xgboost,Random feasible,0.709 ± 0.037,+0.084
structuring,xgboost,Hard projected,0.387 ± 0.006,-0.237
structuring,xgboost,Plausible hard,0.393 ± 0.005,-0.232
structuring,xgboost,Curriculum projected,0.386 ± 0.007,-0.239
structuring,xgboost,Typology projected,0.386 ± 0.004,-0.239
structuring,xgboost,Plausible typology,0.392 ± 0.007,-0.233
