augmentation,auprc,auroc,brier,dataset,detector,ece,f1,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr
full,0.24924769403282201,0.9444385242735601,0.004578213878525,transxion,lightgbm,0.010623311291489001,0.27163297751533,,1,0.334797153589288,0.17080834047415,0.354767184035476,0.669623059866962,0.707317073170731,0.5,0,902,4440,1818982,24.35831093788147,0.327928171014205,0.9466833413302511,0.004130911460515,0.009833441558754001,0.277626024335733,0.349965232064797,779,0.17210591133004902,0.406931964056482,0.7304236200256741,0.7753530166880611
full,0.261567147078675,0.9375261037934111,0.0044916827709900005,transxion,lightgbm,0.010366833541798001,0.279520295202952,,1,0.342647421707638,0.17647058823529402,0.373614190687361,0.676274944567627,0.728381374722838,0.5,1,902,4440,1818982,24.738682985305786,0.313378133003255,0.9493422387926431,0.004035363814581,0.009589516985864,0.28955375253549703,0.362235413993361,779,0.18041074249605002,0.40179717586649505,0.7432605905006411,0.788189987163029
full,0.24598954095142903,0.92706068826735,0.004487793586081,transxion,lightgbm,0.010416862427392001,0.274936357324693,,1,0.33654898790360305,0.173735010236911,0.36363636363636304,0.6596452328159641,0.70620842572062,0.5,2,902,4440,1818982,25.132599115371704,0.3161714299873,0.948148770018668,0.0040409572992670005,0.00961199610807,0.28644370691856,0.35738787684254103,779,0.17877629063097503,0.39922978177150104,0.73170731707317,0.772785622593068
no_ledger_projection,0.26228381028539705,0.9424990106820821,0.004417476255361001,transxion,lightgbm,0.01105499945293,0.28618190320317904,,1,0.34911405970027104,0.181333333333333,0.379157427937915,0.6829268292682921,0.7272727272727271,0.5,0,902,4440,1818982,24.848906755447388,0.320409404040122,0.9507079979966381,0.003958703126271001,0.01019745009596,0.29660574412532603,0.367049150623908,779,0.18616846935431,0.40821566110397906,0.740693196405648,0.786906290115532
no_ledger_projection,0.26215615399817804,0.944929045038402,0.003925380408371,transxion,lightgbm,0.009408926591149001,0.313817330210772,,1,0.36870719064163604,0.20503230193811603,0.37804878048780405,0.6862527716186251,0.728381374722838,0.5,1,902,4440,1818982,24.747864723205566,0.309736311546551,0.947613147847272,0.0035015920124760003,0.008661195930671,0.32282110091743105,0.38627122810109005,779,0.20782576596530003,0.39922978177150104,0.7496790757381251,0.788189987163029
no_ledger_projection,0.248563371640438,0.9339127952121211,0.0041739724754780005,transxion,lightgbm,0.009952270050559,0.29542097488921704,,1,0.35378931752497805,0.18987341772151903,0.365853658536585,0.676274944567627,0.721729490022172,0.5,2,902,4440,1818982,25.04267168045044,0.309303291429305,0.9497785606415711,0.0037625767423910004,0.009232921327249,0.30810957417954904,0.37604356645323606,779,0.19532324621733102,0.39794608472400506,0.7509627727856221,0.781771501925545
no_adversarial_selection,0.24779044383052,0.9242406465417461,0.004023370716995,transxion,lightgbm,0.009003651106165,0.295806861499364,,1,0.35027898878380104,0.19188921859545002,0.364745011086474,0.661862527716186,0.7039911308203991,0.5,0,902,4440,1818982,23.964305877685547,0.31906013610843403,0.9432801136518111,0.003620261396897,0.008398862184074,0.310163389642758,0.375695709006622,779,0.19774011299435001,0.40564826700898504,0.734274711168164,0.772785622593068
no_adversarial_selection,0.261700229008755,0.941692610833552,0.004065783672726001,transxion,lightgbm,0.008961293512765001,0.29577464788732305,,1,0.35152538011348605,0.19128171763175,0.371396895787139,0.6607538802660751,0.7161862527716181,0.5,1,902,4440,1818982,24.72313666343689,0.323815274473435,0.9488238760034211,0.003652589167154,0.008334216168933001,0.30955659597906904,0.37571081994328603,779,0.197054698457223,0.40564826700898504,0.7381258023106541,0.781771501925545
no_adversarial_selection,0.253028866355542,0.9436079953455171,0.004119264813717,transxion,lightgbm,0.009366084626077001,0.289078156312625,,1,0.343993789413142,0.18673139158576002,0.36696230598669605,0.6674057649667401,0.7128603104212861,0.5,2,902,4440,1818982,22.930206775665283,0.319236771681203,0.9465072383483231,0.003637148356695,0.008612880167935,0.31279358938933405,0.379207712904768,779,0.199295774647887,0.41206675224646905,0.7419768934531451,0.779204107830551
no_profile,0.248385783490735,0.9436371606327251,0.004250214646811,transxion,lightgbm,0.009453448493758001,0.284344281946775,,1,0.343687057609086,0.181401040073416,0.36363636363636304,0.6707317073170731,0.720620842572062,0.5,0,902,4440,1818982,24.864840984344482,0.308873324215975,0.9492720216429891,0.003805251424461,0.008683956410948001,0.29898558462359803,0.366975594668465,779,0.188742837883383,0.394094993581514,0.7304236200256741,0.7766367137355581
no_profile,0.25794691477132703,0.9360279071442931,0.004681965910248,transxion,lightgbm,0.010879919354668002,0.26604485898290003,,1,0.33061717540963004,0.166342682588169,0.379157427937915,0.665188470066518,0.7150776053215071,0.5,1,902,4440,1818982,23.769242525100708,0.30849617714564603,0.9481867555107941,0.004187631076095,0.009993193475472001,0.28248587570621403,0.357620825305044,779,0.174665856622114,0.39537869062901104,0.7445442875481381,0.7843388960205391
no_profile,0.250180813475877,0.9363242113610301,0.0047351384522650005,transxion,lightgbm,0.011242743452487,0.26681465038845703,,1,0.33163785138421104,0.16680543991118502,0.35254988913525503,0.6674057649667401,0.717294900221729,0.5,2,902,4440,1818982,23.52034020423889,0.31185270077229904,0.9460962316743311,0.0042724225183100005,0.010368191089516001,0.281136198106336,0.35750581612146304,779,0.17335329341317302,0.40564826700898504,0.745827984595635,0.7843388960205391
no_temporal,0.24924769403282201,0.9444385242735601,0.004578213878525,transxion,lightgbm,0.010623311291489001,0.27163297751533,,1,0.334797153589288,0.17080834047415,0.354767184035476,0.669623059866962,0.707317073170731,0.5,0,902,4440,1818982,24.13686990737915,0.327928171014205,0.9466833413302511,0.004130911460515,0.009833441558754001,0.277626024335733,0.349965232064797,779,0.17210591133004902,0.406931964056482,0.7304236200256741,0.7753530166880611
no_temporal,0.261569725835875,0.9375261459450761,0.0044914943890820005,transxion,lightgbm,0.010366679125150002,0.27958477508650503,,1,0.34269788770838,0.176521992426449,0.373614190687361,0.676274944567627,0.728381374722838,0.5,1,902,4440,1818982,24.413572311401367,0.313378133003255,0.9493422387926431,0.004035363814581,0.009589516985864,0.28955375253549703,0.362235413993361,779,0.18041074249605002,0.40179717586649505,0.7432605905006411,0.788189987163029
no_temporal,0.24598954095142903,0.92706068826735,0.004487793586081,transxion,lightgbm,0.010416862427392001,0.274936357324693,,1,0.33654898790360305,0.173735010236911,0.36363636363636304,0.6596452328159641,0.70620842572062,0.5,2,902,4440,1818982,23.569433450698853,0.3161714299873,0.948148770018668,0.0040409572992670005,0.00961199610807,0.28644370691856,0.35738787684254103,779,0.17877629063097503,0.39922978177150104,0.73170731707317,0.772785622593068
amount_only,0.24924769403282201,0.9444385242735601,0.004578213878525,transxion,lightgbm,0.010623311291489001,0.27163297751533,,1,0.334797153589288,0.17080834047415,0.354767184035476,0.669623059866962,0.707317073170731,0.5,0,902,4440,1818982,24.33334517478943,0.327928171014205,0.9466833413302511,0.004130911460515,0.009833441558754001,0.277626024335733,0.349965232064797,779,0.17210591133004902,0.406931964056482,0.7304236200256741,0.7753530166880611
amount_only,0.261567147078675,0.9375261037934111,0.0044916827709900005,transxion,lightgbm,0.010366833541798001,0.279520295202952,,1,0.342647421707638,0.17647058823529402,0.373614190687361,0.676274944567627,0.728381374722838,0.5,1,902,4440,1818982,24.19685959815979,0.313378133003255,0.9493422387926431,0.004035363814581,0.009589516985864,0.28955375253549703,0.362235413993361,779,0.18041074249605002,0.40179717586649505,0.7432605905006411,0.788189987163029
amount_only,0.24598954095142903,0.92706068826735,0.004487793586081,transxion,lightgbm,0.010416862427392001,0.274936357324693,,1,0.33654898790360305,0.173735010236911,0.36363636363636304,0.6596452328159641,0.70620842572062,0.5,2,902,4440,1818982,24.572131395339966,0.3161714299873,0.948148770018668,0.0040409572992670005,0.00961199610807,0.28644370691856,0.35738787684254103,779,0.17877629063097503,0.39922978177150104,0.73170731707317,0.772785622593068
topology_only,0.262238306739806,0.944041074386283,0.0040481601028870004,transxion,lightgbm,0.009776916315190001,0.308356616713233,,1,0.365321364760239,0.2,0.370288248337028,0.687361419068736,0.7305986696230591,0.5,0,902,4440,1818982,23.979320287704468,0.31944417205616105,0.9390330008404051,0.003652412828289,0.009045441249612,0.31026785714285704,0.37480063137810404,779,0.198217468805704,0.404364569961489,0.7432605905006411,0.774069319640564
topology_only,0.260065599175168,0.9467119395347771,0.00403616380571,transxion,lightgbm,0.009437700722692,0.30624203821656004,,1,0.362407596337157,0.19880913000330702,0.375831485587583,0.6829268292682921,0.7272727272727271,0.5,1,902,4440,1818982,23.63059425354004,0.313445176527308,0.9494079835664371,0.0036104972546210003,0.008763403318076,0.316875871687587,0.38287387349809404,779,0.20242337847469702,0.39922978177150104,0.7496790757381251,0.7843388960205391
