dataset,augmentation,detector_hardness,detector_hardness,ledger_violation_rate,ledger_violation_rate,mean_flow_residual,mean_flow_residual,profile_drift,profile_drift,temporal_violation_rate,temporal_violation_rate,acceptance_rate,acceptance_rate
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
amlnet,amount_only,6.734250551313924e-08,6.399420661905537e-09,0.0,0.0,0.0,0.0,2.0906968380863096,0.031110323448894483,0.0,0.0,0.949152542372881,0.0
amlnet,full,6.734250551313924e-08,6.399420661905537e-09,0.0,0.0,0.0,0.0,2.0906968380863096,0.031110323448894483,0.0,0.0,0.949152542372881,0.0
amlnet,no_adversarial_selection,7.347579315926037e-08,1.2319431711824022e-08,0.0,0.0,0.0,0.0,2.1048267355853283,0.07820522427467959,0.0,0.0,0.949152542372881,0.0
amlnet,no_ledger_projection,6.734250551313924e-08,6.399420661905537e-09,0.9576271186440675,0.0018949728622878804,0.4123860772564434,0.00854923072706464,2.1038483093285874,0.032382157067372,0.02,0.0,0.04237288135593167,0.00189497286228786
amlnet,no_profile,6.734250551313924e-08,6.399420661905537e-09,0.0,0.0,0.0,0.0,2.0983876088344804,0.03245238108356186,0.0,0.0,1.0,0.0
amlnet,no_temporal,6.734250551313924e-08,6.399420661905537e-09,0.0,0.0,0.0,0.0,2.0906968380863096,0.031110323448894483,0.08,0.0,0.949152542372881,0.0
amlnet,random_feasible,7.347579315926037e-08,1.2319431711824022e-08,0.0,0.0,0.0,0.0,2.1048267355853283,0.07820522427467959,0.0,0.0,0.949152542372881,0.0
amlnet,topology_only,6.734250551313924e-08,6.399420661905537e-09,0.0,0.0,0.0,0.0,2.095183669862346,0.029560091297005646,0.0,0.0,0.949152542372881,0.0
transxion,amount_only,0.03628630657477067,0.0021252733506953387,0.0,0.0,0.0,0.0,0.5246609600137143,0.004171941469518061,0.0,0.0,0.9500000000000001,0.0
transxion,full,0.03628630657477067,0.0021252733506953387,0.0,0.0,0.0,0.0,0.5246609600137143,0.004171941469518061,0.0,0.0,0.9500000000000001,0.0
transxion,no_adversarial_selection,0.010439661950695336,0.0005351996883803073,0.0,0.0,0.0,0.0,0.5102036089865757,0.009785431351704,0.0,0.0,0.9500000000000001,0.0
transxion,no_ledger_projection,0.03628630657477084,0.002125273350695551,0.9565315315315311,0.0031012458519025614,0.397025282290606,0.003753066239099773,0.6482080397760311,0.0078738198877294,0.02,0.0,0.043468468468468004,0.0031012458519025575
transxion,no_profile,0.03628630657477067,0.0021252733506953387,0.0,0.0,0.0,0.0,0.6234612900992693,0.00702608137658305,0.0,0.0,1.0,0.0
transxion,no_temporal,0.03628630657477084,0.002125273350695551,0.0,0.0,0.0,0.0,0.5246609600137143,0.004171941469518061,0.08,0.0,0.9500000000000001,0.0
transxion,random_feasible,0.010439661950695336,0.0005351996883803073,0.0,0.0,0.0,0.0,0.5102036089865757,0.009785431351704,0.0,0.0,0.9500000000000001,0.0
transxion,topology_only,0.03628630657477067,0.0021252733506953387,0.0,0.0,0.0,0.0,0.5142573489355203,0.004230777427266051,0.0,0.0,0.9500000000000001,0.0
