augmentation,auprc,auroc,brier,dataset,detector,ece,f1,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr
random_graph,0.257227740087423,0.9400531547897271,0.00393647832137,transxion,lightgbm,0.009091883876942,0.30934699103713104,,1,0.36545323332653,0.201132201132201,0.364745011086474,0.684035476718403,0.721729490022172,0.5,0,902,4440,1818982,45.612618923187256,0.315887336166006,0.9426147119588921,0.003542368281909,0.008506186952277001,0.31626591230551604,0.380199021971995,779,0.20283018867924502,0.406931964056482,0.7483953786906291,0.79204107830552
random_graph,0.265880399701941,0.934964602057561,0.004106355580797001,transxion,lightgbm,0.009530463700985,0.30233141138129804,,1,0.35979544925704604,0.19533527696793002,0.373614190687361,0.684035476718403,0.7228381374722831,0.5,1,902,4440,1818982,39.23930525779724,0.322226007777343,0.9486279082894351,0.003622951621407,0.008797853892756,0.320377568017767,0.38779702401339405,779,0.20439249025859002,0.421052631578947,0.761232349165596,0.794608472400513
random_graph,0.268256776291736,0.9436631004011761,0.003992672478845,transxion,lightgbm,0.009303083300348,0.305696846388606,,1,0.36198450873381904,0.198349834983498,0.38580931263858004,0.6818181818181811,0.7305986696230591,0.5,2,902,4440,1818982,43.51599359512329,0.31245110955218103,0.950724975203295,0.0035605802701020005,0.008572235632699,0.31629483196837005,0.380466191227852,779,0.202751629254163,0.403080872913992,0.747111681643132,0.788189987163029
adv_no_projection,0.26228381028539705,0.9424990106820821,0.004417476255361001,transxion,lightgbm,0.01105499945293,0.28618190320317904,,1,0.34911405970027104,0.181333333333333,0.379157427937915,0.6829268292682921,0.7272727272727271,0.5,0,902,4440,1818982,38.320982456207275,0.320409404040122,0.9507079979966381,0.003958703126271001,0.01019745009596,0.29660574412532603,0.367049150623908,779,0.18616846935431,0.40821566110397906,0.740693196405648,0.786906290115532
adv_no_projection,0.26215615399817804,0.944929045038402,0.003925380408371,transxion,lightgbm,0.009408926591149001,0.313817330210772,,1,0.36870719064163604,0.20503230193811603,0.37804878048780405,0.6862527716186251,0.728381374722838,0.5,1,902,4440,1818982,82.48982858657837,0.309736311546551,0.947613147847272,0.0035015920124760003,0.008661195930671,0.32282110091743105,0.38627122810109005,779,0.20782576596530003,0.39922978177150104,0.7496790757381251,0.788189987163029
adv_no_projection,0.248563371640438,0.9339127952121211,0.0041739724754780005,transxion,lightgbm,0.009952270050559,0.29542097488921704,,1,0.35378931752497805,0.18987341772151903,0.365853658536585,0.676274944567627,0.721729490022172,0.5,2,902,4440,1818982,131.5348494052887,0.309303291429305,0.9497785606415711,0.0037625767423910004,0.009232921327249,0.30810957417954904,0.37604356645323606,779,0.19532324621733102,0.39794608472400506,0.7509627727856221,0.781771501925545
random_feasible,0.24779044383052,0.9242406465417461,0.004023370716995,transxion,lightgbm,0.009003651106165,0.295806861499364,,1,0.35027898878380104,0.19188921859545002,0.364745011086474,0.661862527716186,0.7039911308203991,0.5,0,902,4440,1818982,115.78206729888916,0.31906013610843403,0.9432801136518111,0.003620261396897,0.008398862184074,0.310163389642758,0.375695709006622,779,0.19774011299435001,0.40564826700898504,0.734274711168164,0.772785622593068
random_feasible,0.261700229008755,0.941692610833552,0.004065783672726001,transxion,lightgbm,0.008961293512765001,0.29577464788732305,,1,0.35152538011348605,0.19128171763175,0.371396895787139,0.6607538802660751,0.7161862527716181,0.5,1,902,4440,1818982,33.721091985702515,0.323815274473435,0.9488238760034211,0.003652589167154,0.008334216168933001,0.30955659597906904,0.37571081994328603,779,0.197054698457223,0.40564826700898504,0.7381258023106541,0.781771501925545
random_feasible,0.253028866355542,0.9436079953455171,0.004119264813716,transxion,lightgbm,0.009366084626076,0.289078156312625,,1,0.343993789413142,0.18673139158576002,0.36696230598669605,0.6674057649667401,0.7128603104212861,0.5,2,902,4440,1818982,32.0707221031189,0.319236771681203,0.9465072383483231,0.003637148356695,0.008612880167933,0.31279358938933405,0.379207712904768,779,0.199295774647887,0.41206675224646905,0.7419768934531451,0.779204107830551
ours,0.24924769403282201,0.9444385242735601,0.004578213878525,transxion,lightgbm,0.010623311291489001,0.27163297751533,,1,0.334797153589288,0.17080834047415,0.354767184035476,0.669623059866962,0.707317073170731,0.5,0,902,4440,1818982,39.215922832489014,0.327928171014205,0.9466833413302511,0.004130911460515,0.009833441558754001,0.277626024335733,0.349965232064797,779,0.17210591133004902,0.406931964056482,0.7304236200256741,0.7753530166880611
ours,0.261567147078675,0.9375261037934111,0.0044916827709900005,transxion,lightgbm,0.010366833541798001,0.279520295202952,,1,0.342647421707638,0.17647058823529402,0.373614190687361,0.676274944567627,0.728381374722838,0.5,1,902,4440,1818982,39.5359103679657,0.313378133003255,0.9493422387926431,0.004035363814581,0.009589516985863,0.28955375253549703,0.362235413993361,779,0.18041074249605002,0.40179717586649505,0.7432605905006411,0.788189987163029
ours,0.24598954095142903,0.92706068826735,0.004487793586081,transxion,lightgbm,0.010416862427392001,0.274936357324693,,1,0.33654898790360305,0.173735010236911,0.36363636363636304,0.6596452328159641,0.70620842572062,0.5,2,902,4440,1818982,44.49663424491882,0.3161714299873,0.948148770018668,0.0040409572992670005,0.00961199610807,0.28644370691856,0.35738787684254103,779,0.17877629063097503,0.39922978177150104,0.73170731707317,0.772785622593068
random_graph,0.120930422512733,0.9251451947108581,0.019494403215321,transxion,graphsage_lite,0.050075438461707006,0.093029792017987,,1,0.18740244723366,0.0496624156039,0.138580931263858,0.587583148558758,0.685144124168514,0.5,0,902,4440,1818982,67.88749694824219,0.129390989610453,0.939791968115779,0.02536953492317,0.063469537100227,0.063958965769915,0.157977334514389,779,0.033338789763736006,0.148908857509627,0.6071887034659821,0.7034659820282411
random_graph,0.12447984218888901,0.9205280991946131,0.023645207467658,transxion,graphsage_lite,0.06112691596848201,0.07434199543709301,,1,0.16624699311624103,0.039135274474192,0.14190687361419002,0.6308203991130821,0.6751662971175161,0.5,1,902,4440,1818982,60.65506100654602,0.126415033560092,0.9341371856104611,0.031350410851628,0.076033058106117,0.051559701803340005,0.141308262372268,779,0.026644283746556002,0.148908857509627,0.6264441591784331,0.6765083440308081
random_graph,0.11603722305619502,0.918334641061267,0.023521883944449002,transxion,graphsage_lite,0.072663785220515,0.08658743633276701,,1,0.180223628105443,0.046003330557868004,0.123059866962305,0.6374722838137471,0.6862527716186251,0.5,2,902,4440,1818982,54.83183717727661,0.12211751712516201,0.928066353339397,0.030165723216068002,0.083293704469714,0.05795459908443001,0.150047214521754,779,0.030083292503674003,0.12836970474967901,0.6277278562259301,0.704749679075738
adv_no_projection,0.11883240313104301,0.9194176062346221,0.015636660225335,transxion,graphsage_lite,0.040554276140136,0.113954525189478,,1,0.20639243905030602,0.061960632211771005,0.14190687361419002,0.5820399113082041,0.68070953436807,0.5,0,902,4440,1818982,53.88827705383301,0.12176274227781302,0.931822089312603,0.022331688620420002,0.05848685448909,0.071529527438087,0.164002580361178,779,0.037562927584871,0.14505776636713702,0.5879332477535301,0.680359435173299
adv_no_projection,0.092657082811381,0.9120705709269361,0.044784626490884,transxion,graphsage_lite,0.097532203215502,0.039002007456266,,1,0.11712780447384101,0.020018841262364,0.134146341463414,0.47782705099778205,0.644124168514412,0.5,1,902,4440,1818982,58.503767251968384,0.09158264645550601,0.928655463683379,0.052969679449043,0.109801369755624,0.030038139909506004,0.10597038115994101,779,0.015301443259159001,0.14505776636713702,0.5186136071887031,0.65982028241335
adv_no_projection,0.12391534897544501,0.9269213156178461,0.030038905478532003,transxion,graphsage_lite,0.07932952843698801,0.060752471704021004,,1,0.14988935522711402,0.031653535965689004,0.140798226164079,0.6529933481152991,0.7039911308203991,0.5,2,902,4440,1818982,62.419005155563354,0.12403537165802302,0.932240983110532,0.037108804878275004,0.089453362540079,0.043191826669015006,0.127553006040342,779,0.022205317684561,0.136071887034659,0.650834403080872,0.7098844672657251
random_feasible,0.11376525975081801,0.9024634421170321,0.019015760068805003,transxion,graphsage_lite,0.048069427034448005,0.092483047179339,,1,0.18394896324517002,0.049459876543209005,0.14301552106430102,0.568736141906873,0.6707317073170731,0.5,0,902,4440,1818982,89.72473978996277,0.12010908699752101,0.9308972548130521,0.023912159599273,0.059659584722314,0.066703724291272,0.16021222194502002,779,0.034861425832316,0.13992297817715002,0.603337612323491,0.7034659820282411
random_feasible,0.11578934182945601,0.9014060080242401,0.025829375679906,transxion,graphsage_lite,0.059941842467378006,0.06618544123627401,,1,0.153938777652378,0.034683004794885,0.13747228381374701,0.601995565410199,0.646341463414634,0.5,1,902,4440,1818982,111.60130143165588,0.12744122134016,0.9293612726981421,0.033432688874173,0.07439350941818301,0.047690704942701,0.135271317275541,779,0.024584294693293002,0.14762516046213,0.617458279845956,0.6675224646983311
random_feasible,0.111756040364893,0.9056227589333931,0.019782101737076,transxion,graphsage_lite,0.058912947278652004,0.095022965138167,,1,0.185359882541194,0.050973422732046005,0.119733924611973,0.6164079822616401,0.6674057649667401,0.5,2,902,4440,1818982,125.43656516075134,0.12225173604959401,0.9286251255720831,0.025547000299097,0.06942185013235201,0.066101036987744,0.158895350167315,779,0.034542714732815005,0.136071887034659,0.625160462130937,0.704749679075738
ours,0.11536887739514201,0.904810343309115,0.016298266422891002,transxion,graphsage_lite,0.036112764326333,0.09712989755220101,,1,0.18623435711170203,0.052250736222128,0.14301552106430102,0.6053215077605321,0.647450110864745,0.5,0,902,4440,1818982,64.78766822814941,0.12063268802820201,0.9259074761968241,0.024755796132866003,0.055214556204674005,0.05888634630053301,0.147023994072764,779,0.030657629990469,0.14762516046213,0.62002567394095,0.6752246469833121
ours,0.105112203606433,0.9039575977042981,0.038759755119611,transxion,graphsage_lite,0.078357534806962,0.043124596513879,,1,0.122826898808832,0.022208923465655003,0.12195121951219501,0.595343680709534,0.6385809312638581,0.5,1,902,4440,1818982,64.93155694007874,0.11522193852013402,0.927494716661251,0.043598200189021004,0.08566685854198801,0.035023508544722005,0.114378154863101,779,0.017904432930339,0.138639281129653,0.618741976893453,0.6688061617458281
