augmentation,auprc,auroc,brier,dataset,detector,ece,f1,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr
random_graph,0.2609439926828,0.9511573366557341,0.003528886808034,transxion,lightgbm,0.00839379203352,0.337190082644628,,1,0.38872069497578904,0.224340175953079,0.36363636363636304,0.7017738359201771,0.736141906873614,2,0,902,8880,1823422,24.36222505569458,0.29908378124351104,0.95008482715832,0.0031651311624040003,0.007780645349931001,0.344046525864707,0.402472434092815,779,0.22588424437299,0.403080872913992,0.761232349165596,0.7907573812580231
random_graph,0.264735760118886,0.943013376460865,0.0036234583473510004,transxion,lightgbm,0.008356583140657,0.331443994601889,,1,0.384700000042606,0.21905101676774802,0.375831485587583,0.70620842572062,0.739467849223946,2,1,902,8880,1823422,24.61984372138977,0.298893494585781,0.95243311939019,0.003234747982282,0.007699843336902001,0.33926954421974004,0.398775627809949,779,0.22178374112075702,0.403080872913992,0.7599486521181,0.7907573812580231
random_graph,0.269919862691744,0.9436467987026901,0.0036563358821010005,transxion,lightgbm,0.008383901346656,0.32119914346895,,1,0.37378757295138104,0.21171489061397303,0.382483370288248,0.6906873614190681,0.732815964523281,2,2,902,8880,1823422,25.044286489486694,0.312194637662824,0.9509942406597961,0.0032444192985510005,0.007750181766641001,0.334119033588685,0.396017205118598,779,0.216826003824091,0.40179717586649505,0.7599486521181,0.788189987163029
adv_no_projection,0.25557838429157903,0.940624711215273,0.004032468387035,transxion,lightgbm,0.010216340709326002,0.309330628803245,,1,0.366713605739914,0.200525969756738,0.371396895787139,0.6862527716186251,0.725055432372505,2,0,902,8880,1823422,24.64140772819519,0.310245624898412,0.9523183545764291,0.0036036560417670002,0.009453589388980001,0.323963261898135,0.39180872658282,779,0.20682302771855002,0.403080872913992,0.754813863928113,0.7894736842105261
adv_no_projection,0.25049983427135203,0.9434462539067081,0.0035799760498140005,transxion,lightgbm,0.008729525426321001,0.32899473829964,,1,0.37854404316973805,0.21926910299003302,0.36363636363636304,0.688470066518847,0.725055432372505,2,1,902,8880,1823422,25.251999139785767,0.29783343368066,0.9503622290291581,0.0031879015581550004,0.008108890770691001,0.34331093463653,0.40190330470873004,779,0.22525050100200403,0.377406931964056,0.7599486521181,0.786906290115532
adv_no_projection,0.24884995357264203,0.9378705067259171,0.004012446664852,transxion,lightgbm,0.010410963058080001,0.31401091759812805,,1,0.36906977777958305,0.20509337860780902,0.36696230598669605,0.685144124168514,0.7084257206208421,2,2,902,8880,1823422,26.071768283843994,0.31154882130946604,0.9505454394395171,0.0036145532724680004,0.009654515172745001,0.318619128466327,0.383006999306991,779,0.204355716878402,0.400513478818998,0.7509627727856221,0.7843388960205391
random_feasible,0.260018620772393,0.940007667644541,0.004008132777466001,transxion,lightgbm,0.00894609700872,0.30361202323819103,,1,0.360366189060145,0.19659797186784403,0.373614190687361,0.6895787139689571,0.7261640798226161,2,0,902,8880,1823422,23.5013689994812,0.321482920947391,0.9448617816801871,0.003600940738753,0.008280853392422,0.311443613189249,0.377180581594219,779,0.19858657243816202,0.41976893453145003,0.740693196405648,0.7830551989730421
random_feasible,0.254941624841377,0.9440785252247951,0.004114337592439001,transxion,lightgbm,0.009320455378705001,0.29502487562189,,1,0.35200120772637905,0.19018601667735702,0.368070953436807,0.6707317073170731,0.7239467849223941,2,1,902,8880,1823422,23.834720373153687,0.319861493371962,0.943416779953241,0.00372846284719,0.008716368182708,0.30570505920344404,0.374166700570218,779,0.193394620360912,0.406931964056482,0.740693196405648,0.7843388960205391
random_feasible,0.24755349458791803,0.9351411808826491,0.0039042075154010003,transxion,lightgbm,0.008416981841518,0.303530018036588,,1,0.35775687845624204,0.19771735481705202,0.362527716186252,0.669623059866962,0.720620842572062,2,2,902,8880,1823422,24.67634868621826,0.305175762650229,0.946260232933343,0.003496282281442,0.007792046663856001,0.316736990154711,0.381543782539209,779,0.20280979827089302,0.38767650834403006,0.745827984595635,0.7856225930680361
ours,0.241860052893405,0.9415457544307301,0.004766129234249,transxion,lightgbm,0.011322647246002002,0.26397719798289804,,1,0.329612015093914,0.16452582672861402,0.354767184035476,0.666297117516629,0.717294900221729,2,0,902,8880,1823422,25.25195074081421,0.298125174653222,0.9489870031548171,0.004228440421757,0.010319449645779001,0.27890989442671205,0.35312661584076704,779,0.17243472981177901,0.39152759948652105,0.734274711168164,0.7753530166880611
