augmentation,auprc,auroc,brier,candidate_multiplier,dataset,detector,ece,eval_subset,f1,heldout_train_positives,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr
none,0.929854529143862,0.9983553981937601,0.000162662449349,8,amlnet,lightgbm,0.00016550854162800002,new_pair,0.917293233082706,0,layering,1,0.9184867043344941,0.968253968253968,0.914285714285714,0.928571428571428,0.9571428571428571,0.75,3,70,220,653378,9.969679594039917,0.8372790608149241,0.9712653727846161,0.00020910012381200003,0.00020856683727100002,0.851063829787234,0.855823388037892,52,0.9523809523809521,0.8269230769230761,0.8653846153846151,0.884615384615384
none,0.928699351369701,0.9972215808018611,0.00016292382677400002,8,amlnet,lightgbm,0.00016589804095000003,new_pair,0.917293233082706,0,layering,1,0.9184867043344941,0.968253968253968,0.914285714285714,0.928571428571428,0.9428571428571421,0.75,0,70,220,653378,11.669732332229614,0.8404120778489821,0.9795600397052111,0.00020967157552800002,0.000209088849254,0.851063829787234,0.855823388037892,52,0.9523809523809521,0.807692307692307,0.8653846153846151,0.884615384615384
none,0.92917018113196,0.9984236025588391,0.00016036956419700001,8,amlnet,lightgbm,0.00016052744702500001,new_pair,0.917293233082706,0,layering,1,0.9184867043344941,0.968253968253968,0.914285714285714,0.9428571428571421,0.9571428571428571,0.75,2,70,220,653378,11.494600772857666,0.8393925779291481,0.9845444000069251,0.00020952790524500001,0.000208335790658,0.851063829787234,0.855823388037892,52,0.9523809523809521,0.8269230769230761,0.8653846153846151,0.884615384615384
none,0.924883953222651,0.9979617798987411,0.00015488513946700002,8,amlnet,lightgbm,0.000160907427627,new_pair,0.917293233082706,0,layering,1,0.9184867043344941,0.968253968253968,0.9,0.9428571428571421,0.9571428571428571,0.75,1,70,220,653378,12.625010251998901,0.836380244651682,0.975548832216624,0.00020950229310100001,0.000209019064319,0.851063829787234,0.855823388037892,52,0.9523809523809521,0.8269230769230761,0.8653846153846151,0.884615384615384
none,0.9262193852552311,0.9982758620689651,0.000163053485713,8,amlnet,lightgbm,0.000161566587413,new_pair,0.917293233082706,0,layering,1,0.9184867043344941,0.968253968253968,0.9,0.9428571428571421,0.9571428571428571,0.75,4,70,220,653378,10.481894969940186,0.8400695036519471,0.9819964565406831,0.00020942108659700002,0.00020842237989300002,0.851063829787234,0.855823388037892,52,0.9523809523809521,0.8269230769230761,0.884615384615384,0.884615384615384
smote_repaired_v2,0.922018982888942,0.9978287920771751,0.00017065085903800002,8,amlnet,lightgbm,0.000173325847876,new_pair,0.910447761194029,0,layering,1,0.911273942916722,0.953125,0.9,0.9428571428571421,0.9428571428571421,0.75,1,70,385,653543,13.149719715118408,0.824872282248418,0.9765078458191221,0.000219153890911,0.000220273534483,0.8387096774193541,0.8445352690874801,52,0.951219512195121,0.807692307692307,0.8653846153846151,0.8653846153846151
smote_repaired_v2,0.927793411417259,0.998195684523809,0.00016221259148900002,8,amlnet,lightgbm,0.000164666223268,new_pair,0.917293233082706,0,layering,1,0.9184867043344941,0.968253968253968,0.9,0.9428571428571421,0.9428571428571421,0.75,0,70,385,653543,13.151925086975098,0.8300495097719831,0.9865345660416551,0.000223985671674,0.00022380124677500002,0.8387096774193541,0.8445352690874801,52,0.951219512195121,0.807692307692307,0.8653846153846151,0.884615384615384
smote_repaired_v2,0.9226188365221931,0.9977629395867541,0.00016376271839600002,8,amlnet,lightgbm,0.000162835187558,new_pair,0.917293233082706,0,layering,1,0.9184867043344941,0.968253968253968,0.9,0.928571428571428,0.9428571428571421,0.75,2,70,385,653543,11.901124954223633,0.8353657704201211,0.9852118284596341,0.00021463279473200002,0.00021695405438,0.8387096774193541,0.8445352690874801,52,0.951219512195121,0.807692307692307,0.8653846153846151,0.884615384615384
smote_repaired_v2,0.931406723158519,0.9975965979064041,0.000161304930858,8,amlnet,lightgbm,0.000162524636477,new_pair,0.917293233082706,0,layering,1,0.9184867043344941,0.968253968253968,0.9,0.9428571428571421,0.9571428571428571,0.75,3,70,385,653543,11.73490047454834,0.8485598550474651,0.983449909682185,0.000209236754719,0.00020832409321400002,0.851063829787234,0.855823388037892,52,0.9523809523809521,0.8269230769230761,0.8653846153846151,0.8653846153846151
smote_repaired_v2,0.925357900949047,0.9985272988505741,0.000161968466155,8,amlnet,lightgbm,0.000161021981147,new_pair,0.917293233082706,0,layering,1,0.9184867043344941,0.968253968253968,0.9,0.9428571428571421,0.9428571428571421,0.75,4,70,385,653543,11.77480697631836,0.8387213894331521,0.9837500072138831,0.00022389460715600002,0.00022301233720000002,0.8387096774193541,0.8445352690874801,52,0.951219512195121,0.807692307692307,0.8653846153846151,0.8653846153846151
