dataset,detector,augmentation,label_fraction,heldout_typology,auprc,auprc,auroc,auroc,recall_at_1pct_fpr,recall_at_1pct_fpr,precision_at_k,precision_at_k,ece,ece,training_seconds,training_seconds
,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
amlnet,lightgbm,curriculum_projected_v2,1,layering,0.9455214572327076,0.004168846336532719,0.9948874562424186,0.002117741120635632,0.9567335243553007,0.00930435826395997,0.9214899713467044,0.008980064392392174,0.000250631145089,1.9217232923045966e-05,15.312185621261596,1.3987102540316874
amlnet,lightgbm,hard_projected_v2,1,layering,0.9484540003859594,0.0031217675073964748,0.9948047471317899,0.0024602756923997006,0.9547277936962748,0.00841364490756271,0.9335243553008592,0.00352227104385595,0.0002453987079001,1.642149360541524e-05,15.391269421577453,1.3856824278625388
amlnet,lightgbm,none,1,layering,0.9344446201140679,0.0023020616464693774,0.9967186654575555,0.00042370913469193624,0.9544412607449855,0.003926419253313196,0.901146131805157,0.003376823214835518,0.0002897757776264,1.4271918144481898e-05,13.434671115875243,0.8610352708168797
amlnet,lightgbm,plausible_hard_projected_v2,1,layering,0.9468628033856211,0.0037937849772147546,0.9954505670587496,0.0011244997502056326,0.9553008595988537,0.00856409236731997,0.9338108882521488,0.004152256947332218,0.00025109079301530006,1.5906637106734546e-05,15.985062003135681,0.9823178738635312
amlnet,lightgbm,plausible_typology_projected_v2,1,layering,0.9475742254428507,0.002927982704872339,0.9951490586874122,0.0021185084601355723,0.9573065902578793,0.010148463388072265,0.9349570200573062,0.006048191097989541,0.00024492675528110005,1.441040400173151e-05,15.224179649353028,0.9717110689593925
amlnet,lightgbm,random_feasible_v2,1,layering,0.9366962684480848,0.004794839803854539,0.9968097016337808,0.0008558865254391151,0.9573065902578796,0.008800496274910823,0.9063037249283663,0.00676039670265006,0.0002791994080224,1.657148135883795e-05,13.284134936332702,0.7732674368781551
amlnet,lightgbm,smote_repaired_v2,1,layering,0.9346226853143607,0.002152890529567569,0.9975341102584061,0.00036408228266766304,0.9578796561604582,0.004879480334076368,0.9008595988538677,0.004313883396613674,0.00029020997555950003,1.6838566118535175e-05,13.462919926643371,0.7018008215475194
amlnet,lightgbm,typology_projected_v2,1,layering,0.9477774219841011,0.0020294571668505123,0.9949548225915018,0.001890744053816591,0.9553008595988537,0.008669956613493998,0.9355300859598851,0.0038796745007813054,0.0002417512223625,1.6800488581218616e-05,15.19941325187683,1.5863381401769885
amlnet,xgboost,curriculum_projected_v2,1,layering,0.9457523106944112,0.0029627314081368127,0.9912783510448329,0.003597150407390415,0.9530085959885385,0.004520404800840236,0.9286532951289395,0.005478368825100339,0.0002452720729628,1.0901271070257116e-05,20.057733821868897,0.6993775687678634
amlnet,xgboost,hard_projected_v2,1,layering,0.9450141939541487,0.002689978757032546,0.9901548620905875,0.002845512195874475,0.951289398280802,0.0035736937791537374,0.9346704871060169,0.004006910594728385,0.0002580191685009,1.4690375013110016e-05,20.68619873523712,0.6079674658201757
amlnet,xgboost,none,1,layering,0.9308176534342694,0.0040060763394048765,0.9938999540823124,0.001257705028041505,0.9441260744985671,0.004530483753822933,0.905444126074498,0.005569199517521795,0.0002841811983627,1.7762498843684087e-05,18.690740609169005,1.3412624222017853
amlnet,xgboost,plausible_hard_projected_v2,1,layering,0.9445350159011253,0.0034018933607437084,0.9919801681673575,0.0019119575065504341,0.9507163323782233,0.004006910594728369,0.9346704871060169,0.0032529868893842457,0.000247154562852,1.563834059871917e-05,20.952716994285584,0.5680362290136091
amlnet,xgboost,plausible_typology_projected_v2,1,layering,0.9411124101881072,0.0028265916503548145,0.992010369826648,0.0019728343867784783,0.9524355300859597,0.005436580504587508,0.9375358166189109,0.0022602024004201,0.00025384760429820005,1.464326698022174e-05,20.962220454216002,0.7931032371325165
amlnet,xgboost,random_feasible_v2,1,layering,0.9341942517808299,0.003742749666881207,0.9953456851363292,0.0009722296606539457,0.9487106017191975,0.004765988519531907,0.9091690544412604,0.0070250909449602545,0.00027339801250950006,1.5470008587183037e-05,18.29951171875,0.7727390054742489
amlnet,xgboost,smote_repaired_v2,1,layering,0.9316800430266549,0.0038911994910544334,0.993770670941345,0.0012710281380604233,0.9501432664756445,0.00927981493905724,0.9048710601719193,0.00352227104385591,0.0002721979269283,2.2018421108166958e-05,18.57269928455353,0.7152460735090163
amlnet,xgboost,typology_projected_v2,1,layering,0.943329638587047,0.0030520673984751052,0.9904729067541789,0.002940833600203929,0.955587392550143,0.004324443714487816,0.9369627507163321,0.0038204393505253233,0.0002627719509176,1.5076772086644436e-05,20.57814061641693,0.6516781462221888
