augmentation,auprc,auroc,brier,candidate_multiplier,dataset,detector,ece,eval_subset,f1,heldout_train_positives,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr
none,0.036965617995147006,0.52364695717147,0.010047963304913001,8,amlnet,pyg_sage,0.07494055639491201,all,0.12264150943396201,0,layering,1,0.135220693510302,0.084507042253521,0.131805157593123,0.269340974212034,0.34383954154727703,0.75,1,349,220,653378,25.890962839126587,0.09503180447282901,0.9253554155136551,0.009571999046302002,0.076003990747151,0.179028132992327,0.204295858673104,296,0.11972633979475401,0.15878378378378302,0.45945945945945904,0.5844594594594591
none,0.5230952549791761,0.9489264247237941,0.00568101429397,8,amlnet,pyg_sage,0.048476695733846005,all,0.30480480480480404,0,layering,1,0.344949671268002,0.20651068158697802,0.484240687679083,0.6446991404011461,0.7564469914040111,0.75,0,349,220,653378,26.78561758995056,0.09556698269931001,0.9645326151260151,0.005642179007457,0.04774640038304501,0.153424657534246,0.170925004671614,296,0.10513141426783401,0.11486486486486401,0.42229729729729704,0.648648648648648
none,0.504204792658242,0.9112685230139771,0.007766184254579001,8,amlnet,pyg_sage,0.06166468420303801,all,0.272972972972972,0,layering,1,0.319723169923155,0.17860300618921301,0.469914040114613,0.6131805157593121,0.7507163323782231,0.75,2,349,220,653378,25.86264181137085,0.071604216587728,0.924990116826039,0.007873474838105,0.062383566140418005,0.13071895424836602,0.15065903223395202,296,0.086206896551724,0.094594594594594,0.33445945945945904,0.608108108108108
smote_repaired_v2,0.5224727750643741,0.95194316081559,0.0056798958987740004,8,amlnet,pyg_sage,0.046292517823592005,all,0.289398280802292,0,layering,1,0.332460186666027,0.19293218720152802,0.47564469914040103,0.624641833810888,0.759312320916905,0.75,0,349,385,653543,24.297879457473755,0.09690569277343601,0.9635697701478281,0.005647408023693,0.045919340027936004,0.141484716157205,0.15969860101368902,296,0.095406360424028,0.094594594594594,0.40878378378378305,0.6621621621621621
smote_repaired_v2,0.034401057310245,0.5395726923070591,0.011224382481653,8,amlnet,pyg_sage,0.079639094260054,all,0.114482758620689,0,layering,1,0.131490998357937,0.075386012715712,0.10315186246418301,0.255014326647564,0.352435530085959,0.75,1,349,385,653543,21.433882236480713,0.082237481783062,0.9332234666504731,0.010903072883841,0.081568155798169,0.17134416543574502,0.20535616037752302,296,0.109640831758034,0.128378378378378,0.43918918918918903,0.604729729729729
smote_repaired_v2,0.509086793372028,0.919451311616516,0.009658334088368001,8,amlnet,pyg_sage,0.07276259237167601,all,0.266500622665006,0,layering,1,0.321242888019561,0.170246618933969,0.455587392550143,0.621776504297994,0.762177650429799,0.75,2,349,385,653543,25.130149602890015,0.076219529745917,0.9095579450473791,0.009750840802547001,0.07360864394852301,0.137724550898203,0.16377197095263601,296,0.08846153846153801,0.091216216216216,0.36824324324324303,0.6520270270270271
random_feasible_v2,0.517710264905976,0.958047830101265,0.0064021725389530005,8,amlnet,pyg_sage,0.052568560804374005,all,0.28511530398322804,0,layering,1,0.33023911685495305,0.188539741219963,0.46704871060171904,0.6189111747851,0.7679083094555871,0.75,0,349,385,653543,22.048149824142456,0.08653020207051601,0.961312659353956,0.006386070071082,0.051941407521209,0.136286201022146,0.15500520145749802,296,0.091116173120728,0.091216216216216,0.36824324324324303,0.66554054054054
random_feasible_v2,0.030716814315709003,0.526779175423668,0.011438502818857001,8,amlnet,pyg_sage,0.08075331534619101,all,0.10740992522093801,0,layering,1,0.12379318892541001,0.07040998217468801,0.091690544412607,0.234957020057306,0.346704871060171,0.75,1,349,385,653543,25.075095653533936,0.07584765109095601,0.9251863367130151,0.010980000609704001,0.082100163075846,0.156688839615668,0.18752163995415103,296,0.100283822138126,0.10135135135135101,0.42567567567567505,0.591216216216216
random_feasible_v2,0.50975235688589,0.917041130068843,0.009074689362805,8,amlnet,pyg_sage,0.07038112048202201,all,0.261694058154235,0,layering,1,0.313685251144155,0.16788321167883202,0.469914040114613,0.607449856733524,0.762177650429799,0.75,2,349,385,653543,22.632131576538086,0.07805670372768701,0.9319937589006,0.009145131837486001,0.071320036473397,0.12611275964391602,0.15022726611318402,296,0.08079847908745201,0.108108108108108,0.33783783783783705,0.6689189189189191
curriculum_projected_v2,0.499218666786698,0.9519574397350921,0.007994787184101,8,amlnet,pyg_sage,0.058400432437034,all,0.24111822947000502,0,layering,1,0.297584142733744,0.15131578947368401,0.449856733524355,0.5873925501432661,0.7277936962750711,0.75,0,349,385,653543,23.785924196243286,0.07698875081465001,0.962807320608362,0.00766751916433,0.05712870507314401,0.125941136208076,0.15449121164215002,296,0.078969957081545,0.077702702702702,0.31756756756756704,0.587837837837837
