augmentation,auprc,auroc,brier,candidate_multiplier,dataset,detector,ece,f1,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr,run_name,eval_subset,heldout_train_positives
none,0.266642234022903,0.94600715085779,0.003223432608482,10,transxion,lightgbm,0.005749641147793,0.327735958309206,,1.0,0.371610310545274,0.221786833855799,0.38470066518847,0.68070953436807,0.7195121951219511,1.0,0,902,2960,1817502,50.446573972702026,0.327850961418001,0.947895601296348,0.002898809661056,0.005396429243167,0.342566061763769,0.395405418289802,779,0.227773073666384,0.412066752246469,0.745827984595635,0.7894736842105261,cikm_v2_main,,
none,0.278038478274961,0.943202707081126,0.003089827299453,10,transxion,lightgbm,0.005392943776768,0.342754058929645,,1.0,0.384096975809719,0.235148514851485,0.368070953436807,0.68070953436807,0.729490022172949,1.0,1,902,2960,1817502,46.575145959854126,0.348073472755513,0.9477709794340832,0.00278979355604,0.005100861230355,0.355700325732899,0.407534124477853,779,0.238323876036665,0.426187419768934,0.7560975609756091,0.7907573812580231,cikm_v2_main,,
none,0.270090060963429,0.9469385890405112,0.003159435024327,10,transxion,lightgbm,0.005783959405843,0.340300264939652,,1.0,0.383891787788978,0.231663326653306,0.363636363636363,0.685144124168514,0.7305986696230591,1.0,2,902,2960,1817502,57.151461124420166,0.349778746521107,0.9502763776585772,0.002833879866603,0.005398893960916,0.355121951219512,0.407087005777059,779,0.23780487804878,0.42362002567394,0.7483953786906291,0.79204107830552,cikm_v2_main,,
random_feasible_v2,0.268105750335429,0.940553194500262,0.003198993674267,10,transxion,lightgbm,0.005714928505655,0.337707786526684,,1.0,0.382096097255921,0.229125445191927,0.365853658536585,0.6796008869179601,0.7272727272727271,1.0,0,902,5920,1820462,47.753334283828735,0.325372085634294,0.9469815393245152,0.002848261016624,0.005327016065738,0.357419354838709,0.410837886039088,779,0.238690219732873,0.410783055198973,0.7625160462130931,0.7843388960205391,cikm_v2_main,,
random_feasible_v2,0.264251054100117,0.943752780818684,0.003200225537963,10,transxion,lightgbm,0.005712875931389,0.339264531435349,,1.0,0.381815706229024,0.231578947368421,0.35920177383592,0.685144124168514,0.7305986696230591,1.0,1,902,5920,1820462,48.53575730323792,0.331320928536729,0.951497124106382,0.002853090405987,0.005341332134847,0.358692133376497,0.411821727664874,779,0.239826839826839,0.41591784338896,0.7573812580231061,0.794608472400513,cikm_v2_main,,
random_feasible_v2,0.265026320784965,0.9384746188987272,0.003146330359957,10,transxion,lightgbm,0.005687880459775,0.339275103980986,,1.0,0.381611761278484,0.231737012987013,0.370288248337028,0.6829268292682921,0.7261640798226161,1.0,2,902,5920,1820462,45.5474488735199,0.328675696693062,0.9483706512045512,0.002839776996072,0.005347484244874,0.351726363343013,0.404215186278603,779,0.234913793103448,0.409499358151476,0.7483953786906291,0.79204107830552,cikm_v2_main,,
adv_no_projection_v2,0.261918711225926,0.9395221757566692,0.003081585730779,10,transxion,lightgbm,0.006344795973931,0.340425531914893,,1.0,0.380174223099362,0.234505862646566,0.365853658536585,0.672949002217294,0.7195121951219511,1.0,0,902,5920,1820462,49.56502604484558,0.31676578919951,0.94731943071535,0.002767479957583,0.005957671632466,0.363276089828269,0.414378045234438,779,0.244553134726545,0.408215661103979,0.745827984595635,0.780487804878048,cikm_v2_main,,
adv_no_projection_v2,0.265798554884747,0.932096377312856,0.003156866446651,10,transxion,lightgbm,0.006756163645664,0.338748495788207,,1.0,0.379507924898106,0.232452518579686,0.360310421286031,0.6784922394678491,0.7239467849223941,1.0,1,902,5920,1820462,52.138214111328125,0.323925510328474,0.948471907661053,0.002875811147419,0.006439735968203,0.355267423014586,0.407693150602853,779,0.237640936686903,0.410783055198973,0.7432605905006411,0.7766367137355581,cikm_v2_main,,
adv_no_projection_v2,0.259164723059399,0.932019096815748,0.00319044438568,10,transxion,lightgbm,0.006794789220647,0.340311004784689,,1.0,0.381990713261863,0.233005733005733,0.361419068736141,0.6707317073170731,0.710643015521064,1.0,2,902,5920,1820462,51.27372574806213,0.327024634339438,0.9494590446052552,0.002882032473722,0.006422305720535,0.359207534913933,0.411973248508563,779,0.240434782608695,0.422336328626444,0.7445442875481381,0.7715019255455711,cikm_v2_main,,
hard_projected_v2,0.271808412395501,0.934017190226273,0.002984980348872,10,transxion,lightgbm,0.007573797958021,0.355081555834378,,1.0,0.392825868798203,0.247594050743657,0.375831485587583,0.698447893569844,0.736141906873614,1.0,0,902,5920,1820462,52.246856689453125,0.321281519409214,0.953439830404452,0.002681697887492,0.00709993444048,0.377177997950119,0.425623306471705,779,0.256983240223463,0.394094993581514,0.761232349165596,0.793324775353016,cikm_v2_main,,
