acceptance_rate,augmentation,dataset,detector,detector_hardness,edit_distance,generated,heldout_typology,label_fraction,ledger_violation_rate,mean_flow_residual,median_flow_residual,profile_drift,rho,seed,temporal_violation_rate,run_name,categorical_fractionality_rate,negative_feature_rate,eval_subset,heldout_train_positives
,none,transxion,lightgbm,,,0,,1.0,,,,,1.0,0,,cikm_v2_main,,,,
,none,transxion,lightgbm,,,0,,1.0,,,,,1.0,1,,cikm_v2_main,,,,
,none,transxion,lightgbm,,,0,,1.0,,,,,1.0,2,,cikm_v2_main,,,,
0.95,random_feasible_v2,transxion,lightgbm,0.028763401222628,0.008789541905305,2960,,1.0,0.0,0.0,0.0,0.5114984662598251,1.0,0,0.0,cikm_v2_main,,,,
0.95,random_feasible_v2,transxion,lightgbm,0.026499127369085,0.008905332502084,2960,,1.0,0.0,0.0,0.0,0.5160541646744661,1.0,1,0.0,cikm_v2_main,,,,
0.95,random_feasible_v2,transxion,lightgbm,0.030786382606232,0.010823462050109,2960,,1.0,0.0,0.0,0.0,0.515273337765841,1.0,2,0.0,cikm_v2_main,,,,
0.024324324324324,adv_no_projection_v2,transxion,lightgbm,1.187384468356683,0.048561573754573,2960,,1.0,0.975675675675675,0.479636523959431,0.494561464368611,0.7122281422911011,1.0,0,0.02,cikm_v2_main,,,,
0.02331081081081,adv_no_projection_v2,transxion,lightgbm,1.2998151416242791,0.047130636219946,2960,,1.0,0.9766891891891892,0.481845507177272,0.499155309096577,0.7342603174753031,1.0,1,0.02,cikm_v2_main,,,,
0.028378378378378,adv_no_projection_v2,transxion,lightgbm,1.3683180967120672,0.04818780323826,2960,,1.0,0.971621621621621,0.491643771589621,0.513833327894314,0.7623807799041641,1.0,2,0.02,cikm_v2_main,,,,
0.95,hard_projected_v2,transxion,lightgbm,6.300373339706495,0.217713172262031,2960,,1.0,0.0,0.0,0.0,0.490177015217988,1.0,0,0.0,cikm_v2_main,,,,
0.95,hard_projected_v2,transxion,lightgbm,6.318869030324038,0.217635112459273,2960,,1.0,0.0,0.0,0.0,0.490562623028002,1.0,1,0.0,cikm_v2_main,,,,
0.95,hard_projected_v2,transxion,lightgbm,6.269987047873813,0.22870801863168,2960,,1.0,0.0,0.0,0.0,0.5017054940859721,1.0,2,0.0,cikm_v2_main,,,,
