augmentation,auprc,auroc,brier,dataset,detector,ece,f1,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr,run_name,candidate_multiplier
none,0.02778825685488,0.6990357443631531,0.357202697766722,transxion,logistic,0.383373986282349,0.005048106746067,,1.0,0.021413822104153,0.002533830937646,0.065410199556541,0.229490022172949,0.394678492239467,1.0,0,902,2960,1817502,54.87763714790344,0.03023671384763,0.7426861203984161,0.223407313800183,0.243732203019284,0.006832009378853,0.034028209911907,779,0.003434028718504,0.086007702182284,0.31193838254172,0.363286264441591,full_matrix,
none,0.024969492355945,0.781932202256798,0.107660692492013,transxion,logistic,0.113195982492697,0.015695484684013,,1.0,0.060045604298385,0.007950440320919,0.044345898004434,0.139689578713968,0.300443458980044,1.0,1,902,2960,1817502,54.01934003829956,0.020289594406948,0.7837902852888881,0.10237014272806,0.107539185647853,0.013462118925445,0.05367383582134,779,0.006811136054733,0.034659820282413,0.137355584082156,0.300385109114249,full_matrix,
none,0.117512206328461,0.792718600883443,0.123902685350454,transxion,logistic,0.137219752163951,0.013925713603248,,1.0,0.05728114688384,0.007038682571111,0.24390243902439,0.48780487804878,0.496674057649667,1.0,2,902,2960,1817502,53.67357063293457,0.101541766938489,0.8087374386412781,0.107608046116089,0.118767553392238,0.013580280990366,0.057021210801662,779,0.006863935043736,0.238767650834403,0.424903722721437,0.439024390243902,full_matrix,
random_graph,0.064762556489093,0.77125818821761,0.244104242666409,transxion,logistic,0.288712381755722,0.007341252637359,,1.0,0.035957146075461,0.003689865363495,0.123059866962305,0.443458980044345,0.470066518847006,1.0,0,902,5920,1820462,54.54632472991944,0.050184514967051,0.771936491753595,0.165038414961551,0.197937418572788,0.008573355990675,0.041212523465747,779,0.004315384086376,0.116816431322207,0.377406931964056,0.405648267008985,full_matrix,
random_graph,0.051482733931078,0.699868894941525,0.230428388945528,transxion,logistic,0.272501953376543,0.006507167669651,,1.0,0.028006289796881,0.003271631510977,0.11640798226164,0.369179600886918,0.383592017738359,1.0,1,902,5920,1820462,55.57832908630371,0.043379553392732,0.728620611824624,0.151331919737927,0.18320599907072,0.008235001519882,0.037145508031366,779,0.004147260210424,0.116816431322207,0.337612323491656,0.355584082156611,full_matrix,
random_graph,0.05465193188131,0.7729528519472371,0.146255723355474,transxion,logistic,0.170244622243546,0.011355585294812,,1.0,0.04910311051718,0.005728639224796,0.129711751662971,0.42350332594235,0.442350332594235,1.0,2,902,5920,1820462,54.51978063583374,0.048275093377016,0.7824245536659591,0.113799492073458,0.13216729852128,0.011993132353683,0.051334759532591,779,0.00605612433542,0.109114249037227,0.396662387676508,0.42362002567394,full_matrix,
adv_no_projection,0.041666314873663,0.7813691577186741,0.181603384477315,transxion,logistic,0.210099309130694,0.009452665302691,,1.0,0.043305442814347,0.004760383386581,0.063192904656319,0.305986696230598,0.466740576496674,1.0,0,902,5920,1820462,53.97373962402344,0.032086029470208,0.7833351489100131,0.147830443453118,0.171133289815835,0.009453730325032,0.043614141588635,779,0.004763027124702,0.064184852374839,0.332477535301668,0.427471116816431,full_matrix,
adv_no_projection,0.046385103267656,0.776567557031533,0.143798582250179,transxion,logistic,0.171933556293858,0.011346842423701,,1.0,0.048822023945343,0.005724636955934,0.096452328159645,0.364745011086474,0.437915742793791,1.0,1,902,5920,1820462,54.25315618515015,0.038414615154266,0.775386028041096,0.116767793888316,0.138315618757005,0.010903445831143,0.046254038888634,779,0.005504134271257,0.101412066752246,0.359435173299101,0.381258023106546,full_matrix,
adv_no_projection,0.039661452557094,0.697828471179029,0.092592774965141,transxion,logistic,0.110341652105078,0.014605618011575,,1.0,0.053230503042023,0.007403993855606,0.069844789356984,0.382483370288248,0.396895787139689,1.0,2,902,5920,1820462,52.834102630615234,0.032793048478401,0.733868496173906,0.077476767223157,0.092381675878518,0.014889234216327,0.055002219788958,779,0.007550904459065,0.048780487804878,0.358151476251604,0.373555840821566,full_matrix,
random_feasible,0.065544198478471,0.7724104947134991,0.244422695235996,transxion,logistic,0.286458838959869,0.007320389026388,,1.0,0.035660673077694,0.003679476696647,0.126385809312638,0.460088691796008,0.485587583148558,1.0,0,902,5920,1820462,53.89682698249817,0.052761259405458,0.779427831643775,0.164398924334905,0.195581410935274,0.008803679662984,0.042611987576068,779,0.004431519180168,0.125802310654685,0.406931964056482,0.432605905006418,full_matrix,
random_feasible,0.05686858291034,0.77340381795565,0.163971089846445,transxion,logistic,0.199887463456253,0.009997797095555,,1.0,0.045055113019707,0.005037396263788,0.113082039911308,0.431263858093126,0.467849223946784,1.0,1,902,5920,1820462,52.77492117881775,0.044475976487924,0.7880924032314861,0.115262908839186,0.141466924263561,0.011513951916578,0.049995076440449,779,0.005811615921634,0.106546854942233,0.382541720154043,0.414634146341463,full_matrix,
random_feasible,0.052058973609074,0.764884502676982,0.122597368379624,transxion,logistic,0.143916271020806,0.012990654205607,,1.0,0.053070014775305,0.00656449975206,0.108647450110864,0.414634146341463,0.452328159645232,1.0,2,902,5920,1820462,53.71864032745361,0.044125805520333,0.779421370248765,0.100992672581577,0.117733175938101,0.013141800597354,0.053843098303427,779,0.006644518272425,0.102695763799743,0.396662387676508,0.41976893453145,full_matrix,
ours,0.071386869770578,0.7116629364641851,0.158143236202006,transxion,logistic,0.186444185289814,0.009071845778621,,1.0,0.037720279608374,0.004573046247652,0.169623059866962,0.38580931263858,0.41130820399113,1.0,0,902,5920,1820462,54.25245499610901,0.069748732548838,0.740851700546133,0.125890791450687,0.148196592482561,0.010007471641723,0.043153295120847,779,0.005048255382331,0.166880616174582,0.391527599486521,0.409499358151476,full_matrix,
ours,0.04321991656814,0.6780550176514311,0.156724316541962,transxion,logistic,0.190950673276173,0.008538190615105,,1.0,0.034677467679769,0.004303620420678,0.104212860310421,0.343680709534368,0.368070953436807,1.0,1,902,5920,1820462,53.31170797348023,0.037015936921514,0.7044394461896011,0.119121692627692,0.145579951083638,0.009246071587008,0.038067749499442,779,0.004665464955996,0.102695763799743,0.326059050064184,0.336328626444159,full_matrix,
ours,0.058936775946046,0.711082429224091,0.353345569487529,transxion,logistic,0.392681890326211,0.005154250370854,,1.0,0.022886719555858,0.002586903119426,0.162971175166297,0.33370288248337,0.360310421286031,1.0,2,902,5920,1820462,55.65177702903748,0.054629408522095,0.739065225072262,0.283713718453093,0.317394971706194,0.005552285760418,0.028456588737764,779,0.002787452801573,0.152759948652118,0.328626444159178,0.344030808729139,full_matrix,
none,0.182191052793737,0.916778569258991,0.004448460153416,transxion,random_forest,0.028680273751064,0.265649825230378,,1.0,0.292151288616945,0.186191536748329,0.300443458980044,0.5820399113082041,0.65410199556541,1.0,0,902,2960,1817502,181.37905359268188,0.240377220981276,0.928139657446772,0.004203739620228,0.02811445034713,0.284505208333333,0.325591772390171,779,0.190580026166593,0.349165596919127,0.6688061617458281,0.7381258023106541,full_matrix,
none,0.189936575546547,0.919514585304656,0.004357181454461,transxion,random_forest,0.027514350814359,0.263356379635449,,1.0,0.290571351700227,0.183771929824561,0.301552106430155,0.576496674057649,0.672949002217294,1.0,1,902,2960,1817502,177.3940315246582,0.255312340372485,0.9295222665601992,0.004109905699,0.026961475511898,0.285806451612903,0.328076152170531,779,0.190866006031882,0.354300385109114,0.679075738125802,0.745827984595635,full_matrix,
none,0.184157399380237,0.9218351096338432,0.004340546722023,transxion,random_forest,0.027408003225994,0.262060379707438,,1.0,0.289980183448318,0.18217221981826,0.29490022172949,0.576496674057649,0.672949002217294,1.0,2,902,2960,1817502,173.39213252067566,0.245910086395884,0.9321933421238432,0.004089282063797,0.026860556894537,0.283343969368219,0.326416297939267,779,0.188535031847133,0.350449293966623,0.671373555840821,0.747111681643132,full_matrix,
random_graph,0.199043148646109,0.9246519771557612,0.005186576977085,transxion,random_forest,0.034611109437119,0.292302898099096,,1.0,0.323597727296825,0.203294321629822,0.311529933481153,0.595343680709534,0.677383592017738,1.0,0,902,5920,1820462,182.2759695053101,0.25451052755822,0.9380805693631492,0.004919102196946,0.033988592764944,0.30695289971163,0.353309097057002,779,0.204526046114432,0.355584082156611,0.684210526315789,0.7560975609756091,full_matrix,
random_graph,0.189802434939702,0.9221634747739432,0.005344568302293,transxion,random_forest,0.034560640546204,0.27106017191977,,1.0,0.30794739000308,0.182766615146831,0.298226164079822,0.5942350332594231,0.6829268292682921,1.0,1,902,5920,1820462,183.59191513061523,0.244901167415621,0.9350651738987772,0.005076162284727,0.033861401521476,0.283502084574151,0.334412196086152,779,0.184567661884451,0.35173299101412,0.686777920410783,0.7599486521181,full_matrix,
random_graph,0.204039618266559,0.9239076942008232,0.005067071600594,transxion,random_forest,0.033474375182447,0.285197467591196,,1.0,0.318915922758891,0.195859213250517,0.307095343680709,0.601995565410199,0.6906873614190681,1.0,2,902,5920,1820462,180.8835928440094,0.263101005796576,0.9377960027801292,0.00479021506605,0.03284149633473,0.296296296296296,0.344323428118279,779,0.19556285949055,0.356867779204107,0.690629011553273,0.7637997432605901,full_matrix,
adv_no_projection,0.158812216456128,0.920428382098998,0.007999724948798,transxion,random_forest,0.047545433966271,0.241675617615467,,1.0,0.280281325848947,0.15946137491141,0.264966740576496,0.5376940133037691,0.607538802660753,1.0,0,902,5920,1820462,181.57302713394165,0.220319036119724,0.9292627435846992,0.007644728167698,0.046582074823664,0.251822770611329,0.303186329401917,779,0.161105130965195,0.313222079589216,0.6264441591784331,0.6893453145057761,full_matrix,
adv_no_projection,0.170541526074509,0.920114165257078,0.00825816200413,transxion,random_forest,0.050421402170648,0.247270742358078,,1.0,0.285258409031791,0.164011585807385,0.290465631929046,0.536585365853658,0.601995565410199,1.0,1,902,5920,1820462,179.5566771030426,0.242303499871877,0.931576116065961,0.007873413591365,0.049221993649996,0.262786097767731,0.315626409795856,779,0.168478260869565,0.333761232349165,0.618741976893453,0.707317073170731,full_matrix,
adv_no_projection,0.162729852585811,0.916190345515076,0.008158907602765,transxion,random_forest,0.050154926933064,0.243692968330649,,1.0,0.282694635512103,0.160764872521246,0.270509977827051,0.544345898004434,0.6119733924611971,1.0,2,902,5920,1820462,183.26626229286197,0.225532739879369,0.928208111529851,0.007813511548233,0.04903011102666,0.257254464285714,0.31034281926044,779,0.164349376114081,0.333761232349165,0.62387676508344,0.704749679075738,full_matrix,
random_feasible,0.195000093491664,0.9239721404321072,0.005075645252092,transxion,random_forest,0.032603437023239,0.268149882903981,,1.0,0.302511743654699,0.182179793158313,0.305986696230598,0.580931263858093,0.677383592017738,1.0,0,902,5920,1820462,176.3739833831787,0.255936163416878,0.93585290398228,0.004817097085384,0.031975640229149,0.283368805107935,0.331850846119187,779,0.185657370517928,0.354300385109114,0.679075738125802,0.752246469833119,full_matrix,
random_feasible,0.195373551768382,0.92622112971947,0.005035348286031,transxion,random_forest,0.032292986927219,0.265734265734265,,1.0,0.300214156062452,0.180237154150197,0.297117516629711,0.5787139689578711,0.6751662971175161,1.0,1,902,5920,1820462,177.92509508132937,0.254643558600548,0.931905446718372,0.004768020056973,0.03161648276794,0.284682515798976,0.334590111354369,779,0.185927672955974,0.344030808729139,0.6816431322207951,0.754813863928113,full_matrix,
random_feasible,0.194531337119679,0.9183658717800872,0.004874864111133,transxion,random_forest,0.032026847941394,0.273220747889022,,1.0,0.305391806637891,0.187655343827671,0.309312638580931,0.59090909090909,0.6895787139689571,1.0,2,902,5920,1820462,180.51070070266724,0.2556368026905,0.9326606481174872,0.004608774461238,0.031380454270182,0.295092216317599,0.3424061047544,779,0.195041322314049,0.359435173299101,0.693196405648267,0.758664955070603,full_matrix,
ours,0.143709174226948,0.915300199470478,0.00832507849055,transxion,random_forest,0.045182277813653,0.221997981836528,,1.0,0.262873861944508,0.143696930111038,0.254988913525498,0.497782705099778,0.5787139689578711,1.0,0,902,5920,1820462,172.11026239395142,0.210746000643687,0.9275350826114972,0.00796900996117,0.044226026948185,0.231656184486373,0.285724695676434,779,0.145538360223905,0.297817715019255,0.5879332477535301,0.6752246469833121,full_matrix,
