augmentation,auprc,auroc,brier,candidate_multiplier,dataset,detector,ece,f1,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr
hard_projected_v2,0.271808412395501,0.934017190226273,0.0029849803488720002,10,transxion,lightgbm,0.007573797958021,0.355081555834378,,1,0.392825868798203,0.247594050743657,0.375831485587583,0.698447893569844,0.736141906873614,1,0,902,5920,1820462,75.76066184043884,0.321281519409214,0.9534398304044521,0.0026816978874920003,0.00709993444048,0.377177997950119,0.42562330647170504,779,0.256983240223463,0.394094993581514,0.761232349165596,0.793324775353016
hard_projected_v2,0.26528516287936305,0.9302925041157981,0.002971047856132,10,transxion,lightgbm,0.007738445922411001,0.356667722521381,,1,0.39343006839652406,0.24966740576496602,0.36696230598669605,0.6818181818181811,0.728381374722838,1,1,902,5920,1820462,76.88670206069946,0.314022451130472,0.9497948037675601,0.002662298946196,0.0071612091669850005,0.37978237978237905,0.42493647419148306,779,0.26135265700483,0.39152759948652105,0.7483953786906291,0.7907573812580231
v2_no_ledger,0.261918711225926,0.9395221757566691,0.003081585730779,10,transxion,lightgbm,0.006344795973931,0.34042553191489305,,1,0.38017422309936205,0.234505862646566,0.365853658536585,0.672949002217294,0.7195121951219511,1,0,902,5920,1820462,67.31886601448059,0.31676578919951004,0.9473194307153501,0.002767479957583,0.005957671632466,0.36327608982826903,0.41437804523443805,779,0.24455313472654502,0.40821566110397906,0.745827984595635,0.780487804878048
hard_projected_v2,0.26879589988865,0.9224590001012081,0.0028760108732220004,10,transxion,lightgbm,0.007266939442060001,0.36561898652982605,,1,0.401869336411452,0.257220216606498,0.38359201773835905,0.687361419068736,0.729490022172949,1,2,902,5920,1820462,74.97950863838196,0.31125804264420004,0.9484940488918301,0.0025856872522480004,0.006767467362734001,0.382842963488124,0.42706389844532705,779,0.264446620959843,0.394094993581514,0.7496790757381251,0.7843388960205391
v2_no_ledger,0.265798554884747,0.9320963773128561,0.0031568664466510004,10,transxion,lightgbm,0.0067561636456640005,0.33874849578820704,,1,0.37950792489810603,0.23245251857968602,0.360310421286031,0.6784922394678491,0.7239467849223941,1,1,902,5920,1820462,125.13007307052612,0.323925510328474,0.948471907661053,0.0028758111474190004,0.006439735968203001,0.355267423014586,0.40769315060285305,779,0.23764093668690303,0.410783055198973,0.7432605905006411,0.7766367137355581
v2_no_ledger,0.259164723059399,0.9320190968157481,0.0031904443856800003,10,transxion,lightgbm,0.0067947892206470005,0.340311004784689,,1,0.381990713261863,0.23300573300573302,0.36141906873614105,0.6707317073170731,0.710643015521064,1,2,902,5920,1820462,123.15963220596313,0.327024634339438,0.9494590446052551,0.002882032473722,0.006422305720535,0.35920753491393304,0.41197324850856304,779,0.24043478260869502,0.42233632862644405,0.7445442875481381,0.7715019255455711
v2_no_hard,0.259539209406841,0.9420857172665961,0.0032354491974430004,10,transxion,lightgbm,0.005788313957345001,0.328734957440563,,1,0.371109516347202,0.223552894211576,0.362527716186252,0.684035476718403,0.7350332594235031,1,0,902,5920,1820462,115.87621736526489,0.32458510373387,0.9484418485428421,0.0029190410577740003,0.005485554656868,0.351120934638459,0.40646282387478705,779,0.23283082077051903,0.39281129653401803,0.7560975609756091,0.7894736842105261
v2_no_hard,0.262535576344668,0.944924100464763,0.003135593730372,10,transxion,lightgbm,0.0056170677817490005,0.34390750074118,,1,0.38711130630532203,0.234722784297855,0.35920177383592,0.68070953436807,0.725055432372505,1,1,902,5920,1820462,113.32037734985352,0.322933067086807,0.950701959864903,0.0028003400529800003,0.005241890792583,0.36453201970443305,0.416582869396714,779,0.244924977934686,0.406931964056482,0.754813863928113,0.794608472400513
v2_no_hard,0.261921361998667,0.9431168478037361,0.0030896022433330003,10,transxion,lightgbm,0.005648171833932,0.341478129713423,,1,0.38226033960086103,0.234562784915043,0.36917960088691804,0.6829268292682921,0.728381374722838,1,2,902,5920,1820462,85.13301301002502,0.329804481006277,0.9498910404701321,0.0027897978977550002,0.0053097744156400005,0.35677083333333304,0.408855346501301,779,0.23898822503270803,0.417201540436457,0.7509627727856221,0.79204107830552
v2_no_profile,0.240300642004933,0.942846915868193,0.0031743179135010004,10,transxion,lightgbm,0.006661663473924001,0.336043360433604,,1,0.37635104073705805,0.23067383216205,0.34700665188470003,0.6685144124168511,0.710643015521064,1,0,902,5920,1820462,92.80967116355896,0.300727561692718,0.949668433690063,0.002893810124811,0.006331776369676001,0.35008,0.40343618034238604,779,0.23316283034953103,0.39152759948652105,0.7419768934531451,0.774069319640564
