augmentation,auprc,auroc,brier,candidate_multiplier,dataset,detector,ece,f1,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr
none,0.0013536780630170001,0.42108491994768205,0.6166698834863631,8,transxion,pyg_sage,0.768170937017558,0.00252101423142,,1,-0.025729758916256004,0.001262481549014,0.0,0.00110864745011,0.005543237250554001,1,0,902,2960,1000000,31.81427550315857,0.0027864869788540004,0.683527059024933,0.35625677533571204,0.5530075736210011,0.003614831032211,0.016142884701275,779,0.0018116597335260001,0.001283697047496,0.008985879332477001,0.028241335044929
none,0.0014235564701560002,0.461257494254581,0.608859119215114,8,transxion,pyg_sage,0.76615158992996,0.0025068583861500003,,1,-0.038325611490609,0.0012553419707170001,0.0,0.0,0.002217294900221,1,1,902,2960,1000000,33.583916664123535,0.0026481279498740003,0.675849550124709,0.37332899098397104,0.572208118745786,0.0033231925123810005,0.013392594623510001,779,0.001665066843987,0.002567394094993,0.010269576379974001,0.015404364569961
none,0.001635923829727,0.45473009441841106,0.5669778394918721,8,transxion,pyg_sage,0.730380439064053,0.0022945337255670002,,1,-0.031965050653487,0.001149104781661,0.0,0.002217294900221,0.012195121951219001,1,2,902,2960,1000000,27.942171335220337,0.0031001842117740004,0.6869401840626651,0.314745352881907,0.510342819979802,0.0040613150753850006,0.019251496919387,779,0.0020363589181700004,0.001283697047496,0.015404364569961,0.038510911424903004
random_feasible_v2,0.001301990575839,0.40382365162356504,0.596853395654191,8,transxion,pyg_sage,0.7537416391825921,0.0024145038194650003,,1,-0.029211720115077004,0.0012091601769220002,0.0,0.00110864745011,0.005543237250554001,1,0,902,5920,1002960,28.236483097076416,0.0026030565509870002,0.6731882509879931,0.33581402516381803,0.533366289691189,0.0037124480989980005,0.016228795004195003,779,0.001860944968265,0.001283697047496,0.006418485237483,0.033376123234916004
random_feasible_v2,0.001406075653477,0.45916380086655906,0.576216436447564,8,transxion,pyg_sage,0.7427294886398531,0.002418626833131,,1,-0.039360043273858,0.0012111741907300001,0.0,0.0,0.00110864745011,1,1,902,5920,1002960,28.586708545684814,0.0025344310991850002,0.6694357271481141,0.351840175622519,0.5541295368026831,0.0034401939967740004,0.014013380672646,779,0.0017239925690970001,0.002567394094993,0.010269576379974001,0.017971758664955
random_feasible_v2,0.0015581594496290002,0.418360420470121,0.5362764941536851,8,transxion,pyg_sage,0.7060701904063761,0.002301487456523,,1,-0.024891031107823,0.001152667257207,0.0,0.00110864745011,0.009977827050997002,1,2,902,5920,1002960,31.608009338378906,0.0028382282514410003,0.670433326863451,0.28607418016387104,0.47998856480253904,0.004352830555735,0.020704449952708003,779,0.002183308464487,0.001283697047496,0.015404364569961,0.046213093709884
adv_no_projection_v2,0.002105279128891,0.42443107402165203,0.56660878664717,8,transxion,pyg_sage,0.7344002317214801,0.002341273355175,,1,-0.030028557478478,0.0011725097029160001,0.006651884700665,0.021064301552106,0.072062084257206,1,0,902,5920,1002960,27.41012978553772,0.003856189655437,0.688575177959664,0.301403629947259,0.501795499333609,0.004056582982522,0.01853428268647,779,0.002034210703769,0.0038510911424900003,0.047496790757381,0.08857509627727801
adv_no_projection_v2,0.0016556843240680002,0.458584487618208,0.54949751502165,8,transxion,pyg_sage,0.7245247423976641,0.0022657534151360004,,1,-0.039417828947420006,0.001134655009188,0.0,0.008869179600886,0.024390243902439,1,1,902,5920,1002960,28.05305004119873,0.003047887893346,0.676185316712686,0.31093646958665905,0.5145520261802,0.0038148022790090003,0.016369094915891003,779,0.0019126542762490002,0.0038510911424900003,0.021822849807445,0.046213093709884
adv_no_projection_v2,0.00225301871221,0.446163099191607,0.5200484479396631,8,transxion,pyg_sage,0.697027733660041,0.002352272283878,,1,-0.022566370811807002,0.001178110593503,0.006651884700665,0.025498891352549003,0.067627494456762,1,2,902,5920,1002960,48.73437857627869,0.003577968606842,0.691110716984756,0.275917030523921,0.47451346592387605,0.004469818398136,0.021710609874513002,779,0.002242124589185,0.008985879332477001,0.026957637997432,0.06418485237483901
hard_projected_v2,0.001841354711812,0.42450450680476604,0.574266856653296,8,transxion,pyg_sage,0.740222963525741,0.00237960458729,,1,-0.03142698253185,0.0011916802867030002,0.004434589800443,0.021064301552106,0.041019955654102006,1,0,902,5920,1002960,59.52937197685242,0.0033621562241860003,0.686315058151123,0.326973529556279,0.53066981731866,0.0037642507278530003,0.016903977368133,779,0.0018869284343080001,0.002567394094993,0.03594351732991,0.070603337612323
hard_projected_v2,0.001572016999673,0.45516392027672903,0.5650147444994621,8,transxion,pyg_sage,0.7364037259133891,0.00235161045779,,1,-0.038901364867061,0.00117763120516,0.0,0.00110864745011,0.016629711751662002,1,1,902,5920,1002960,44.83401322364807,0.002857587679769,0.674434248962121,0.33579734026628605,0.540177106024475,0.003566058002148,0.015057488996149001,779,0.00178730185098,0.001283697047496,0.016688061617458002,0.04364569961489
hard_projected_v2,0.00222240129668,0.43519692279499406,0.525836829606751,8,transxion,pyg_sage,0.70264092603987,0.002314517637651,,1,-0.025442276474222,0.00115917641526,0.00110864745011,0.025498891352549003,0.06873614190687301,1,2,902,5920,1002960,42.92894387245178,0.0034914256768300003,0.686853236875133,0.28332134301378503,0.48676698271024604,0.004347254899619,0.020953404959153002,779,0.00218038927536,0.001283697047496,0.033376123234916004,0.06418485237483901
boundary_projected_v2,0.0018399807291830002,0.424693094272837,0.574068540124481,8,transxion,pyg_sage,0.7400980217609341,0.002387043560923,,1,-0.030981413404548002,0.0011954060004830001,0.002217294900221,0.019955654101995002,0.039911308203991004,1,0,902,5920,1002960,52.55894875526428,0.0033520155785570003,0.685192220242785,0.32682391085906204,0.530502950918043,0.0037522225708600003,0.016729760881046,779,0.0018809003417730001,0.002567394094993,0.037227214377406004,0.070603337612323
boundary_projected_v2,0.001573342459656,0.45544964717443104,0.565006964313092,8,transxion,pyg_sage,0.7363571521373551,0.002352625550751,,1,-0.038635920757354,0.001178140329603,0.0,0.002217294900221,0.016629711751662002,1,1,902,5920,1002960,50.81657576560974,0.0028670352914050004,0.674900674483289,0.33530158448622804,0.539583752555796,0.003570032653488,0.015071439645715001,779,0.0017893061194260002,0.001283697047496,0.017971758664955,0.04364569961489
none,0.45361771984654403,0.9827928160154661,0.011557949746013001,8,amlnet,pyg_sage,0.07348641793445601,0.24072312083729702,,1,0.301392579074899,0.149527186761229,0.38780487804878006,0.5121951219512191,0.8,1,0,410,945,654103,36.11529350280762,0.09129505038779001,0.979245953990261,0.011652263694652,0.07127456624823801,0.15717884130982301,0.19506482977844203,390,0.09780564263322801,0.041025641025641005,0.17692307692307602,0.7000000000000001
boundary_projected_v2,0.0022391610673480004,0.43514901651074106,0.527473262393799,8,transxion,pyg_sage,0.703924195172549,0.0023062224076960004,,1,-0.026021611413520003,0.001155018095283,0.003325942350332,0.027716186252771002,0.06873614190687301,1,2,902,5920,1002960,51.10833764076233,0.003506452950304,0.68739288906453,0.28397915350700004,0.487588646698607,0.004336103621758,0.020867806193122,779,0.002174778937305,0.001283697047496,0.033376123234916004,0.06418485237483901
none,0.035410047797935,0.637913125341477,0.040310281076968005,8,amlnet,pyg_sage,0.18061367522471503,0.12039401678219601,,1,0.16533712871692002,0.07078507078507,0.034146341463414005,0.14878048780487801,0.40243902439024304,1,1,410,945,654103,32.22150945663452,0.076407351604745,0.9747711329581261,0.039760116508297,0.180698927389764,0.16746587974917002,0.23569607999645603,390,0.09780267126238601,0.03076923076923,0.16666666666666602,0.6025641025641021
none,0.457596977986479,0.9834888779927431,0.033252737699522,8,amlnet,pyg_sage,0.16364088972752,0.238493723849372,,1,0.31390552879175904,0.143939393939393,0.38536585365853604,0.517073170731707,0.7878048780487801,1,2,410,945,654103,25.65054154396057,0.10124533869276801,0.9756607473319161,0.033277312523131,0.162828884148149,0.17824377457404902,0.23433193116346202,390,0.10742496050552901,0.043589743589743005,0.17948717948717902,0.7256410256410251
random_feasible_v2,0.44007499127666705,0.9837805970776531,0.013055916206756,8,amlnet,pyg_sage,0.08198716139600301,0.22613531047265903,,1,0.28575479416153104,0.13958810068649802,0.365853658536585,0.495121951219512,0.74390243902439,1,0,410,1890,655048,27.575196027755737,0.081317480994458,0.9744086143497561,0.013140191705780001,0.07988580954759601,0.13352826510721202,0.167261253767853,390,0.082430806257521,0.03076923076923,0.14102564102564102,0.6384615384615381
random_feasible_v2,0.030069283050973002,0.637220969165464,0.049492404780967,8,amlnet,pyg_sage,0.20440262742606202,0.09836065573770401,,1,0.14509020307786802,0.056171983356449004,0.024390243902439,0.134146341463414,0.33414634146341404,1,1,410,1890,655048,25.193866968154907,0.063872819108686,0.9652517178134701,0.049198308679321005,0.204848854598108,0.139184952978056,0.209183319725344,390,0.079285714285714,0.03076923076923,0.14358974358974302,0.48717948717948706
random_feasible_v2,0.44898834576685903,0.9867430828932061,0.041866498910482004,8,amlnet,pyg_sage,0.18869811826715602,0.23024468511833102,,1,0.30808497952262104,0.13778204512722,0.373170731707317,0.507317073170731,0.7536585365853651,1,2,410,1890,655048,29.279738664627075,0.09162492048619,0.9789242630520131,0.042377319413441,0.18944975986001802,0.174732334047109,0.23147399217911502,390,0.104884318766066,0.035897435897435,0.17948717948717902,0.6615384615384611
adv_no_projection_v2,0.412508132339271,0.984123993779857,0.015278767804485002,8,amlnet,pyg_sage,0.09273000464448501,0.22925577416595302,,1,0.29895895685794605,0.139004149377593,0.373170731707317,0.521951219512195,0.7585365853658531,1,0,410,1890,655048,26.25309658050537,0.07928357004521,0.9845628641267391,0.015034733151737001,0.08935670311100001,0.15030946065428802,0.196058321852282,390,0.090811965811965,0.041025641025641005,0.18717948717948701,0.5974358974358971
adv_no_projection_v2,0.032504694096882,0.6389941973354251,0.058000608983554004,8,amlnet,pyg_sage,0.223412339395748,0.10376063683777101,,1,0.16022135896056303,0.058459635013918,0.039024390243902,0.13170731707317002,0.33414634146341404,1,1,410,1890,655048,29.371601343154907,0.071442864228177,0.9798169582036811,0.056902369106154004,0.22218084112886802,0.13857574924388202,0.22062130957900802,390,0.07761010163227501,0.048717948717948004,0.15384615384615302,0.46923076923076906
adv_no_projection_v2,0.464296061930193,0.9674161191353441,0.038957822606440005,8,amlnet,pyg_sage,0.17947215238795702,0.23421262989608302,,1,0.313925580388266,0.14005736137667302,0.39512195121951205,0.541463414634146,0.797560975609756,1,2,410,1890,655048,25.308056831359863,0.106176872586293,0.9857400099150381,0.038662316113993005,0.178216103800648,0.192339716902581,0.258135760660622,390,0.11481113320079502,0.048717948717948004,0.22051282051282,0.7205128205128201
hard_projected_v2,0.398322770037256,0.97788911334949,0.015772560885148,8,amlnet,pyg_sage,0.093955777718809,0.208967173738991,,1,0.27944647533953304,0.125,0.373170731707317,0.5097560975609751,0.7000000000000001,1,0,410,1890,655048,28.57876992225647,0.073161865455106,0.9836559903281241,0.015720194516974,0.091556665972987,0.136829168373617,0.183651936248962,390,0.081423695758166,0.043589743589743005,0.17692307692307602,0.535897435897435
hard_projected_v2,0.032658540531262,0.6386756195626281,0.056709185934019,8,amlnet,pyg_sage,0.22064387946370903,0.10243902439024301,,1,0.159009830417039,0.057621951219512,0.041463414634146004,0.139024390243902,0.32682926829268205,1,1,410,1890,655048,26.55902647972107,0.06769046913172201,0.9792463545502911,0.057024619118268005,0.222180846138944,0.13680257510729602,0.22014754117020502,390,0.076393049730377,0.051282051282051,0.15384615384615302,0.451282051282051
hard_projected_v2,0.45852513940349104,0.963853905100797,0.03705247949202,8,amlnet,pyg_sage,0.173882214432919,0.230471771075019,,1,0.313023570653788,0.136948529411764,0.39268292682926803,0.534146341463414,0.7682926829268291,1,2,410,1890,655048,29.770122528076172,0.09859220877164,0.985956742344237,0.037829096516581,0.17564485669056001,0.187475069804547,0.255933731192804,390,0.111006140765233,0.056410256410256,0.223076923076923,0.6897435897435891
boundary_projected_v2,0.399008719250097,0.976851834521791,0.015778632000887,8,amlnet,pyg_sage,0.09434018401854401,0.211124644742184,,1,0.280771583623248,0.12664393570384802,0.373170731707317,0.5097560975609751,0.7024390243902431,1,0,410,1890,655048,26.708925247192383,0.07382172733447101,0.9837857482155051,0.015761803319472002,0.09205315685575201,0.139361260887598,0.186190573461386,390,0.08312716476991501,0.043589743589743005,0.17692307692307602,0.541025641025641
boundary_projected_v2,0.032625303307649005,0.637949986691136,0.056157630336179,8,amlnet,pyg_sage,0.21937577115449003,0.10281651627016601,,1,0.158983730089219,0.057899599630428004,0.041463414634146004,0.139024390243902,0.33170731707317,1,1,410,1890,655048,30.392298221588135,0.06795063793016301,0.9791240188046441,0.056252205829029005,0.22047959421677502,0.13800597663678302,0.220874333231414,390,0.077180188392585,0.051282051282051,0.15641025641025602,0.453846153846153
boundary_projected_v2,0.458967253428858,0.964957442456676,0.037212435792834,8,amlnet,pyg_sage,0.17429902440775302,0.230471771075019,,1,0.313023570653788,0.136948529411764,0.39268292682926803,0.5317073170731701,0.7682926829268291,1,2,410,1890,655048,26.3160879611969,0.098739321361582,0.9860400234869551,0.037937431611977004,0.17594687650563,0.18712514994002402,0.25519705031884904,390,0.110847939365229,0.058974358974358,0.223076923076923,0.6871794871794871
