dataset,augmentation,detector_hardness,detector_hardness,ledger_violation_rate,ledger_violation_rate,mean_flow_residual,mean_flow_residual,profile_drift,profile_drift,temporal_violation_rate,temporal_violation_rate,acceptance_rate,acceptance_rate
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
amlnet,adv_no_projection_v2,2.3426398144746137,0.16595716980815242,0.9707231040564371,0.004006284547301534,0.44221759821711065,0.004254157846152038,0.7282497732654964,0.009467053376793228,0.02,0.0,0.029276895943562004,0.0040062845473015606
amlnet,boundary_projected_v2,8.468785563717903,0.071051379103415,0.0,0.0,0.0,0.0,0.6833267314087367,0.012461754378788206,0.0,0.0,0.949206349206349,0.0
amlnet,hard_projected_v2,8.537903667994902,0.07898040651857716,0.0,0.0,0.0,0.0,0.6772737572898961,0.012193992462711032,0.0,0.0,0.949206349206349,0.0
amlnet,none,,,,,,,,,,,,
amlnet,random_feasible_v2,0.022279035230575003,0.008736435896947925,0.0,0.0,0.0,0.0,2.119120315741616,0.024019980105473796,0.0,0.0,0.949206349206349,0.0
transxion,adv_no_projection_v2,1.1913592148199623,0.03157663592449768,0.9737612612612611,0.001365355366326355,0.47426861500936496,0.008663911621008581,0.6910279079566477,0.01404619385235339,0.02,0.0,0.026238738738738665,0.0013653553663268956
transxion,boundary_projected_v2,6.134997290835314,0.04800106410082509,0.0,0.0,0.0,0.0,0.4618630933767271,0.0029669174994843266,0.0,0.0,0.9500000000000001,0.0
transxion,hard_projected_v2,6.13690831168417,0.04764360101624523,0.0,0.0,0.0,0.0,0.462889604709017,0.0022544647209521394,0.0,0.0,0.9500000000000001,0.0
transxion,none,,,,,,,,,,,,
transxion,random_feasible_v2,0.026308856337414338,0.0022416020972317783,0.0,0.0,0.0,0.0,0.510560788452278,0.006853559252804788,0.0,0.0,0.9500000000000001,0.0
