dataset,detector,augmentation,label_fraction,heldout_typology,auprc,auprc,auroc,auroc,recall_at_1pct_fpr,recall_at_1pct_fpr,precision_at_k,precision_at_k,ece,ece,training_seconds,training_seconds
,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
amlnet,pyg_sage,adv_no_projection_v2,1,,0.303102962788782,0.23577121257082861,0.8635114367502087,0.1946170120123384,0.6300813008130077,0.2570288911434109,0.26910569105691035,0.19955830663586188,0.16520483214273,0.066499138898524,26.977584918340046,2.1264432777712985
amlnet,pyg_sage,boundary_projected_v2,1,,0.2968670919955347,0.23079546924050814,0.8599197545565344,0.19232343207553723,0.6008130081300808,0.2353669067755202,0.26910569105691035,0.1973852475511353,0.16267165986026236,0.06332354394179047,27.805770476659138,2.2485939194933975
amlnet,pyg_sage,hard_projected_v2,1,,0.2965021499906697,0.2304694535263914,0.8601395460043051,0.19192172832660043,0.5983739837398371,0.23763074717046484,0.26910569105691035,0.1973852475511353,0.16282729053847902,0.06406346296966338,28.302639643351238,1.6232591925310784
amlnet,pyg_sage,none,1,,0.315541581876986,0.24260918348848207,0.8680649397832289,0.19931762188449853,0.663414634146341,0.2260937458567279,0.26910569105691,0.20348441999583913,0.13924699429556367,0.05757915347061168,31.32911483446757,5.289143079110514
amlnet,pyg_sage,random_feasible_v2,1,,0.3063775400314997,0.2393314681122805,0.8692482163787744,0.20094694988377362,0.6105691056910564,0.23943883101398336,0.25447154471544703,0.19928983573629858,0.15836263569640702,0.06660756494527702,27.349600553512573,2.0522565308721363
transxion,pyg_sage,adv_no_projection_v2,1,,0.002004660721723,0.0003111191744492991,0.44305955361048904,0.017286928919125907,0.05469327420546901,0.02633669741699434,0.004434589800443333,0.003840467422547291,0.7186509025930617,0.019366269604021973,34.732519467671715,12.130225904192587
transxion,pyg_sage,boundary_projected_v2,1,,0.0018841614187290001,0.00033510081256809643,0.438430585986003,0.015638667151099118,0.04175905395417534,0.026102310992476587,0.0018477457501843333,0.0016934869530505997,0.7267931230236128,0.019893200400589724,51.49462072054545,0.9332078396929996
transxion,pyg_sage,hard_projected_v2,1,,0.0018785910027216666,0.000326787147037417,0.4382884499588297,0.015561750022563232,0.04212860310421234,0.026070900257882307,0.0018477457501843333,0.002307833702290494,0.726422538493,0.020683821265376795,49.09744302431742,9.084392030360107
transxion,pyg_sage,none,1,,0.0014710527876333334,0.0001469952153536285,0.44569083620689137,0.02155783090600081,0.006651884700664666,0.0050804608591528905,0.0,0.0,0.7549009886705237,0.021259408632828637,31.11345450083415,2.885426337133652
transxion,pyg_sage,random_feasible_v2,1,,0.001422075226315,0.00012883172250248816,0.4271159576534151,0.028690200471332476,0.0055432372505536676,0.004434589800443501,0.0,0.0,0.7341804394096071,0.024959095319376533,29.47706699371338,1.853739712966656
