augmentation,auprc,auroc,brier,candidate_multiplier,dataset,detector,ece,f1,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr
none,0.000135253926218,0.769969160075995,0.00019923529458000001,12,amlnet,lightgbm,0.000230564920901,0.0,integration,1,-0.00010213618614500001,0.0,0.0,0.0,0,1,1,13,913,654071,10.04740047454834,0.00011839817084500001,0.7535358454887591,0.000124210778279,0.00014570301895300001,0.0,-6.752975013578093e-05,9,0.0,0.0,0,0
none,0.00017870620092900002,0.8295914814651171,0.00019261724818100002,12,amlnet,lightgbm,0.00021912656539800003,0.0,integration,1,-0.000100783097667,0.0,0.0,0.0,0,1,0,13,913,654071,11.26023244857788,0.00012955223469300002,0.754741177743879,0.00014074271266,0.00015968284972500002,0.0,-7.423240136402366e-05,9,0.0,0.0,0,0
none,0.00016087579464500002,0.799657491273803,0.00019653249748100002,12,amlnet,lightgbm,0.00022721054148200001,0.0,integration,1,-9.941160673851388e-05,0.0,0.0,0.0,0,1,2,13,913,654071,11.125903606414795,0.000150702414881,0.762809399243208,0.000126776100081,0.000148752959463,0.0,-6.610776006552238e-05,9,0.0,0.0,0,0
adv_no_projection_v2,5.6610471276744655e-05,0.46594229664648906,0.00038825624296700005,12,amlnet,lightgbm,0.0004961606851870001,0.0,integration,1,-0.000153668541605,0.0,0.0,0.0,0,1,0,13,1826,654984,12.937825679779053,5.893583026063441e-05,0.630619012903845,0.00038391091207800004,0.000465449483489,0.0,-0.000130061689464,9,0.0,0.0,0,0
adv_no_projection_v2,7.955839870167618e-05,0.617054389608094,0.000425512478759,12,amlnet,lightgbm,0.000517532418435,0.0,integration,1,-0.00016653725557300001,0.0,0.0,0.0,0,1,1,13,1826,654984,13.349554777145386,8.120556877054461e-05,0.7299887277695071,0.00035658112157900003,0.000447648733917,0.0,-0.00012635401322100002,9,0.0,0.0,0,0
adv_no_projection_v2,8.639456450618327e-05,0.645922325807449,0.000403113854324,12,amlnet,lightgbm,0.000492208736001,0.0,integration,1,-0.000158940892207,0.0,0.0,0.0,0,1,2,13,1826,654984,13.308311939239502,7.877487434621076e-05,0.726070504534418,0.00033787025524100004,0.00040276389490300006,0.0,-0.000122534378618,9,0.0,0.0,0,0
hard_projected_v2,0.00012940675502600001,0.7606125568859631,0.00028883680906400004,12,amlnet,lightgbm,0.000339939428047,0.0,integration,1,-0.00012834691052400002,0.0,0.0,0.0,0,1,0,13,1826,654984,11.364820718765259,9.718044881931364e-05,0.7702267106937111,0.000252879238001,0.00030929920024200003,0.0,-0.00010588890398200001,9,0.0,0.0,0,0
hard_projected_v2,0.000117934697713,0.7482069544470461,0.00030784248942400004,12,amlnet,lightgbm,0.00036605075820300004,0.0,integration,1,-0.000139620743633,0.0,0.0,0.0,0,1,1,13,1826,654984,12.945743560791016,9.760799872520883e-05,0.775600930367429,0.00025202868941,0.000307540748249,0.0,-0.00010942050475300001,9,0.0,0.0,0,0
hard_projected_v2,0.00013182712771800002,0.7672082357619401,0.00030615299430400005,12,amlnet,lightgbm,0.00035822240838600004,0.0,integration,1,-0.000133589234854,0.0,0.0,0.0,0,1,2,13,1826,654984,11.166602611541748,9.401621878352605e-05,0.766167584577464,0.00023852803863300001,0.00028247921424200004,0.0,-0.00010035901599700001,9,0.0,0.0,0,0
boundary_projected_v2,0.00010896870367700001,0.7253323907568591,0.00029844535585200004,12,amlnet,lightgbm,0.00033880333984300003,0.0,integration,1,-0.00012834691052400002,0.0,0.0,0.0,0,1,0,13,1826,654984,13.443141460418701,9.253354091143293e-05,0.7609705145405641,0.00024691340337,0.000280446903245,0.0,-0.00010223551764500001,9,0.0,0.0,0,0
