augmentation,auprc,auroc,brier,candidate_multiplier,dataset,detector,ece,f1,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr
none,0.5660630432999231,0.999715872104154,0.000168653086143,12,amlnet,lightgbm,0.000176020506563,0.49315068493150604,structuring,1,0.519543218956768,0.72,0.375,1.0,1.0,1,0,48,757,653915,10.307815790176392,0.5521113593781141,0.990338242591517,0.000268875417521,0.000275897968547,0.527131782945736,0.555843235344057,85,0.772727272727272,0.42352941176470504,0.905882352941176,0.929411764705882
none,0.6502121270098561,0.9998065288148571,0.000164510835031,12,amlnet,lightgbm,0.00017523438106300003,0.486486486486486,structuring,1,0.5094489679196701,0.6923076923076921,0.375,1.0,1.0,1,1,48,757,653915,10.37885308265686,0.586139922879719,0.9930730377832331,0.00027053445980200003,0.000280755207726,0.523076923076923,0.549627449748176,85,0.7555555555555551,0.552941176470588,0.917647058823529,0.917647058823529
none,0.665680416422742,0.9998209841087491,0.000164690584595,12,amlnet,lightgbm,0.00017519932242700002,0.486486486486486,structuring,1,0.5094489679196701,0.6923076923076921,0.375,1.0,1.0,1,2,48,757,653915,10.455447673797607,0.590188125401653,0.9923350274111961,0.000264259527577,0.000273187067274,0.535433070866141,0.5689341473324541,85,0.8095238095238091,0.6000000000000001,0.905882352941176,0.929411764705882
adv_no_projection_v2,0.391591786349609,0.9971953857936051,0.00037027322507500004,12,amlnet,lightgbm,0.000443872245186,0.26865671641791,structuring,1,0.27994876719628503,0.20930232558139503,0.375,0.895833333333333,1.0,1,0,48,1514,654672,11.791428327560425,0.424150368222095,0.995155445427881,0.000447610003117,0.0005103249842810001,0.375690607734806,0.37612777959167104,85,0.354166666666666,0.4,0.517647058823529,0.9529411764705881
adv_no_projection_v2,0.38631664620773004,0.9959221711659961,0.00036422626783900005,12,amlnet,lightgbm,0.00042293975004400005,0.283464566929133,structuring,1,0.292108728566678,0.22784810126582203,0.375,0.45833333333333304,0.9791666666666661,1,1,48,1514,654672,11.978082418441772,0.419549696506795,0.9926127069893951,0.00043991888578100006,0.000499157638623,0.39306358381502804,0.392881558549799,85,0.386363636363636,0.4,0.458823529411764,0.8352941176470581
adv_no_projection_v2,0.39508944797031703,0.9971078881868651,0.000374515599,12,amlnet,lightgbm,0.00042735389516800005,0.274809160305343,structuring,1,0.284971693154702,0.21686746987951802,0.375,0.75,1.0,1,2,48,1514,654672,12.242121458053589,0.42514337077246306,0.9941708369955471,0.000428168125417,0.00048502856318000006,0.388571428571428,0.38848453719231,85,0.37777777777777705,0.4,0.6000000000000001,0.929411764705882
hard_projected_v2,0.38262235130382205,0.994623587976258,0.00026537109808300003,12,amlnet,lightgbm,0.00031048621355,0.35643564356435603,structuring,1,0.35672425848605804,0.339622641509433,0.375,0.416666666666666,0.895833333333333,1,0,48,1514,654672,11.41443419456482,0.41137161997019406,0.9873511735840611,0.000339224614806,0.00038243325657200003,0.45945945945945904,0.464443124028027,85,0.539682539682539,0.4,0.447058823529411,0.6941176470588231
hard_projected_v2,0.38992802532638404,0.9963527666092281,0.000263978532995,12,amlnet,lightgbm,0.00030668129099600003,0.349514563106796,structuring,1,0.35017132674001805,0.32727272727272705,0.375,0.5,1.0,1,1,48,1514,654672,12.949621677398682,0.42333758107294805,0.99390677923041,0.00035107001390700005,0.000397554830396,0.43037974683544306,0.43142117103757105,85,0.46575342465753405,0.4,0.541176470588235,0.8588235294117641
hard_projected_v2,0.383653761152624,0.9942737890101471,0.00024266494331300003,12,amlnet,lightgbm,0.00028319171838400004,0.375,structuring,1,0.374862148190695,0.375,0.375,0.375,0.875,1,2,48,1514,654672,12.068301439285278,0.41078992960863103,0.9857943408934391,0.00036121193535400005,0.00039303689515200003,0.44155844155844104,0.44376629161672304,85,0.49275362318840504,0.4,0.42352941176470504,0.6000000000000001
boundary_projected_v2,0.382924754388261,0.9938565000957301,0.00027583048371,12,amlnet,lightgbm,0.000336770073911,0.33333333333333304,structuring,1,0.33524682185937804,0.30000000000000004,0.375,0.375,0.833333333333333,1,0,48,1514,654672,12.295099020004272,0.40897966583835005,0.9864237551446671,0.000347101917774,0.00038994136569500004,0.45333333333333303,0.457233612067023,85,0.523076923076923,0.4,0.42352941176470504,0.658823529411764
