acceptance_rate,augmentation,dataset,detector,detector_hardness,edit_distance,generated,heldout_typology,label_fraction,ledger_violation_rate,mean_flow_residual,median_flow_residual,profile_drift,rho,seed,temporal_violation_rate
,none,transxion,lightgbm,,,0,,0.01,,,,,1,1,
,none,transxion,lightgbm,,,0,,0.01,,,,,1,0,
,none,transxion,lightgbm,,,0,,0.01,,,,,1,2,
,none,transxion,lightgbm,,,0,,0.05,,,,,1,0,
,none,transxion,lightgbm,,,0,,0.05,,,,,1,1,
,none,transxion,lightgbm,,,0,,0.05,,,,,1,2,
,none,transxion,lightgbm,,,0,,0.1,,,,,1,0,
,none,transxion,lightgbm,,,0,,0.1,,,,,1,1,
,none,transxion,lightgbm,,,0,,0.1,,,,,1,2,
,none,transxion,lightgbm,,,0,,0.25,,,,,1,0,
,none,transxion,lightgbm,,,0,,0.25,,,,,1,1,
,none,transxion,lightgbm,,,0,,0.25,,,,,1,2,
,none,transxion,lightgbm,,,0,,1.0,,,,,1,0,
,none,transxion,lightgbm,,,0,,1.0,,,,,1,1,
,none,transxion,lightgbm,,,0,,1.0,,,,,1,2,
0.9333333333333331,random_feasible_v2,transxion,lightgbm,0.059084197789061,0.006799396990388001,30,,0.01,0.0,0.0,0.0,0.527283546771628,1,0,0.0
0.9333333333333331,random_feasible_v2,transxion,lightgbm,0.015010561007988001,0.018477946302004,30,,0.01,0.0,0.0,0.0,0.37964025531169804,1,1,0.0
0.9333333333333331,random_feasible_v2,transxion,lightgbm,0.108717411521436,0.023523834971596002,30,,0.01,0.0,0.0,0.0,0.42252855141899004,1,2,0.0
0.945945945945945,random_feasible_v2,transxion,lightgbm,0.015250077206477001,0.010160971590054,148,,0.05,0.0,0.0,0.0,0.412540480301186,1,0,0.0
0.945945945945945,random_feasible_v2,transxion,lightgbm,0.006756452306794,0.006450806263844,148,,0.05,0.0,0.0,0.0,0.42231629724283404,1,1,0.0
0.945945945945945,random_feasible_v2,transxion,lightgbm,0.008703456781515,0.006902319044893,148,,0.05,0.0,0.0,0.0,0.604665672053576,1,2,0.0
0.9493243243243241,random_feasible_v2,transxion,lightgbm,0.018792208128613,0.010453154579805,296,,0.1,0.0,0.0,0.0,0.588954146153252,1,0,0.0
0.9493243243243241,random_feasible_v2,transxion,lightgbm,0.020395950445163003,0.008686528300848,296,,0.1,0.0,0.0,0.0,0.571297422121957,1,1,0.0
0.9493243243243241,random_feasible_v2,transxion,lightgbm,0.009919282048688001,0.008258042054397001,296,,0.1,0.0,0.0,0.0,0.49157687605589206,1,2,0.0
0.9500000000000001,random_feasible_v2,transxion,lightgbm,0.022307097586856003,0.010880316524135,740,,0.25,0.0,0.0,0.0,0.536791623970137,1,0,0.0
0.9500000000000001,random_feasible_v2,transxion,lightgbm,0.024626692821676,0.008675011503782,740,,0.25,0.0,0.0,0.0,0.5228071012922071,1,1,0.0
0.9500000000000001,random_feasible_v2,transxion,lightgbm,0.025357014259320004,0.009889510512552002,740,,0.25,0.0,0.0,0.0,0.5097221137539371,1,2,0.0
