dataset,detector,label_fraction,heldout_typology,adv_no_projection_v2,boundary_projected_v2,hard_projected_v2,none,random_feasible_v2
amlnet,lightgbm,0.01,,0.6463124168619053,0.596412689588099,0.5640739550618273,0.6513050156281558,0.6142019174044667
amlnet,lightgbm,0.05,,0.7040898911877481,0.6892852348045725,0.6468952793912731,0.8472543353441274,0.8131799901880911
amlnet,lightgbm,0.1,,0.7621289306068267,0.7875168068317097,0.7712142071253955,0.8648592657205357,0.878373291173233
amlnet,lightgbm,0.25,,0.8059939388292591,0.7695502319077021,0.753184684430764,0.8976241033028524,0.9038030497711808
amlnet,lightgbm,1.0,,0.9778953786884234,0.977202770285956,0.9770372935365407,0.9713560939888867,0.9721289511664954
amlnet,xgboost,0.01,,0.31282706018419704,0.2795503483788104,0.2276291290156487,0.3231976363427267,0.31633519051357234
amlnet,xgboost,0.05,,0.35763962392487536,0.39926044220528506,0.4092971514210897,0.5646763463877321,0.5461728945966807
amlnet,xgboost,0.1,,0.509157104102539,0.5073523072912027,0.48815313076758543,0.6826006134092594,0.6225806397852996
amlnet,xgboost,0.25,,0.641854495378531,0.565465281805266,0.568620025555138,0.8231710842794994,0.8304826702885221
amlnet,xgboost,1.0,,0.9755167638048583,0.9672653188734973,0.9667840465546872,0.9738463144504973,0.9754506312471194
transxion,lightgbm,0.01,,0.03670262677893367,0.058914049247824674,0.06040016136175933,0.05570527749085533,0.050244643481201674
transxion,lightgbm,0.05,,0.09434675593992332,0.08128630041368468,0.07874311605273167,0.09998653550114933,0.10395235936009067
transxion,lightgbm,0.1,,0.13544346181687636,0.14513084382996602,0.15108232741795735,0.14420211781576334,0.13751101021204368
transxion,lightgbm,0.25,,0.16219198938433335,0.196230576199694,0.197000910790282,0.1692794171579617,0.17373788963893033
transxion,lightgbm,1.0,,0.25619075782342837,0.26046826863825634,0.2636482325005867,0.2715902577537644,0.2725824881803764
transxion,xgboost,0.01,,0.020987648239717004,0.01704742542249967,0.016667070801238335,0.018725560893849334,0.01987050423680667
transxion,xgboost,0.05,,0.05921761456688434,0.06558923692834068,0.06648410631470034,0.063755016406284,0.07645211433532234
transxion,xgboost,0.1,,0.09219057177369368,0.10437388113484268,0.09514858517738667,0.09457354289788633,0.09677055916006434
transxion,xgboost,0.25,,0.12918388193001099,0.13550028293882202,0.13066419633530701,0.13488313361526735,0.14068327376463302
transxion,xgboost,1.0,,0.23695984997149236,0.23763190039176904,0.23908887514793334,0.2494231332621607,0.24401858530399334
