augmentation,auprc,auroc,brier,candidate_multiplier,dataset,detector,ece,f1,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr
none,0.26664223402290305,0.9460071508577901,0.003223432608482,10,transxion,lightgbm,0.005749641147793001,0.32773595830920604,,1,0.37161031054527405,0.221786833855799,0.38470066518847,0.68070953436807,0.7195121951219511,1,0,902,2960,1817502,50.446573972702026,0.327850961418001,0.9478956012963481,0.0028988096610560003,0.005396429243167001,0.342566061763769,0.395405418289802,779,0.22777307366638402,0.41206675224646905,0.745827984595635,0.7894736842105261
none,0.27803847827496103,0.9432027070811261,0.0030898272994530004,10,transxion,lightgbm,0.0053929437767680005,0.342754058929645,,1,0.384096975809719,0.23514851485148502,0.368070953436807,0.68070953436807,0.729490022172949,1,1,902,2960,1817502,46.575145959854126,0.34807347275551304,0.9477709794340831,0.00278979355604,0.005100861230355001,0.355700325732899,0.40753412447785303,779,0.23832387603666502,0.42618741976893404,0.7560975609756091,0.7907573812580231
none,0.270090060963429,0.9469385890405111,0.0031594350243270004,10,transxion,lightgbm,0.005783959405843001,0.34030026493965204,,1,0.38389178778897803,0.23166332665330602,0.36363636363636304,0.685144124168514,0.7305986696230591,1,2,902,2960,1817502,57.151461124420166,0.349778746521107,0.9502763776585771,0.0028338798666030004,0.0053988939609160005,0.355121951219512,0.40708700577705903,779,0.23780487804878,0.42362002567394,0.7483953786906291,0.79204107830552
random_feasible_v2,0.268105750335429,0.9405531945002621,0.003198993674267,10,transxion,lightgbm,0.005714928505655001,0.33770778652668404,,1,0.38209609725592103,0.229125445191927,0.365853658536585,0.6796008869179601,0.7272727272727271,1,0,902,5920,1820462,47.753334283828735,0.32537208563429404,0.9469815393245151,0.0028482610166240003,0.0053270160657380005,0.357419354838709,0.41083788603908805,779,0.23869021973287302,0.410783055198973,0.7625160462130931,0.7843388960205391
random_feasible_v2,0.264251054100117,0.9437527808186841,0.0032002255379630002,10,transxion,lightgbm,0.005712875931389001,0.339264531435349,,1,0.38181570622902405,0.23157894736842102,0.35920177383592,0.685144124168514,0.7305986696230591,1,1,902,5920,1820462,48.535757303237915,0.331320928536729,0.9514971241063821,0.002853090405987,0.005341332134847001,0.358692133376497,0.411821727664874,779,0.23982683982683903,0.41591784338896004,0.7573812580231061,0.794608472400513
random_feasible_v2,0.265026320784965,0.9384746188987271,0.003146330359957,10,transxion,lightgbm,0.005687880459775,0.33927510398098604,,1,0.381611761278484,0.23173701298701302,0.370288248337028,0.6829268292682921,0.7261640798226161,1,2,902,5920,1820462,45.5474488735199,0.328675696693062,0.9483706512045511,0.002839776996072,0.005347484244874,0.35172636334301305,0.40421518627860303,779,0.234913793103448,0.40949935815147603,0.7483953786906291,0.79204107830552
adv_no_projection_v2,0.261918711225926,0.9395221757566691,0.003081585730779,10,transxion,lightgbm,0.006344795973931,0.34042553191489305,,1,0.38017422309936205,0.234505862646566,0.365853658536585,0.672949002217294,0.7195121951219511,1,0,902,5920,1820462,49.56502604484558,0.31676578919951004,0.9473194307153501,0.002767479957583,0.005957671632466,0.36327608982826903,0.41437804523443805,779,0.24455313472654502,0.40821566110397906,0.745827984595635,0.780487804878048
adv_no_projection_v2,0.265798554884747,0.9320963773128561,0.0031568664466510004,10,transxion,lightgbm,0.0067561636456640005,0.33874849578820704,,1,0.37950792489810603,0.23245251857968602,0.360310421286031,0.6784922394678491,0.7239467849223941,1,1,902,5920,1820462,52.138214111328125,0.323925510328474,0.948471907661053,0.0028758111474190004,0.006439735968203001,0.355267423014586,0.40769315060285305,779,0.23764093668690303,0.410783055198973,0.7432605905006411,0.7766367137355581
adv_no_projection_v2,0.259164723059399,0.9320190968157481,0.0031904443856800003,10,transxion,lightgbm,0.0067947892206470005,0.340311004784689,,1,0.381990713261863,0.23300573300573302,0.36141906873614105,0.6707317073170731,0.710643015521064,1,2,902,5920,1820462,51.273725748062134,0.327024634339438,0.9494590446052551,0.002882032473722,0.006422305720535,0.35920753491393304,0.41197324850856304,779,0.24043478260869502,0.42233632862644405,0.7445442875481381,0.7715019255455711
hard_projected_v2,0.271808412395501,0.934017190226273,0.0029849803488720002,10,transxion,lightgbm,0.007573797958021,0.355081555834378,,1,0.392825868798203,0.247594050743657,0.375831485587583,0.698447893569844,0.736141906873614,1,0,902,5920,1820462,52.246856689453125,0.321281519409214,0.9534398304044521,0.0026816978874920003,0.00709993444048,0.377177997950119,0.42562330647170504,779,0.256983240223463,0.394094993581514,0.761232349165596,0.793324775353016
hard_projected_v2,0.26528516287936305,0.9302925041157981,0.002971047856132,10,transxion,lightgbm,0.007738445922411001,0.356667722521381,,1,0.39343006839652406,0.24966740576496602,0.36696230598669605,0.6818181818181811,0.728381374722838,1,1,902,5920,1820462,62.19561505317688,0.314022451130472,0.9497948037675601,0.002662298946196,0.0071612091669850005,0.37978237978237905,0.42493647419148306,779,0.26135265700483,0.39152759948652105,0.7483953786906291,0.7907573812580231
hard_projected_v2,0.26879589988865,0.9224590001012081,0.0028760108732220004,10,transxion,lightgbm,0.007266939442060001,0.36561898652982605,,1,0.401869336411452,0.257220216606498,0.38359201773835905,0.687361419068736,0.729490022172949,1,2,902,5920,1820462,51.61114549636841,0.31125804264420004,0.9484940488918301,0.0025856872522480004,0.006767467362734001,0.382842963488124,0.42706389844532705,779,0.264446620959843,0.394094993581514,0.7496790757381251,0.7843388960205391
boundary_projected_v2,0.265930840035006,0.9325357167922981,0.00297485951246,10,transxion,lightgbm,0.0072039815194910005,0.35637963544940204,,1,0.39404584782559504,0.248684210526315,0.365853658536585,0.695121951219512,0.732815964523281,1,0,902,5920,1820462,53.31742572784424,0.319302575754048,0.9517632538078921,0.0026729045725180003,0.006759149313918001,0.373360938578329,0.41996248482533405,779,0.255309108069844,0.404364569961489,0.758664955070603,0.7907573812580231
boundary_projected_v2,0.266074740855758,0.933994629921791,0.0030340515828300003,10,transxion,lightgbm,0.008066507677320001,0.352276295133438,,1,0.38959255525901904,0.24572930354796302,0.37472283813747204,0.687361419068736,0.736141906873614,1,1,902,5920,1820462,50.590718030929565,0.32008992231437,0.94985153589778,0.002730638444809,0.007473950051591001,0.37593984962406,0.42417283156926705,779,0.256171401956217,0.413350449293966,0.7560975609756091,0.7907573812580231
