dataset,augmentation,detector_hardness,detector_hardness,ledger_violation_rate,ledger_violation_rate,mean_flow_residual,mean_flow_residual,profile_drift,profile_drift,temporal_violation_rate,temporal_violation_rate,acceptance_rate,acceptance_rate
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
amlnet,adv_no_projection_v2,3.7142199382154257,0.9835065396349966,0.9659611992945322,0.0060340802607810095,0.44750989776974565,0.0072575383647352,0.6111620383608573,0.07259570733135316,0.02,0.0,0.03403880070546684,0.006034080260781024
amlnet,boundary_projected_v2,9.706914188997578,2.047540849014894,0.0,0.0,0.0,0.0,0.47466480377643316,0.14705723300927664,0.0,0.0,0.949206349206349,0.0
amlnet,hard_projected_v2,9.741007457600825,2.028788611975712,0.0,0.0,0.0,0.0,0.4755339014769691,0.14073802378046,0.0,0.0,0.949206349206349,0.0
amlnet,none,,,,,,,,,,,,
amlnet,random_feasible_v2,0.04626138750254375,0.045045196828878815,0.0,0.0,0.0,0.0,2.106755373719416,0.007302560926536649,0.0,0.0,0.949206349206349,0.0
transxion,adv_no_projection_v2,1.4878383250277583,0.2203208526943172,0.9730011261261257,0.003682441824631781,0.47361992611454573,0.015192195144086821,0.7421957354824992,0.019156354566052643,0.02,0.0,0.026998873873873338,0.0036824418246317863
transxion,boundary_projected_v2,5.475139497895255,0.8607362177066686,0.0,0.0,0.0,0.0,0.4935052873481374,0.015414385911576112,0.0,0.0,0.9500000000000001,0.0
transxion,hard_projected_v2,5.47677605069403,0.861499539737244,0.0,0.0,0.0,0.0,0.49560129582487916,0.014872042459068287,0.0,0.0,0.9500000000000001,0.0
transxion,none,,,,,,,,,,,,
transxion,random_feasible_v2,0.10149791079546476,0.11562987563505885,0.0,0.0,0.0,0.0,0.5142753229000441,0.002077694923016978,0.0,0.0,0.9500000000000001,0.0
