dataset,detector,augmentation,label_fraction,heldout_typology,auprc,auprc,auroc,auroc,recall_at_1pct_fpr,recall_at_1pct_fpr,precision_at_k,precision_at_k,ece,ece,training_seconds,training_seconds
,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
amlnet,lightgbm,adv_no_projection_v2,1,,0.9796075707809679,0.0006683657134022309,0.9997612847489757,7.000438737534437e-05,0.9951219512195121,0.0024390243902440156,0.949593495934959,0.0014081713882668043,0.00044186722552933336,6.992379554968363e-05,13.46673838297526,0.3709996447426249
amlnet,lightgbm,boundary_projected_v2,1,,0.9775687380084848,0.00026174497280338673,0.9997326982436968,4.388904978266244e-05,0.9910569105691054,0.0028163427765348905,0.9495934959349587,0.0028163427765342574,0.0003372151146346667,2.7269615124405415e-05,13.519615093866983,0.5797312122610238
amlnet,lightgbm,hard_projected_v2,1,,0.9773398171220821,0.0006624495341785743,0.9996314014466964,4.871713006580886e-05,0.9918699186991867,0.0014081713882674613,0.9512195121951214,0.0024390243902434744,0.00032742669084733335,2.6895257017297154e-05,13.897314627965292,0.47478966428809133
amlnet,lightgbm,none,1,,0.9713560939888867,0.0002486505432806228,0.9994297231289367,6.235788784033631e-05,0.9886178861788614,0.0014081713882674453,0.951219512195121,0.0,0.0002416341654216667,2.678186578102382e-06,11.292606433232626,0.7029951406761431
amlnet,lightgbm,random_feasible_v2,1,,0.9716597640426198,0.00013512817081108783,0.9994581452580747,0.00011731186886294606,0.9845528455284548,0.0028163427765348185,0.951219512195121,0.0,0.0002558928625256667,1.2969181836749363e-05,11.858639081319174,1.2106900347316087
amlnet,random_forest,adv_no_projection_v2,1,,0.9545059020025364,0.002590019184115827,0.9997997263510827,7.806758547316029e-05,0.9959349593495933,0.0028163427765348905,0.8918699186991867,0.0028163427765348905,0.0017102428639396668,0.000746691675627168,49.97467462221781,1.6037511197558785
amlnet,random_forest,boundary_projected_v2,1,,0.9436286503041821,0.01177175469684484,0.9974793086862515,0.0007486282048107766,0.9853658536585361,0.0,0.898373983739837,0.017303899718530833,0.0016851576910330002,7.170124274017858e-05,48.17107764879862,0.7586848010072618
amlnet,random_forest,hard_projected_v2,1,,0.9451384622209283,0.011034969584321756,0.9974624806787983,0.0008147732819704678,0.9853658536585361,0.004224514164802256,0.9024390243902438,0.02167852296906272,0.0015992681616406668,3.264438606146565e-05,47.83737174669901,1.2938153322693147
amlnet,random_forest,none,1,,0.9622084218000384,0.0021085963405479105,0.9975507002330212,0.0016374730740885144,0.990243902439024,0.0,0.9317073170731703,0.004878048780487504,0.00047413084104933333,0.0001400766442571516,48.12624724706014,0.658623193652003
amlnet,random_forest,random_feasible_v2,1,,0.9523649706886853,0.004336200318299145,0.989305185787067,0.003907925991244269,0.9813008130081298,0.007451342593423879,0.9252032520325201,0.006138076776642641,0.007926390074706002,0.0015339543812934776,49.50151705741882,0.8355779303795997
amlnet,topology_lr,adv_no_projection_v2,1,,0.014669129202942999,0.010226789762805161,0.7801940292234625,0.13329956837234838,0.13739837398373936,0.09575565440218221,0.028455284552845003,0.009857199717871476,0.447165511914232,0.40904678220977986,9.361783901850382,1.2756727611347327
amlnet,topology_lr,boundary_projected_v2,1,,0.012485043833469002,0.009049261248857363,0.7662646792096868,0.12015897019874873,0.13170731707317035,0.08059859337491829,0.027642276422763668,0.007451342593423885,0.5335038510907874,0.3561683364765429,10.233743588129679,0.3768892403145646
amlnet,topology_lr,hard_projected_v2,1,,0.014168712516741335,0.009393672397307155,0.7863293238630257,0.12174290232696253,0.14796747967479637,0.0733872136351013,0.030081300813007666,0.008565572156790711,0.48749308554090476,0.3823620871866749,9.35390019416809,0.7437217508342183
amlnet,topology_lr,none,1,,0.030625504806236003,0.02881738625460159,0.8661221613594647,0.11219168814217433,0.23739837398373934,0.26622633683232905,0.027642276422764,0.025032202143643236,0.187386451575306,0.13509746889305835,7.804461558659871,2.4174416228373237
amlnet,topology_lr,random_feasible_v2,1,,0.042609054939189005,0.024266375370144914,0.9131452646128984,0.05639358617469736,0.3609756097560974,0.15808566266437876,0.04390243902438967,0.0170731707317075,0.3455348901948434,0.3415481727211794,9.209587017695108,0.6186575333953946
amlnet,xgboost,adv_no_projection_v2,1,,0.9763587513002641,0.0023564499878780333,0.9997705944158805,5.6762901743862795e-06,0.9926829268292682,0.0,0.949593495934959,0.0014081713882668043,0.00040619358004233334,8.321161190467069e-05,13.146855990091959,0.16215965421598486
amlnet,xgboost,boundary_projected_v2,1,,0.9679783207352197,0.0012041247976100455,0.9995087581662717,0.00018856249097197786,0.9861788617886175,0.0014081713882673653,0.9487804878048777,0.002439024390243516,0.0004396876484036667,9.735648819573313e-05,13.976526896158854,0.7635632036796505
amlnet,xgboost,hard_projected_v2,1,,0.9691399788129041,0.001373776163447677,0.9995384373993074,3.374979993153973e-05,0.98780487804878,0.002439024390243974,0.949593495934959,0.0014081713882667882,0.00048143857472166663,9.221097642625169e-05,14.194120089213053,0.25205143256160123
amlnet,xgboost,none,1,,0.9738463144504973,0.0006196073046067158,0.9993454915640481,0.00012694612905123355,0.990243902439024,0.0,0.951219512195121,0.0,0.0002488713550303334,4.833749211405194e-06,12.262029965718588,0.5216632955926214
amlnet,xgboost,random_feasible_v2,1,,0.9729940671430315,0.001209316667238182,0.9991438916985373,0.00013972046821104903,0.98780487804878,0.002439024390243974,0.951219512195121,0.0,0.0002718219779476667,6.683507056614974e-06,12.869333426157633,0.8634109152336635
transxion,lightgbm,adv_no_projection_v2,1,,0.262293996390024,0.003332800682240697,0.9345458832950911,0.004309768910994674,0.718033998521803,0.006773947812203626,0.36252771618625235,0.0029332054446392325,0.006631916280080668,0.00024940235847581844,50.99232196807861,1.3094713711699861
transxion,lightgbm,boundary_projected_v2,1,,0.2651422151786867,0.0014922956243641843,0.9301098982134284,0.005513564235194617,0.7317073170731704,0.005080460859152852,0.3688100517368807,0.005120623230063246,0.007523929384363334,0.00047239927377862746,52.05230553944906,1.373929864298411
transxion,lightgbm,hard_projected_v2,1,,0.26862982505450467,0.0032647942814748353,0.9289228981477597,0.005899559739722292,0.7313377679231338,0.0041972715046565065,0.37546193643754605,0.008321012748852708,0.007526394440830667,0.00023930087825738914,55.3512057463328,5.935948639431076
transxion,lightgbm,none,1,,0.2715902577537644,0.005844359551776443,0.9453828156598091,0.0019446206142055172,0.7265336289726531,0.006105954043554287,0.3721359940872134,0.011104936586339275,0.005642181443468001,0.00021652712667340752,51.39106035232544,5.351042095333208
transxion,lightgbm,random_feasible_v2,1,,0.2657943750735037,0.002038897081571078,0.9409268647392244,0.0026588475697067707,0.7280118255728008,0.002307833702290327,0.36511456023651095,0.005580069796947767,0.005705228298939667,1.5058682148239942e-05,47.27884682019552,1.5496291758481313
transxion,random_forest,adv_no_projection_v2,1,,0.167229561165488,0.0037549204932355285,0.9143245857313534,0.0018613607335346337,0.562823355506282,0.0027900348984743507,0.30081300813008066,0.00568913685082817,0.029851250003621002,0.0008514271819446154,418.0590371290843,41.1113625872427
