augmentation,auprc,auroc,brier,candidate_multiplier,dataset,detector,ece,f1,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr
random_feasible_v2,0.26627731537628,0.9444476858464361,0.0031524686181330004,10,transxion,lightgbm,0.005509256192847,0.33076467101363305,,1,0.372258031902131,0.22572815533980503,0.36917960088691804,0.666297117516629,0.7228381374722831,0.5,1,902,4440,1818982,43.8697247505188,0.32817217236793,0.948288289899572,0.0028503844565970003,0.005242911838687,0.35135135135135104,0.40417214097241305,779,0.234435379991412,0.421052631578947,0.7573812580231061,0.788189987163029
random_feasible_v2,0.267322230892724,0.9460589424260001,0.003145432545007,10,transxion,lightgbm,0.005681025534507,0.341678939617083,,1,0.38538457105465,0.232651423987164,0.365853658536585,0.6895787139689571,0.7350332594235031,0.5,0,902,4440,1818982,53.22234034538269,0.334559990928781,0.948193839601401,0.002838723525294,0.005345933216437,0.36156351791530905,0.41428816004,779,0.24225229157573103,0.413350449293966,0.7496790757381251,0.7843388960205391
random_feasible_v2,0.259919616568749,0.9408179912633301,0.0032211714567580004,10,transxion,lightgbm,0.0058640083251,0.33877551020408103,,1,0.38334806395555604,0.22982594936708803,0.371396895787139,0.685144124168514,0.7372505543237251,0.5,2,902,4440,1818982,45.251367807388306,0.33954231857667305,0.9470900517228781,0.0028958977512050003,0.005484776295952,0.348734177215189,0.40338322172405505,779,0.231415371692566,0.417201540436457,0.7509627727856221,0.7843388960205391
hard_projected_v2,0.259105878681242,0.9237802257314791,0.003334979386481,10,transxion,lightgbm,0.008903111711802001,0.339212228101117,,1,0.382836518935381,0.2308,0.35920177383592,0.6929046563192901,0.729490022172949,0.5,0,902,4440,1818982,57.650893688201904,0.31402500540093203,0.9478046346989171,0.002989074826579,0.008196236303690001,0.35567178816606704,0.40701844621028505,779,0.23859649122807003,0.406931964056482,0.747111681643132,0.786906290115532
hard_projected_v2,0.262110247335245,0.932200381965931,0.0033020408680640005,10,transxion,lightgbm,0.008781648607986001,0.34394525438857404,,1,0.38671623731506405,0.23505490036600202,0.36363636363636304,0.6906873614190681,0.729490022172949,0.5,1,902,4440,1818982,51.52779960632324,0.320879939333005,0.950218459542539,0.0029716196887030004,0.008178709679163001,0.35975008220979904,0.41091173692584704,779,0.24182139699381003,0.41206675224646905,0.753530166880616,0.788189987163029
hard_projected_v2,0.269224345614118,0.9360765336722241,0.0032074240904510004,10,transxion,lightgbm,0.008169619884023,0.342531493701259,,1,0.384136231186875,0.23478618421052602,0.36917960088691804,0.684035476718403,0.729490022172949,0.5,2,902,4440,1818982,56.288366079330444,0.32010681296744103,0.955217188214538,0.0028926805395470003,0.007523868430401001,0.36222005842259003,0.41553630384223006,779,0.24239791485664602,0.417201540436457,0.7650834403080871,0.79204107830552
boundary_projected_v2,0.267545742777057,0.9235157771778211,0.003351948499981,10,transxion,lightgbm,0.009258775809615,0.338352524357838,,1,0.38132118070367105,0.23058350100603603,0.371396895787139,0.6829268292682921,0.721729490022172,0.5,0,902,4440,1818982,49.93213105201721,0.32223250402005105,0.9466752155240151,0.0030033865954190004,0.008503354997142,0.35897435897435903,0.411793003443216,779,0.240225890529973,0.40564826700898504,0.753530166880616,0.794608472400513
boundary_projected_v2,0.263407108148039,0.933189897813073,0.003234209686788,10,transxion,lightgbm,0.008273064429861001,0.338164251207729,,1,0.37841963153886005,0.23236514522821503,0.37472283813747204,0.677383592017738,0.7228381374722831,0.5,1,902,4440,1818982,56.848267793655396,0.31874943902135605,0.9515462099165831,0.0029133628212240003,0.007787008445219,0.36578947368421005,0.41780175396762403,779,0.245908889871738,0.42233632862644405,0.7560975609756091,0.7894736842105261
boundary_projected_v2,0.26826167635033304,0.9351233452300721,0.0033456276303060004,10,transxion,lightgbm,0.0085216292798,0.337692531240918,,1,0.382509385576742,0.228830248129184,0.375831485587583,0.6818181818181811,0.7305986696230591,0.5,2,902,4440,1818982,52.524876832962036,0.311968012371935,0.9530610893339151,0.0030292363099760004,0.007871695636615,0.355555555555555,0.410878677657777,779,0.23618726275832902,0.40949935815147603,0.758664955070603,0.7907573812580231
random_feasible_v2,0.2418734711945,0.9319668150053421,0.0034729509771290004,10,transxion,xgboost,0.008189850176339001,0.304284465170504,,1,0.344096845485235,0.20640569395017702,0.356984478935698,0.6086474501108641,0.666297117516629,0.5,0,902,4440,1818982,52.00426912307739,0.301616183067533,0.9370508260375311,0.0031480888967040004,0.007842277605250001,0.331064356435643,0.385770201650096,779,0.218100285364859,0.404364569961489,0.7086007702182281,0.758664955070603
random_feasible_v2,0.24839826966351503,0.9362362069303991,0.0034471766835960003,10,transxion,xgboost,0.008313999929319001,0.31002677774471804,,1,0.34833676228274,0.211874745831638,0.36363636363636304,0.6197339246119731,0.68070953436807,0.5,1,902,4440,1818982,51.51641654968262,0.304452598660005,0.942233288099325,0.003141562987414,0.007971508792677,0.336696090794451,0.389879388025317,779,0.223150856665273,0.410783055198973,0.72400513478819,0.7496790757381251
random_feasible_v2,0.24115853250954303,0.9324063414182571,0.0034505711322870003,10,transxion,xgboost,0.008175329654701,0.301953818827708,,1,0.33974558510762204,0.20597738287560502,0.35920177383592,0.607538802660753,0.669623059866962,0.5,2,902,4440,1818982,50.44024658203125,0.30874886058322204,0.9389410392029941,0.0031403707135180003,0.007846739175105,0.326645768025078,0.37889925125905505,779,0.21609290750725801,0.41848523748395305,0.718870346598202,0.7496790757381251
hard_projected_v2,0.231549988929822,0.8915280886676921,0.0037499230267500003,10,transxion,xgboost,0.014740093376917,0.294985250737463,,1,0.33222263738144103,0.20096463022508002,0.34146341463414603,0.610864745011086,0.6574279379157421,0.5,0,902,4440,1818982,50.91670799255371,0.288299425251539,0.9286733754638351,0.0034261786967990002,0.013561453028692001,0.32410320956576405,0.375452687815618,779,0.214672780325135,0.38254172015404303,0.698331193838254,0.7445442875481381
hard_projected_v2,0.23259471634042903,0.8900382013947341,0.0034771590995310003,10,transxion,xgboost,0.013722449326404,0.31522762951334304,,1,0.34836959614351504,0.219886114761279,0.35254988913525503,0.61529933481153,0.6596452328159641,0.5,1,902,4440,1818982,51.857897996902466,0.308040913058718,0.932293093290652,0.003153894153432,0.012658807640196001,0.346039111700364,0.39414313212600804,779,0.23324396782841803,0.40179717586649505,0.7034659820282411,0.739409499358151
