augmentation,auprc,auroc,brier,candidate_multiplier,dataset,detector,ece,f1,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr
random_feasible_v2,0.27204941324271403,0.9440406675310761,0.003224881259078,10,transxion,lightgbm,0.0059052099945400005,0.33226464587583704,,1,0.37596782821676805,0.22538552787663102,0.36917960088691804,0.688470066518847,0.74390243902439,2,1,902,8880,1823422,49.823248863220215,0.32218589735604103,0.9500811185658131,0.002901216212703,0.005572892249322001,0.34969908140639805,0.404376072625278,779,0.232127838519764,0.39922978177150104,0.758664955070603,0.793324775353016
random_feasible_v2,0.26254380671405403,0.9432588036172661,0.0032420712572410002,10,transxion,lightgbm,0.005976119759777,0.33265246571345203,,1,0.376268216724075,0.22574257425742503,0.375831485587583,0.684035476718403,0.73170731707317,2,0,902,8880,1823422,53.62396550178528,0.32190860539008304,0.9488594810374281,0.0029052509764660004,0.005597651452518001,0.349397590361445,0.403896115912353,779,0.232,0.41591784338896004,0.761232349165596,0.7907573812580231
random_feasible_v2,0.268776982354519,0.9426375118917181,0.003216649333527,10,transxion,lightgbm,0.005788344182626,0.33342947793481403,,1,0.37857051444431306,0.225341130604288,0.36363636363636304,0.684035476718403,0.739467849223946,2,2,902,8880,1823422,51.91500163078308,0.32949270239515105,0.9490397678548381,0.002897578216523,0.0054268659556770005,0.346129641283826,0.40112264587211605,779,0.22926219258024103,0.406931964056482,0.7419768934531451,0.7856225930680361
hard_projected_v2,0.266957817693015,0.9266278548058531,0.002660788257847,10,transxion,lightgbm,0.006922762778256,0.368528610354223,,1,0.39813876809895504,0.26597836774827904,0.368070953436807,0.685144124168514,0.736141906873614,2,0,902,8880,1823422,56.14196968078613,0.30818623158810005,0.9480904551596101,0.0023941987521730003,0.006539996931675,0.38899219040535504,0.427697938017348,779,0.273821989528795,0.410783055198973,0.7445442875481381,0.7856225930680361
hard_projected_v2,0.261382737561601,0.928535214007231,0.0026969781908930002,10,transxion,lightgbm,0.006589898608666001,0.366478217492517,,1,0.39858811125874305,0.26175771971496403,0.36363636363636304,0.6862527716186251,0.7339246119733921,2,1,902,8880,1823422,54.87409281730652,0.314424167803161,0.9486762175865591,0.0024161051087880003,0.006175680010709001,0.39197080291970804,0.43341717022834203,779,0.273839877613462,0.38767650834403006,0.745827984595635,0.786906290115532
hard_projected_v2,0.25782352769597,0.9282953856916251,0.002823711525707,10,transxion,lightgbm,0.007532797165145001,0.363932291666666,,1,0.398257579016535,0.257603686635944,0.35254988913525503,0.6940133037694011,0.7305986696230591,2,2,902,8880,1823422,55.57334351539612,0.31360083522132504,0.950580985068152,0.0025214373530230002,0.006981886033451,0.385216773276474,0.429394630133533,779,0.266339066339066,0.39537869062901104,0.7483953786906291,0.7958921694480101
boundary_projected_v2,0.26579672439373003,0.9216886014404311,0.002829270837329,10,transxion,lightgbm,0.0075898590026310005,0.364935064935064,,1,0.399665428557324,0.25803489439853,0.376940133037694,0.696230598669623,0.7372505543237251,2,0,902,8880,1823422,55.784093141555786,0.30568141940902305,0.948443393082514,0.0025157412534300002,0.007082505584830001,0.39026136770497605,0.434042208048444,779,0.270605759682224,0.39537869062901104,0.752246469833119,0.7907573812580231
boundary_projected_v2,0.262756420423422,0.9252932121171651,0.00280336106335,10,transxion,lightgbm,0.006963825879680001,0.36061297685034205,,1,0.39441641222661206,0.255427251732101,0.35920177383592,0.685144124168514,0.7261640798226161,2,1,902,8880,1823422,57.91762375831604,0.322063797990431,0.9480862628376461,0.0025064990574770003,0.006494607687957001,0.385,0.428492230247115,779,0.266699653636813,0.41206675224646905,0.758664955070603,0.7843388960205391
boundary_projected_v2,0.258640076148613,0.9293103006662911,0.0027051970195160003,10,transxion,lightgbm,0.006975817589282,0.36849132176234906,,1,0.40037138822008905,0.263610315186246,0.37472283813747204,0.691796008869179,0.736141906873614,2,2,902,8880,1823422,54.354989528656006,0.308922400534452,0.9508339586013931,0.0024093806799230003,0.00647463443111,0.389799635701275,0.43124248856664504,779,0.272126144455747,0.39794608472400506,0.753530166880616,0.7894736842105261
random_feasible_v2,0.239510034078236,0.929394580172563,0.0038723040027060004,10,transxion,xgboost,0.009980498178913002,0.280010790396547,,1,0.324653539717532,0.18502673796791402,0.362527716186252,0.598669623059866,0.662971175166297,2,0,902,8880,1823422,50.737377405166626,0.287761314307072,0.934701100651062,0.0034992680915850003,0.009432066003648001,0.30622286541244503,0.36504840916942505,779,0.197683109118086,0.417201540436457,0.713735558408215,0.753530166880616
random_feasible_v2,0.24264196834036902,0.9308803393313171,0.0037063314164090004,10,transxion,xgboost,0.009242854099099002,0.28733031674208104,,1,0.327986968823957,0.192862566438876,0.35920177383592,0.598669623059866,0.6607538802660751,2,1,902,8880,1823422,48.822311878204346,0.293207909786928,0.9362669488167231,0.0033929031974940004,0.008904342979065,0.31898886548299704,0.375191484867334,779,0.208333333333333,0.39794608472400506,0.7008985879332471,0.7496790757381251
random_feasible_v2,0.23951313585583603,0.930987083842653,0.0037562682085080005,10,transxion,xgboost,0.009497367365661001,0.29031362753261103,,1,0.33348607590648405,0.19363198815253602,0.362527716186252,0.607538802660753,0.6707317073170731,2,2,902,8880,1823422,50.096898794174194,0.298456008158313,0.935008955200701,0.0034377818634880003,0.009075313939554,0.313012895662368,0.37154384302019405,779,0.20281048233953602,0.414634146341463,0.7098844672657251,0.7483953786906291
hard_projected_v2,0.23452413155414803,0.8913487974745591,0.00317055531141,10,transxion,xgboost,0.013073150883281,0.32670642809807804,,1,0.35545525566985003,0.232986767485822,0.343680709534368,0.610864745011086,0.6674057649667401,2,0,902,8880,1823422,49.63849115371704,0.297883242834422,0.9321528753966271,0.002883578655805,0.012177041591530002,0.350156630699617,0.392655025746422,779,0.240210124164278,0.396662387676508,0.7150192554557121,0.76765083440308
hard_projected_v2,0.23255571102469402,0.885416732185016,0.003514655005032,10,transxion,xgboost,0.015506949278070002,0.313493300093487,,1,0.34722991146297805,0.218032076289553,0.342572062084257,0.6053215077605321,0.6574279379157421,2,1,902,8880,1823422,51.42007780075073,0.293307541206731,0.9253010088761271,0.0032311521362590003,0.014423577550054,0.330583965687891,0.377012242163952,779,0.22246891651865003,0.394094993581514,0.704749679075738,0.753530166880616
hard_projected_v2,0.23891505036298002,0.8924329364801671,0.003264243870417,10,transxion,xgboost,0.014456647416906,0.32583903551645405,,1,0.35622752290361204,0.23073373327180402,0.35033259423503305,0.61529933481153,0.658536585365853,2,2,902,8880,1823422,49.324662923812866,0.298291321221397,0.9274665871568191,0.0029960085996070004,0.013559515211377,0.35371329879101904,0.397620270641309,779,0.241965973534971,0.390243902439024,0.713735558408215,0.753530166880616
boundary_projected_v2,0.23633887013002203,0.8910109921940541,0.00319920087795,10,transxion,xgboost,0.013673012784524001,0.32550446576248704,,1,0.35430732299828005,0.231966053748231,0.351441241685144,0.6053215077605321,0.6640798226164081,2,0,902,8880,1823422,51.625593185424805,0.297857199566585,0.931477090493338,0.0029104727178250003,0.012712686284634001,0.345849121598346,0.38907251832054,779,0.236346516007532,0.396662387676508,0.7086007702182281,0.7702182284980741
boundary_projected_v2,0.23949036972836502,0.890352366005243,0.003349722565541,10,transxion,xgboost,0.014571872666874002,0.31873015873015803,,1,0.35109758492443005,0.22330960854092502,0.349223946784922,0.618625277161862,0.6718403547671841,2,1,902,8880,1823422,49.182796001434326,0.29653626837224,0.9274025513482791,0.003063415753149,0.013569326086597002,0.34075573549257704,0.38586730464010605,779,0.23112128146453,0.386392811296534,0.711168164313222,0.7560975609756091
random_feasible_v2,0.9713542194834771,0.9991239909779911,0.000229523272725,10,amlnet,lightgbm,0.00024428612148,0.930787589498806,,1,0.930869982661857,0.9112149532710281,0.951219512195121,0.9829268292682921,0.9853658536585361,2,0,410,2835,655993,12.31305742263794,0.948131390397535,0.9982739397058191,0.00031156057897000004,0.000316091620277,0.8943937418513691,0.894336639244202,390,0.9098143236074271,0.889743589743589,0.9692307692307691,0.9692307692307691
boundary_projected_v2,0.23252812899607103,0.892462780775726,0.0033949812225380002,10,transxion,xgboost,0.015708903897313,0.313548387096774,,1,0.343714392872971,0.22111010009099102,0.342572062084257,0.6119733924611971,0.651884700665188,2,2,902,8880,1823422,51.36044716835022,0.292636087347921,0.9264090643941391,0.0031205491607700004,0.014671043933061002,0.33527596846074703,0.37768949000356905,779,0.22871842843779203,0.396662387676508,0.7008985879332471,0.7483953786906291
random_feasible_v2,0.973407874945946,0.9994775080203411,0.00023541709804200003,10,amlnet,lightgbm,0.000258668192299,0.9318996415770611,,1,0.9319617183791601,0.9133489461358311,0.9487804878048781,0.9853658536585361,0.990243902439024,2,1,410,2835,655993,12.10238265991211,0.9473235471593141,0.9981867354310421,0.00029681350107300003,0.00028502873411600003,0.9078947368421051,0.908049617250393,390,0.9324324324324321,0.897435897435897,0.9692307692307691,0.9717948717948711
random_feasible_v2,0.972049312954926,0.9994991944635121,0.00024237939876200001,10,amlnet,lightgbm,0.000263874589274,0.9265402843601891,,1,0.9267741730122521,0.900921658986175,0.953658536585365,0.9829268292682921,0.98780487804878,2,2,410,2835,655993,12.543978929519653,0.9478073205217771,0.9985896752589151,0.00032235773116700005,0.00030546849164500003,0.8967320261437901,0.8967236166757231,390,0.9146666666666661,0.894871794871794,0.9641025641025641,0.9769230769230761
hard_projected_v2,0.9777187065992561,0.9997015564365861,0.000336996875042,10,amlnet,lightgbm,0.00038129590150300005,0.8985176738882551,,1,0.9002250915039891,0.8436830835117771,0.953658536585365,0.990243902439024,0.9926829268292681,2,0,410,2835,655993,13.169772148132324,0.9449831074927071,0.9991756828016961,0.00041622736908400004,0.00037934431324,0.8595848595848591,0.8603008646913851,390,0.82051282051282,0.882051282051282,0.9794871794871791,0.9794871794871791
hard_projected_v2,0.978574173285166,0.999661669071601,0.00031865415869800003,10,amlnet,lightgbm,0.000358734055369,0.9041095890410951,,1,0.9057774994346671,0.8497854077253211,0.951219512195121,0.9853658536585361,0.990243902439024,2,1,410,2835,655993,13.550177574157715,0.9449706314473301,0.9989237776675061,0.00038960214755600004,0.000342111550426,0.8684863523573201,0.8686968424368111,390,0.8413461538461531,0.884615384615384,0.9717948717948711,0.9769230769230761
hard_projected_v2,0.977464792230406,0.999676944845267,0.000334473858376,10,amlnet,lightgbm,0.000355245744414,0.899543378995433,,1,0.9011927202546881,0.8454935622317591,0.951219512195121,0.9829268292682921,0.990243902439024,2,2,410,2835,655993,13.38190484046936,0.9467620514616281,0.998101557518771,0.00038359389124100005,0.00037009870583800005,0.8798017348203221,0.8800736667908041,390,0.8513189448441241,0.897435897435897,0.9743589743589741,0.9846153846153841
boundary_projected_v2,0.978131169673021,0.9995995460977011,0.000343771502764,10,amlnet,lightgbm,0.00039099809190200005,0.897727272727272,,1,0.899623377935975,0.8404255319148931,0.953658536585365,0.9853658536585361,0.9926829268292681,2,0,410,2835,655993,13.39490795135498,0.944857760442344,0.9989082854192851,0.00039716449128600003,0.00037603391467200004,0.8740740740740741,0.8744422455905171,390,0.8428571428571421,0.887179487179487,0.9717948717948711,0.9820512820512821
boundary_projected_v2,0.978209256454265,0.9996094422885641,0.00032044398089100005,10,amlnet,lightgbm,0.000381448701937,0.9038901601830661,,1,0.9054346606382211,0.851293103448275,0.953658536585365,0.9853658536585361,0.990243902439024,2,1,410,2835,655993,13.183424949645996,0.94548681175529,0.9987088536490311,0.000393609233462,0.00035066490341200004,0.8709677419354831,0.8711841213996301,390,0.8437500000000001,0.892307692307692,0.9743589743589741,0.9794871794871791
boundary_projected_v2,0.976970097672152,0.999519199787058,0.00030681182270900003,10,amlnet,lightgbm,0.000348397584449,0.9067894131185271,,1,0.908054354623653,0.85838779956427,0.9487804878048781,0.9829268292682921,0.98780487804878,2,2,410,2835,655993,14.015308141708374,0.944003509478696,0.9983116865980621,0.00039124824578300004,0.00039966607405500005,0.8743842364532021,0.8748323883430771,390,0.8412322274881511,0.889743589743589,0.9717948717948711,0.9820512820512821
