augmentation,auprc,auroc,brier,candidate_multiplier,dataset,detector,ece,f1,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr
none,0.9293978458638791,0.995837342764837,0.000280164515574,8,amlnet,lightgbm,0.000299600974097,0.8994252873563211,layering,1,0.899268186998849,0.902017291066282,0.896848137535816,0.9484240687679081,0.9512893982808021,0.75,1,349,220,653378,15.335535049438477,0.86897389098022,0.989990558285859,0.00031372455267500004,0.000320793955956,0.8731884057971011,0.8753354867092571,296,0.94140625,0.8277027027027021,0.9121621621621621,0.9290540540540541
none,0.9312609563463331,0.9958302329294001,0.00028688799152000005,8,amlnet,lightgbm,0.00029086808264000005,0.9007194244604311,layering,1,0.9005693157479491,0.9046242774566471,0.896848137535816,0.9426934097421201,0.9484240687679081,0.75,0,349,220,653378,15.952890872955322,0.8741803091922211,0.9912859727663371,0.00031901352768,0.00033162323741800005,0.868468468468468,0.8702424727605631,296,0.9305019305019301,0.831081081081081,0.9087837837837831,0.9324324324324321
none,0.9331859918605541,0.9969884777875241,0.000273374043016,8,amlnet,lightgbm,0.000280829252208,0.9059334298118661,layering,1,0.9058307360109241,0.915204678362573,0.89971346704871,0.9455587392550141,0.9512893982808021,0.75,2,349,220,653378,15.685168504714966,0.874956358940969,0.9932239643017331,0.00030876159561500004,0.000313784822378,0.8747731397459161,0.8770530867116451,296,0.945098039215686,0.824324324324324,0.9087837837837831,0.9358108108108101
random_feasible_v2,0.9333964358157211,0.9976889743239481,0.000288422446821,8,amlnet,lightgbm,0.000296332787195,0.9033189033189031,layering,1,0.9031885621554301,0.9098837209302321,0.896848137535816,0.9455587392550141,0.9512893982808021,0.75,0,349,385,653543,18.294431924819946,0.876399452018059,0.9952322339431561,0.00032126052058100004,0.00033196643611200003,0.8700361010830321,0.87193027633927,296,0.934108527131782,0.824324324324324,0.905405405405405,0.9425675675675671
random_feasible_v2,0.932816516673707,0.9965971932607971,0.000269042556005,8,amlnet,lightgbm,0.00027481350911400004,0.906474820143884,layering,1,0.9063339551941071,0.910404624277456,0.9054441260744981,0.9455587392550141,0.9598853868194841,0.75,1,349,385,653543,14.391064643859863,0.87407476053413,0.991877154833059,0.00032195766822000005,0.00032115747352700003,0.868468468468468,0.8702424727605631,296,0.9305019305019301,0.837837837837837,0.9020270270270271,0.9358108108108101
random_feasible_v2,0.9351151103564541,0.997516218489192,0.00025126059864700003,8,amlnet,lightgbm,0.000248125793516,0.9156976744186041,layering,1,0.9156614826423071,0.9292035398230081,0.9083094555873921,0.9455587392550141,0.9570200573065901,0.75,2,349,385,653543,13.91438913345337,0.877741580781721,0.994265663565644,0.00031271327787500003,0.00031248291091700003,0.869090909090909,0.871477573331711,296,0.9409448818897631,0.8344594594594591,0.9121621621621621,0.945945945945945
hard_projected_v2,0.9449026493383691,0.996150307187681,0.000248189322274,8,amlnet,lightgbm,0.000268618375502,0.9187675070028011,layering,1,0.918865808325774,0.8986301369863011,0.92836676217765,0.9484240687679081,0.9570200573065901,0.75,0,349,385,653543,16.381608963012695,0.9074375312551051,0.9930600855376521,0.000260899370508,0.00026321799228100004,0.891938250428816,0.891900123096908,296,0.9059233449477351,0.881756756756756,0.922297297297297,0.9290540540540541
hard_projected_v2,0.9451939988765391,0.99631355690913,0.00024173937389700001,8,amlnet,lightgbm,0.000242998922759,0.9196050775740481,layering,1,0.9195851904745591,0.9055555555555551,0.9312320916905441,0.9484240687679081,0.9484240687679081,0.75,1,349,385,653543,18.222236156463623,0.906185546381946,0.993956486466617,0.000269521558475,0.000277869636701,0.8915662650602411,0.89158182541035,296,0.9087719298245611,0.8783783783783781,0.9189189189189191,0.9358108108108101
hard_projected_v2,0.9464030788515551,0.9935089901564981,0.000262959511346,8,amlnet,lightgbm,0.00026570784222,0.9121338912133891,layering,1,0.912310672668838,0.888586956521739,0.9197707736389681,0.9512893982808021,0.9512893982808021,0.75,2,349,385,653543,15.87732481956482,0.906306136553868,0.9885866415500241,0.00027908801449300004,0.000285083602992,0.882051282051282,0.8819561031828701,296,0.8927335640138401,0.881756756756756,0.9189189189189191,0.9189189189189191
plausible_hard_projected_v2,0.945456783577701,0.9965729079062351,0.00024544356161900003,8,amlnet,lightgbm,0.000253060573447,0.917251051893408,layering,1,0.9173192400368231,0.898351648351648,0.9312320916905441,0.9512893982808021,0.9512893982808021,0.75,1,349,385,653543,15.424063205718994,0.9000750949356641,0.990795407526399,0.00025666031974200005,0.00027356608509900005,0.8977469670710571,0.897915791539668,296,0.92170818505338,0.875,0.9155405405405401,0.9189189189189191
plausible_hard_projected_v2,0.9486591772370351,0.9949489161615441,0.000251113689631,8,amlnet,lightgbm,0.00026345981987000003,0.918539325842696,layering,1,0.9185842912772371,0.9008264462809911,0.9312320916905441,0.954154727793696,0.9570200573065901,0.75,0,349,385,653543,17.508511781692505,0.9109096064427931,0.9903578826593581,0.00025673518164400004,0.000265764578023,0.899305555555555,0.8995204411194241,296,0.925,0.881756756756756,0.9290540540540541,0.9358108108108101
plausible_hard_projected_v2,0.9469751913345971,0.9958405619403261,0.00024640377615800003,8,amlnet,lightgbm,0.000260302553152,0.9170182841068911,layering,1,0.9170365717154271,0.9005524861878451,0.9226361031518621,0.9512893982808021,0.9512893982808021,0.75,2,349,385,653543,18.63733458518982,0.903350304822617,0.9902138261241891,0.000256550614086,0.000261036245348,0.899305555555555,0.8995204411194241,296,0.925,0.8783783783783781,0.922297297297297,0.922297297297297
curriculum_projected_v2,0.9434989947217931,0.9951377020419381,0.00025339918766800003,8,amlnet,lightgbm,0.00025862413716800004,0.912981455064194,layering,1,0.91284969372885,0.9090909090909091,0.9169054441260741,0.9484240687679081,0.954154727793696,0.75,0,349,385,653543,15.949296951293945,0.9045088660410651,0.9915935820931471,0.000278998514378,0.00027890885228900003,0.884615384615384,0.8850065246470161,296,0.9166666666666661,0.871621621621621,0.922297297297297,0.9358108108108101
curriculum_projected_v2,0.945980687290179,0.9923725422105331,0.00023542455468500003,8,amlnet,lightgbm,0.000241052852509,0.918309859154929,layering,1,0.918308235306564,0.9030470914127421,0.92836676217765,0.954154727793696,0.954154727793696,0.75,1,349,385,653543,16.131351947784424,0.9054916915317001,0.9883624734068571,0.00025947233936500004,0.000263605701877,0.8935427574171031,0.893895631935768,296,0.9241877256317691,0.875,0.9189189189189191,0.9189189189189191
curriculum_projected_v2,0.9436797904768701,0.992230812907642,0.000245532947526,8,amlnet,lightgbm,0.000265645058379,0.9173789173789171,layering,1,0.9172606024040371,0.9121813031161471,0.9169054441260741,0.9512893982808021,0.954154727793696,0.75,2,349,385,653543,18.023452043533325,0.9050796965401731,0.9846858845737171,0.000255638787053,0.000253799709884,0.889273356401384,0.8893880423274071,296,0.911347517730496,0.8918918918918911,0.9189189189189191,0.9189189189189191
typology_projected_v2,0.9467672046398791,0.9952635987946191,0.000243163416897,8,amlnet,lightgbm,0.000262679734874,0.918539325842696,layering,1,0.9185842912772371,0.9008264462809911,0.9340974212034381,0.9484240687679081,0.954154727793696,0.75,0,349,385,653543,16.982754707336426,0.910342588369048,0.9904175977060481,0.00026728702450100003,0.000271814465519,0.890410958904109,0.8903477263140801,296,0.9027777777777771,0.881756756756756,0.9189189189189191,0.9290540540540541
typology_projected_v2,0.9470481515646361,0.9953391868784031,0.000234301114085,8,amlnet,lightgbm,0.00024901537971400004,0.921348314606741,layering,1,0.9213984193172791,0.9035812672176301,0.9340974212034381,0.9512893982808021,0.9512893982808021,0.75,1,349,385,653543,17.441497802734375,0.9106125469957531,0.9932512683742901,0.00025741482950100003,0.00026911130304000004,0.898100172711571,0.89819172972396,296,0.918727915194346,0.8783783783783781,0.9256756756756751,0.939189189189189
typology_projected_v2,0.9490747048128081,0.9948459222954231,0.00022929354346300001,8,amlnet,lightgbm,0.00024129628371200002,0.922644163150492,layering,1,0.922672583318884,0.906077348066298,0.9340974212034381,0.954154727793696,0.954154727793696,0.75,2,349,385,653543,17.763378620147705,0.9091691472749971,0.98973851173774,0.000250819963953,0.000254726518521,0.8969072164948451,0.896902178864148,296,0.912587412587412,0.8851351351351351,0.9189189189189191,0.922297297297297
plausible_typology_projected_v2,0.9466332743069271,0.9957932222860421,0.000235479159904,8,amlnet,lightgbm,0.000258830567294,0.921348314606741,layering,1,0.9213984193172791,0.9035812672176301,0.9340974212034381,0.9484240687679081,0.9570200573065901,0.75,0,349,385,653543,19.479520797729492,0.9131146691117791,0.991884365033004,0.000244971581023,0.00025070301710400003,0.899305555555555,0.8995204411194241,296,0.925,0.881756756756756,0.9256756756756751,0.9358108108108101
