dataset,detector,label_fraction,heldout_typology,curriculum_projected_v2,hard_projected_v2,none,plausible_hard_projected_v2,plausible_typology_projected_v2,random_feasible_v2,typology_projected_v2
amlnet,lightgbm,0.01,,0.7033126544987797,0.653623500900515,0.6513050156281558,0.726363029072541,0.7165936763222355,0.6222558847864034,0.6711935954932488
amlnet,lightgbm,0.05,,0.8023030454641257,0.730562375034273,0.8472543353441274,0.7763366505190982,0.8063109376868597,0.825299337881892,0.7129296257606194
amlnet,lightgbm,0.25,,0.8667484416742034,0.8530156866251944,0.8976241033028524,0.8553324946430854,0.8615866670522814,0.8808159093845154,0.8444591332721231
amlnet,lightgbm,1.0,,0.9734450732899065,0.9776701159134021,0.9713560939888867,0.978215419510876,0.9779375119785074,0.9700764929430177,0.9766731754194914
amlnet,xgboost,0.01,,0.28138471118658837,0.289186844911762,0.32319763634272675,0.29487969861317137,0.3451834367508477,0.3845060834963987,0.287899579280062
amlnet,xgboost,0.05,,0.36777003526136465,0.378164449928531,0.5646763463877321,0.4026155349825817,0.409325334672106,0.4264192848493817,0.39105502083576066
amlnet,xgboost,0.25,,0.6357641406614637,0.626274879378775,0.8231710842794994,0.5926104195884497,0.6050486510110077,0.8088824390292885,0.613442608006335
amlnet,xgboost,1.0,,0.971524489726571,0.9679698359244236,0.9738463144504973,0.9655866453564217,0.967043364456314,0.9732712610335263,0.9680324770875588
transxion,lightgbm,0.01,,0.05009203841405834,0.04531706814031234,0.05570527749085533,0.047612889566590676,0.048873657667073335,0.041155076440348,0.04590588472382567
transxion,lightgbm,0.05,,0.10080002987960734,0.09556007434618967,0.09998653550114933,0.08827822462173868,0.08616204097063333,0.10350076346150867,0.09815640593521734
transxion,lightgbm,0.25,,0.19387396608221405,0.1916829672400057,0.1692794171579617,0.18321821573884267,0.1770596084058197,0.17468698514925365,0.1983789136616937
transxion,lightgbm,1.0,,0.2644062574141417,0.2627994307105457,0.2715902577537644,0.2601260196102773,0.2654219177316517,0.26221200993785904,0.26338893543832204
transxion,xgboost,0.01,,0.018724586190125004,0.016591185431943666,0.018725560893849334,0.019122081775324002,0.016980716460213336,0.021786065120563,0.016837368825131666
transxion,xgboost,0.05,,0.06427533201609534,0.060029225377710334,0.063755016406284,0.06265679426555433,0.06286258352780534,0.06955499655438867,0.05955625338551367
transxion,xgboost,0.25,,0.13407187393747969,0.13367557198730867,0.13488313361526735,0.13426571387336567,0.13107827695402266,0.14612930434530935,0.13048314542113035
transxion,xgboost,1.0,,0.23273124727921135,0.23349053810603568,0.2494231332621607,0.23505145714760833,0.2377449187063967,0.23950939978861005,0.232068116949005
