dataset,detector,augmentation,label_fraction,heldout_typology,auprc,auprc,auroc,auroc,recall_at_1pct_fpr,recall_at_1pct_fpr,precision_at_k,precision_at_k,ece,ece,training_seconds,training_seconds
,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
amlnet,lightgbm,curriculum_projected_v2,0.01,,0.7033126544987797,0.1557893660528088,0.988061435582764,0.004739852778151815,0.9439024390243901,0.031987504996595396,0.6764227642276417,0.12594280576206132,0.0018779098375836668,2.8915843725676e-06,12.931991259256998,1.0249272958481142
amlnet,lightgbm,curriculum_projected_v2,0.05,,0.8023030454641257,0.08007691771783428,0.9893047486959644,0.010947785035756205,0.9504065040650405,0.029098423037680163,0.7650406504065037,0.07566219005399986,0.0018342268902356669,3.1437549249285794e-05,15.603041887283325,0.1422976124536503
amlnet,lightgbm,curriculum_projected_v2,0.25,,0.8667484416742034,0.050062669130459224,0.997867552056336,0.0008231490868344404,0.9780487804878044,0.004878048780487532,0.8528455284552842,0.03950416459595574,0.001132620871443,0.00010956226394290527,19.953591028849285,1.197935362785025
amlnet,lightgbm,curriculum_projected_v2,1.0,,0.9734450732899065,0.0025122271151932,0.9996111645022246,0.00013550432901076934,0.9910569105691054,0.0028163427765348905,0.953658536585365,0.0024390243902440156,0.00028129979395000003,3.2685369270884646e-05,19.34960087140401,1.2191238429211355
amlnet,lightgbm,hard_projected_v2,0.01,,0.653623500900515,0.10901068705302651,0.9867250127251411,0.004770832170796276,0.9357723577235767,0.02697668296428797,0.6398373983739833,0.09587982431093077,0.001874791901995667,7.829272313322693e-06,12.320071935653687,1.5165925525268134
amlnet,lightgbm,hard_projected_v2,0.05,,0.730562375034273,0.14120299345886414,0.9913681007551024,0.007939211449424577,0.9609756097560971,0.011177013890136657,0.7170731707317071,0.10470774601788099,0.001847041129312667,2.147966819973241e-05,14.879807949066162,0.5433544329247358
amlnet,lightgbm,hard_projected_v2,0.25,,0.8530156866251944,0.02482522494756824,0.9974274835040132,0.0004570359313128288,0.9845528455284548,0.0037256712967122046,0.8276422764227638,0.01568073294470404,0.0012423727626343336,0.00016968746868956943,19.982789913813274,1.3547611319661015
amlnet,lightgbm,hard_projected_v2,1.0,,0.9776701159134021,0.00196734285301849,0.9996202836422388,0.00019699025668020871,0.9926829268292682,0.004224514164802336,0.9512195121951214,0.0024390243902434605,0.00037457752048900006,2.6304831033186765e-05,19.885422468185425,1.6691119710388644
amlnet,lightgbm,none,0.01,,0.6513050156281558,0.12496814527552637,0.9862795515146418,0.0050416143588446136,0.8975609756097557,0.09988095233874791,0.6308943089430891,0.14522610186293713,0.0018759572470480003,3.7480849744160707e-06,13.504573980967203,0.22691518425055068
amlnet,lightgbm,none,0.05,,0.8472543353441274,0.05970069799100964,0.9920061715769365,0.006248731517895557,0.949593495934959,0.021860698633737536,0.8008130081300809,0.03912588427810078,0.0018213442194800003,4.2761918253988884e-05,16.806126435597736,1.2446596392009979
amlnet,lightgbm,none,0.25,,0.8976241033028524,0.025336583198983856,0.998032525928935,0.0003051541647714543,0.9772357723577231,0.008565572156790687,0.8691056910569105,0.02847850388314971,0.0011779154893480001,0.0001581592708874367,20.033310254414875,1.5319949177921852
amlnet,lightgbm,none,1.0,,0.9713560939888867,0.0002486505432806228,0.9994297231289367,6.235788784033631e-05,0.9886178861788614,0.0014081713882674453,0.951219512195121,0.0,0.0002416341654216667,2.678186578102382e-06,22.870970805486042,2.165853337154014
amlnet,lightgbm,plausible_hard_projected_v2,0.01,,0.726363029072541,0.09500792947956713,0.9892057232783698,0.004814059238433392,0.9560975609756094,0.01117701389013625,0.6991869918699182,0.06591385384946122,0.0018711689115406668,1.2697301502195022e-05,12.083617369333902,0.9564483070783057
amlnet,lightgbm,plausible_hard_projected_v2,0.05,,0.7763366505190982,0.09055939160706074,0.9921612903527081,0.005634792919973813,0.9642276422764221,0.013433098895819782,0.74390243902439,0.09512195121951197,0.0018388602167483334,2.3653813748925637e-05,15.387921969095865,1.2823928992465254
amlnet,lightgbm,plausible_hard_projected_v2,0.25,,0.8553324946430854,0.08753475508262583,0.9939350321981104,0.0064131982163343855,0.9756097560975606,0.0170731707317075,0.8195121951219507,0.09265082884498813,0.0013150936579850003,9.331669851689557e-05,19.252372582753498,2.9309356134993942
amlnet,lightgbm,plausible_hard_projected_v2,1.0,,0.978215419510876,0.003134679818737107,0.9996969501688121,0.00018398265452174313,0.9926829268292682,0.002439024390243988,0.9520325203252024,0.0014081713882674453,0.0003376077711153334,3.075188857377257e-05,19.798301935195923,1.4313368233505346
amlnet,lightgbm,plausible_typology_projected_v2,0.01,,0.7165936763222355,0.0799136097894598,0.9870600617344482,0.007806370766820129,0.9390243902439016,0.01117701389013606,0.698373983739837,0.0788953076029798,0.0018674530976293335,1.3404443012044128e-05,23.917033910751343,4.5192279731397305
amlnet,lightgbm,plausible_typology_projected_v2,0.05,,0.8063109376868597,0.09222721800025331,0.9917564767468464,0.007183019142550066,0.9674796747967477,0.012031421615405973,0.7731707317073168,0.04932621564916254,0.0018463128095473336,1.6483421013370828e-05,34.46022939682007,0.9933206013275557
amlnet,lightgbm,plausible_typology_projected_v2,0.25,,0.8615866670522814,0.046817077739949794,0.998220258425444,0.0007319849628354156,0.9837398373983733,0.006138076776643097,0.8268292682926828,0.04980628745527341,0.0012576367632116667,0.00012502054163895818,35.48301458358765,2.6241985454696892
amlnet,lightgbm,plausible_typology_projected_v2,1.0,,0.9779375119785074,0.0008827750147033228,0.9994878525097711,0.00027185253479019444,0.9926829268292682,0.002439024390243988,0.9520325203252024,0.0014081713882674613,0.0003567501020336667,2.7740119538930206e-05,32.325551668802895,3.6592621633809346
amlnet,lightgbm,random_feasible_v2,0.01,,0.6222558847864034,0.17553603029566917,0.9854587149708367,0.0036089581109489226,0.8731707317073166,0.12251091077926235,0.6121951219512191,0.12673542494406406,0.0018732894357580002,6.0065222441570465e-06,13.905721426010132,1.3800459052616088
amlnet,lightgbm,random_feasible_v2,0.05,,0.825299337881892,0.053991510880435765,0.9918332030465616,0.0060457138676224195,0.952845528455284,0.02074365987345241,0.7788617886178857,0.04310476794085087,0.0018285881052580001,4.227188415160983e-05,17.191178957621258,0.9548717662473291
amlnet,lightgbm,random_feasible_v2,0.25,,0.8808159093845154,0.03322817108611147,0.9964064162732377,0.002735484519668988,0.9747967479674794,0.0037256712967118017,0.85040650406504,0.034262288627163226,0.0012998418118156667,1.5464951525207856e-05,20.66450834274292,1.0674793148600905
amlnet,lightgbm,random_feasible_v2,1.0,,0.9700764929430177,0.0018842485980281587,0.9993998328219921,8.733637228009685e-05,0.9845528455284548,0.005077234145039532,0.951219512195121,0.0,0.0002564435336786667,2.2064001689063685e-05,20.394134442011516,1.0621185389908734
