augmentation,auprc,auroc,brier,candidate_multiplier,dataset,detector,ece,f1,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr
none,0.9720329896301341,0.9994088510948291,0.0005565674112930001,3,amlnet,lightgbm,0.0006032838873550001,0.8478964401294491,,1,0.853304243357722,0.7601547388781431,0.939024390243902,0.98780487804878,0.9926829268292681,0.30000000000000004,0,410,945,60000,5.787400960922241,0.94681080633716,0.9977872592693121,0.0005292788581520001,0.0005100202128350001,0.8434579439252331,0.8465085886920981,390,0.774678111587982,0.892307692307692,0.9692307692307691,0.9794871794871791
plausible_hard_projected_v2,0.969675578987318,0.999714456227847,0.0006471504190200001,3,amlnet,lightgbm,0.0007000557413950001,0.833507853403141,,1,0.8416379955592581,0.7302752293577981,0.936585365853658,0.98780487804878,0.9951219512195121,0.30000000000000004,0,410,1229,60284,6.80255913734436,0.9512005321468051,0.9989403184405111,0.0006648894560760001,0.0007030958691630001,0.8088397790055241,0.8163059951078251,390,0.7106796116504851,0.892307692307692,0.9794871794871791,0.9820512820512821
curriculum_projected_v2,0.9720009035988051,0.9996866056793821,0.0006712917341610001,3,amlnet,lightgbm,0.000780816216433,0.8223140495867761,,1,0.831749829272986,0.713261648745519,0.9243902439024391,0.9926829268292681,0.9951219512195121,0.30000000000000004,0,410,1229,60284,7.131136417388916,0.9500254923317021,0.9990444169236141,0.000652051834265,0.000708839897191,0.815384615384615,0.8234875115565461,390,0.713461538461538,0.892307692307692,0.9717948717948711,0.9769230769230761
typology_projected_v2,0.9735782731125421,0.9998037797172911,0.0008608635654560001,3,amlnet,lightgbm,0.001019429377302,0.7836257309941521,,1,0.799491104730205,0.6525974025974021,0.939024390243902,0.9926829268292681,0.9951219512195121,0.30000000000000004,0,410,1229,60284,7.396418809890747,0.9500481285353991,0.9991143735547441,0.0008272907553010001,0.0009246002490650001,0.781609195402298,0.794918595701893,390,0.659611992945326,0.902564102564102,0.9717948717948711,0.9820512820512821
feature_noise_v2,0.9731571315003201,0.9993264650257071,0.000598112406476,3,amlnet,lightgbm,0.000634484240574,0.840641711229946,,1,0.846760997756369,0.7485714285714281,0.9414634146341461,0.98780487804878,0.9926829268292681,0.30000000000000004,0,410,1229,60284,6.852609395980835,0.9490048862216011,0.9977481811040281,0.000538520368542,0.00053919555691,0.836027713625866,0.8398727051463191,390,0.760504201680672,0.897435897435897,0.9717948717948711,0.9769230769230761
smote_v2,0.9697604927461551,0.99926983370925,0.000584769354015,3,amlnet,lightgbm,0.000631889050948,0.8445873526259371,,1,0.8505468878357161,0.7533460803059271,0.9414634146341461,0.9829268292682921,0.990243902439024,0.30000000000000004,0,410,1229,60284,5.685718536376953,0.947370154600192,0.9978440563253371,0.000531337949846,0.0005492945616440001,0.8418604651162791,0.8452300560643861,390,0.770212765957446,0.892307692307692,0.9717948717948711,0.9794871794871791
none,0.9721702656984641,0.999534598842829,0.000528973192283,3,amlnet,xgboost,0.0006422335795120001,0.859002169197396,,1,0.8640330126484,0.7734375,0.9463414634146341,0.9853658536585361,0.990243902439024,0.30000000000000004,0,410,945,60000,3.9489576816558842,0.9485104247909101,0.998255714224452,0.000513091102506,0.000578203362749,0.8521536670547141,0.8555041726105681,390,0.780383795309168,0.887179487179487,0.9692307692307691,0.9717948717948711
plausible_hard_projected_v2,0.9672197452072661,0.99960346871016,0.0006606856491180001,3,amlnet,xgboost,0.000888433103862,0.8258602711157451,,1,0.83433331766369,0.7213114754098361,0.9414634146341461,0.98780487804878,0.9926829268292681,0.30000000000000004,0,410,1229,60284,4.160370349884033,0.948531420608944,0.9991595190263651,0.000718396506913,0.0009759261837520001,0.795206971677559,0.8039585449565171,390,0.691287878787878,0.894871794871794,0.9717948717948711,0.9820512820512821
curriculum_projected_v2,0.9744478347462631,0.999536123057956,0.000663510917134,3,amlnet,xgboost,0.000967621042793,0.8247422680412371,,1,0.834442409503359,0.7142857142857141,0.9414634146341461,0.9926829268292681,0.9951219512195121,0.30000000000000004,0,410,1229,60284,4.244367599487305,0.9505719392005341,0.9991982732092721,0.000695429925988,0.0010160212672060001,0.8039003250270851,0.8133561849001401,390,0.696060037523452,0.902564102564102,0.9717948717948711,0.9794871794871791
typology_projected_v2,0.9686017872182661,0.9997773973466321,0.000535142500311,3,amlnet,xgboost,0.000811964640626,0.854682454251883,,1,0.8603440863637041,0.7649325626204231,0.9439024390243901,0.98780487804878,0.9951219512195121,0.30000000000000004,0,410,1229,60284,4.349969387054443,0.9514442580873371,0.9994506083564361,0.0006027554476030001,0.0009509993550510001,0.826038159371492,0.8321968685445901,390,0.734530938123752,0.894871794871794,0.9769230769230761,0.9794871794871791
