dataset,detector,augmentation,label_fraction,heldout_typology,auprc,auprc,auroc,auroc,recall_at_1pct_fpr,recall_at_1pct_fpr,precision_at_k,precision_at_k,ece,ece,training_seconds,training_seconds
,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
amlnet,lightgbm,curriculum_projected_v2,1,,0.9720009035988051,,0.9996866056793821,,0.9951219512195121,,0.9243902439024391,,0.000780816216433,,7.131136417388916,
amlnet,lightgbm,feature_noise_v2,1,,0.9731571315003201,,0.9993264650257071,,0.9926829268292681,,0.9414634146341461,,0.000634484240574,,6.852609395980835,
amlnet,lightgbm,none,1,,0.9720329896301341,,0.9994088510948291,,0.9926829268292681,,0.939024390243902,,0.0006032838873550001,,5.787400960922241,
amlnet,lightgbm,plausible_hard_projected_v2,1,,0.969675578987318,,0.999714456227847,,0.9951219512195121,,0.936585365853658,,0.0007000557413950001,,6.80255913734436,
amlnet,lightgbm,smote_v2,1,,0.9697604927461551,,0.99926983370925,,0.990243902439024,,0.9414634146341461,,0.000631889050948,,5.685718536376953,
amlnet,lightgbm,typology_projected_v2,1,,0.9735782731125421,,0.9998037797172911,,0.9951219512195121,,0.939024390243902,,0.001019429377302,,7.396418809890747,
amlnet,xgboost,curriculum_projected_v2,1,,0.9744478347462631,,0.999536123057956,,0.9951219512195121,,0.9414634146341461,,0.000967621042793,,4.244367599487305,
amlnet,xgboost,feature_noise_v2,1,,0.973687380260095,,0.9994208767038841,,0.990243902439024,,0.9463414634146341,,0.00069346822736,,3.926391124725342,
amlnet,xgboost,none,1,,0.9721702656984641,,0.999534598842829,,0.990243902439024,,0.9463414634146341,,0.0006422335795120001,,3.9489576816558842,
amlnet,xgboost,plausible_hard_projected_v2,1,,0.9672197452072661,,0.99960346871016,,0.9926829268292681,,0.9414634146341461,,0.000888433103862,,4.160370349884033,
amlnet,xgboost,smote_v2,1,,0.973013206644553,,0.9995633627996241,,0.990243902439024,,0.9487804878048781,,0.000658806601981,,3.578582286834717,
amlnet,xgboost,typology_projected_v2,1,,0.9686017872182661,,0.9997773973466321,,0.9951219512195121,,0.9439024390243901,,0.000811964640626,,4.349969387054443,
