augmentation,auprc,auroc,brier,candidate_multiplier,dataset,detector,ece,f1,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr
random_feasible_v2,0.26998390507088804,0.9453068998992361,0.003061973169356,6,transxion,lightgbm,0.005534605980072001,0.34268476621417804,,1,0.38361971128479705,0.235391628677994,0.37472283813747204,0.6895787139689571,0.7461197339246121,0.25,1,902,3700,1818242,96.95958352088928,0.32368563153623703,0.9503773964935911,0.002784478641842,0.005234565441898,0.35401698236446705,0.40524553165574906,779,0.237406920718353,0.421052631578947,0.752246469833119,0.7894736842105261
random_feasible_v2,0.26768541725086803,0.9477894497328041,0.003129271661674,6,transxion,lightgbm,0.0055978656829570005,0.340626848018923,,1,0.38372023002584804,0.23225806451612901,0.36141906873614105,0.684035476718403,0.7372505543237251,0.25,0,902,3700,1818242,101.83869957923889,0.325621953004522,0.94920302018184,0.002830819806762,0.005292310887635001,0.355267423014586,0.40769315060285305,779,0.23764093668690303,0.410783055198973,0.7496790757381251,0.793324775353016
random_feasible_v2,0.277891918650751,0.9398907260955001,0.0031320570038510004,6,transxion,lightgbm,0.005567137778259,0.34104893055962504,,1,0.38532133951241104,0.23178016726403802,0.364745011086474,0.6906873614190681,0.7305986696230591,0.25,2,902,3700,1818242,102.9215955734253,0.33149191727055505,0.9464882731833251,0.002830131285609,0.005244439824376001,0.351169496956103,0.404525299502617,779,0.23398804440649001,0.403080872913992,0.747111681643132,0.786906290115532
plausible_hard_projected_v2,0.260911155562894,0.9354439031486381,0.003476967197388,6,transxion,lightgbm,0.008175613388666,0.33484419263456,,1,0.382432032975395,0.224885844748858,0.371396895787139,0.687361419068736,0.736141906873614,0.25,0,902,3700,1818242,105.46283531188965,0.325247928388025,0.9512168856290331,0.0030785591005930003,0.007459837247477,0.34747599876122603,0.404878546277714,779,0.22897959183673403,0.40821566110397906,0.7650834403080871,0.7997432605905
curriculum_projected_v2,0.264850700089484,0.9451461041238791,0.0034391742857320003,6,transxion,lightgbm,0.007549424921304001,0.325437112239142,,1,0.37217056568025103,0.21822995461422,0.356984478935698,0.6796008869179601,0.728381374722838,0.25,0,902,3700,1818242,94.93986368179321,0.32395284711065603,0.9548710500851031,0.003064630135195,0.006939057130584,0.347933374460209,0.40597250706658405,779,0.22898903775883,0.414634146341463,0.754813863928113,0.7958921694480101
plausible_hard_projected_v2,0.263332271756115,0.933699537107269,0.0036496932877060004,6,transxion,lightgbm,0.008801767721845,0.325076537712218,,1,0.373381861268517,0.21701969528056403,0.376940133037694,0.676274944567627,0.713968957871396,0.25,1,902,3700,1818242,107.54848074913025,0.32911527719639905,0.950634615389307,0.0032534342959150003,0.008027377059965,0.33857315598548904,0.39774376454840904,779,0.22143139580862,0.417201540436457,0.7599486521181,0.793324775353016
plausible_hard_projected_v2,0.266458037772944,0.9387701643854841,0.0035589014784250003,6,transxion,lightgbm,0.008697511532504,0.33157456262149404,,1,0.381179544299766,0.221193034457206,0.360310421286031,0.687361419068736,0.729490022172949,0.25,2,902,3700,1818242,104.36817693710327,0.321917218401436,0.9525289126740921,0.0031591596191650004,0.007916387485194,0.33996937212863704,0.397591762100273,779,0.22325020112630703,0.41206675224646905,0.753530166880616,0.793324775353016
curriculum_projected_v2,0.27243976233704303,0.943718168803213,0.0033881454475290004,6,transxion,lightgbm,0.0074212073916870005,0.33170731707317,,1,0.37723716750998104,0.22377080913666203,0.368070953436807,0.6784922394678491,0.7261640798226161,0.25,1,902,3700,1818242,98.45642614364624,0.33406462519961,0.9562074142380821,0.0029975642060810002,0.006808015302771001,0.35234474017743905,0.407408936910153,779,0.23390828775767702,0.41848523748395305,0.7573812580231061,0.7971758664955071
curriculum_projected_v2,0.266755319477786,0.940137907127726,0.0037015135572480004,6,transxion,lightgbm,0.008193026926282,0.31690514043455204,,1,0.370036455901113,0.208217270194986,0.388026607538802,0.6862527716186251,0.7261640798226161,0.25,2,902,3700,1818242,92.03589057922363,0.32519697424620403,0.949520350949115,0.0032771146943470003,0.007431363937196,0.331872626351153,0.39452158691683303,779,0.21482602118003002,0.41848523748395305,0.754813863928113,0.7907573812580231
typology_projected_v2,0.265103774858027,0.9310990414154111,0.003607223451582,6,transxion,lightgbm,0.009087916464374,0.321203830369357,,1,0.371023227029789,0.213221939702143,0.36363636363636304,0.6829268292682921,0.7339246119733921,0.25,2,902,3700,1818242,101.6891074180603,0.317621771540456,0.9500480679628001,0.0032423217953350004,0.008446401666365,0.342226310947562,0.400077731675933,779,0.22481869460112802,0.404364569961489,0.7573812580231061,0.801026957637997
