dataset,augmentation,detector_hardness,detector_hardness,ledger_violation_rate,ledger_violation_rate,mean_flow_residual,mean_flow_residual,profile_drift,profile_drift,temporal_violation_rate,temporal_violation_rate,acceptance_rate,acceptance_rate
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
amlnet,curriculum_projected_v2,3.920019755294142,0.1705317753154336,0.0,0.0,0.0,0.0,0.7505962914308105,0.2184024053716301,0.0,0.0,0.949152542372881,0.0
amlnet,plausible_hard_projected_v2,6.3283596253477725,1.138119184296363,0.0,0.0,0.0,0.0,0.40062788762007057,0.10335657829001735,0.0,0.0,0.949152542372881,0.0
amlnet,plausible_typology_projected_v2,7.248328458508468,1.7295744932097705,0.0,0.0,0.0,0.0,0.3734132197521702,0.13049531087014568,0.0,0.0,0.949152542372881,0.0
amlnet,random_feasible_v2,0.010438427199641503,0.011639773611683241,0.0,0.0,0.0,0.0,2.2179453853382385,0.11925973353970637,0.0,0.0,0.949152542372881,0.0
amlnet,typology_projected_v2,8.92531243659762,1.8615554888718904,0.0,0.0,0.0,0.0,0.5607021854052961,0.22249602356711576,0.0,0.0,0.949152542372881,0.0
transxion,curriculum_projected_v2,2.663525040713258,0.2320140302875197,0.0,0.0,0.0,0.0,0.3915492839111849,0.015378292012911526,0.0,0.0,0.9500000000000001,0.0
transxion,plausible_hard_projected_v2,3.2486204305108757,0.38016783936046855,0.0,0.0,0.0,0.0,0.22053062176684235,0.008480694865917184,0.0,0.0,0.9500000000000001,0.0
transxion,plausible_typology_projected_v2,3.2553223078807947,0.38430475133581427,0.0,0.0,0.0,0.0,0.22180126835912936,0.007275675661970068,0.0,0.0,0.9500000000000001,0.0
transxion,random_feasible_v2,0.04191645980180917,0.015476492747108238,0.0,0.0,0.0,0.0,0.5134061053837443,0.007357267029947834,0.0,0.0,0.9500000000000001,0.0
transxion,typology_projected_v2,4.463162083118394,0.6460538023709961,0.0,0.0,0.0,0.0,0.5059357260351182,0.01191998273860649,0.0,0.0,0.9500000000000001,0.0
