dataset,detector,augmentation,label_fraction,heldout_typology,auprc,auprc,auroc,auroc,recall_at_1pct_fpr,recall_at_1pct_fpr,precision_at_k,precision_at_k,ece,ece,training_seconds,training_seconds
,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
amlnet,lightgbm,curriculum_projected_v2,1,,0.9737946735302577,0.002824766132980067,0.9994081188738364,0.0003178389286550982,0.9869918699186987,0.0037256712967121378,0.9487804878048781,0.0,0.00026073786355700003,1.3607806093764415e-05,21.575819094975788,1.1035134116513277
amlnet,lightgbm,plausible_hard_projected_v2,1,,0.975474526750452,0.0015197442135643042,0.9995053548329854,0.00023096832168008954,0.9910569105691054,0.0014081713882674774,0.9528455284552836,0.0014081713882674292,0.00032017282069100005,2.2976611884198655e-05,22.186146020889282,0.4851819319052973
amlnet,lightgbm,plausible_typology_projected_v2,1,,0.9750253199867011,0.0028401306737423416,0.9994411323274631,0.0003166785995189253,0.990243902439024,0.0024390243902440434,0.9528455284552836,0.0014081713882674774,0.00032703874984166666,4.293015851459226e-06,21.97016183535258,1.3265047257695115
amlnet,lightgbm,random_feasible_v2,1,,0.9722182467315778,0.0006607650299773548,0.9994023470297884,0.00010538049192431897,0.9894308943089426,0.0014081713882674292,0.95040650406504,0.0014081713882668442,0.0002475847879056667,5.377237178074676e-06,21.610575358072918,2.266857975859673
amlnet,lightgbm,typology_projected_v2,1,,0.9755896402763624,0.0011161574156623945,0.9995038082029294,0.00014006480956874808,0.9918699186991867,0.0014081713882674613,0.9528455284552836,0.0014081713882674292,0.00032376747448766675,2.287814268741799e-05,23.13858977953593,1.4780448538381
amlnet,xgboost,curriculum_projected_v2,1,,0.9762183534968033,0.0008378573416939052,0.9995463480011018,4.258202870416362e-05,0.990243902439024,0.0024390243902440434,0.9528455284552836,0.0014081713882674774,0.00025689468282033334,1.2315243268341247e-05,24.943506240844727,1.2166685887390172
amlnet,xgboost,plausible_hard_projected_v2,1,,0.9740091581527465,0.0010453818922778449,0.9995107418874297,5.822487903400192e-05,0.990243902439024,0.0024390243902440434,0.951219512195121,0.0,0.00022988980518266668,1.6517558473901718e-05,23.975163618723553,1.184902316299939
amlnet,xgboost,plausible_typology_projected_v2,1,,0.973573402920438,0.001773398438747014,0.9995526353885014,8.017308069227854e-05,0.990243902439024,0.0024390243902440156,0.95040650406504,0.0014081713882667882,0.00023783745986900002,1.6659218386443672e-05,22.68242311477661,0.6056692585195406
amlnet,xgboost,random_feasible_v2,1,,0.9729386423147104,0.0007118959157264899,0.9993584884866652,8.125961083451368e-05,0.9894308943089426,0.0014081713882674774,0.95040650406504,0.0014081713882667963,0.0002519946554786667,9.629928584062533e-06,24.236594200134277,0.980084995731932
amlnet,xgboost,typology_projected_v2,1,,0.9719651031669798,0.0015217575080209618,0.9995420443348602,0.00010012064549239487,0.9894308943089426,0.0014081713882674453,0.949593495934959,0.0014081713882667882,0.000249591051353,3.4650971289405177e-06,24.687819321950276,1.543398588015598
transxion,lightgbm,curriculum_projected_v2,1,,0.26801526063477105,0.003948297764686677,0.9430007266849394,0.002580029395738325,0.72690317812269,0.0012801558075159257,0.37102734663710235,0.01573081792593686,0.0077212197464243335,0.0004135957506421027,95.1440601348877,3.2151347370049916
transxion,lightgbm,plausible_hard_projected_v2,1,,0.26356715503065103,0.002780890716575315,0.9359712015471304,0.0025761110126378676,0.7265336289726531,0.011378273701656469,0.3695491500369547,0.008467434765254618,0.008558297547671666,0.00033548876645780873,105.79316433270772,1.6156797426143268
transxion,lightgbm,plausible_typology_projected_v2,1,,0.26905773136371103,0.006750395457306166,0.9403843740252117,0.0008813098540901736,0.7257945306725792,0.0027900348984743633,0.3695491500369544,0.006105954043554624,0.008271646698150002,0.00024171739635215652,102.7449225584666,2.2969301462122402
transxion,lightgbm,random_feasible_v2,1,,0.2718537469908357,0.005354007780219271,0.9443290252425135,0.004039138263023635,0.7379896526237988,0.007786883778901128,0.3669623059866957,0.0069235011068721035,0.005566536480429335,3.163413775630027e-05,100.5732928911845,3.176056909640595
transxion,lightgbm,typology_projected_v2,1,,0.26762586748804634,0.0023128019262979075,0.9362223509448562,0.006261950320244071,0.7313377679231334,0.0027900348984739006,0.37176644493717603,0.007381738490553578,0.008372582522915001,0.0007127639228522071,106.03672099113464,3.766506497055203
transxion,xgboost,curriculum_projected_v2,1,,0.24117703650474434,0.0006213875848348787,0.91312257325836,0.003911765741766138,0.6618625277161857,0.0038404674225472318,0.3632668144863264,0.0027900348984738524,0.013451989563149002,0.0006573669296778541,99.31099351247151,3.7049446238555954
transxion,xgboost,plausible_hard_projected_v2,1,,0.242881740764609,0.0021273456294697416,0.9109887459866783,0.0015795429846292672,0.6500369549150034,0.0052392634437390985,0.36289726533628935,0.004480545326305308,0.013534257397966667,0.0005040266419651649,101.75667818387349,1.7321557976670332
transxion,xgboost,plausible_typology_projected_v2,1,,0.24206724169110136,0.005569836912680425,0.9115200671202105,0.004135342435540337,0.6419068736141901,0.005866410889278286,0.35994087213599335,0.004615667404581218,0.013981925495263002,7.501634727344945e-05,105.74497135480244,3.74135218794595
transxion,xgboost,random_feasible_v2,1,,0.24212613478480902,0.0022175900558694776,0.9349469472295207,0.0021428500963113916,0.6718403547671837,0.005080460859152847,0.3617886178861784,0.0033869739061017346,0.008227180116169333,0.00029123753668935655,104.13450503349304,2.836679322074048
transxion,xgboost,typology_projected_v2,1,,0.23485212022219035,0.002384589425441867,0.9031048420197357,0.0020817706416296666,0.6555801921655577,0.006682609504813737,0.348484848484848,0.009428936306114811,0.015056545144685336,0.0002529840909644546,103.61831140518188,2.472215532832389
