augmentation,auprc,auroc,brier,candidate_multiplier,dataset,detector,ece,f1,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr
none,0.26664223402290305,0.9460071508577901,0.003223432608482,6,transxion,lightgbm,0.005749641147794001,0.32773595830920604,,1,0.37161031054527405,0.221786833855799,0.38470066518847,0.68070953436807,0.7195121951219511,0.75,0,902,2960,1817502,73.59414744377136,0.327850961418001,0.9478956012963481,0.0028988096610560003,0.005396429243168001,0.342566061763769,0.395405418289802,779,0.22777307366638402,0.41206675224646905,0.745827984595635,0.7894736842105261
none,0.270090060963429,0.9469385890405111,0.0031594350243270004,6,transxion,lightgbm,0.005783959405843001,0.34030026493965204,,1,0.38389178778897803,0.23166332665330602,0.36363636363636304,0.685144124168514,0.7305986696230591,0.75,2,902,2960,1817502,81.23433756828308,0.349778746521107,0.9502763776585771,0.0028338798666030004,0.0053988939609160005,0.355121951219512,0.40708700577705903,779,0.23780487804878,0.42362002567394,0.7483953786906291,0.79204107830552
none,0.27803847827496103,0.9432027070811261,0.0030898272994530004,6,transxion,lightgbm,0.0053929437767680005,0.342754058929645,,1,0.384096975809719,0.23514851485148502,0.368070953436807,0.68070953436807,0.729490022172949,0.75,1,902,2960,1817502,86.62838697433472,0.34807347275551304,0.9477709794340831,0.00278979355604,0.005100861230355001,0.355700325732899,0.40753412447785303,779,0.23832387603666502,0.42618741976893404,0.7560975609756091,0.7907573812580231
feature_noise_v2,0.28279391823528405,0.9474643577611691,0.0028953814082750004,6,transxion,lightgbm,0.005146021654204001,0.35446153846153805,,1,0.39445103389394703,0.24531516183986302,0.375831485587583,0.709534368070953,0.750554323725055,0.75,0,902,5180,1819722,85.63096737861633,0.33799460511766805,0.9483132146963501,0.0026012561278310003,0.004845893067558,0.370797962648556,0.419209242815952,779,0.252077562326869,0.42490372272143706,0.7573812580231061,0.794608472400513
feature_noise_v2,0.28257740090778605,0.9435466225204571,0.002901578320771,6,transxion,lightgbm,0.0051031253259750005,0.36063531610090305,,1,0.39988009105209704,0.25075790385448204,0.37472283813747204,0.695121951219512,0.7416851441241681,0.75,1,902,5180,1819722,77.05080890655518,0.328576512119625,0.9486349945016611,0.0025936974574720002,0.004798683864612001,0.37108433734939705,0.417708118694941,779,0.253527751646284,0.41848523748395305,0.745827984595635,0.7894736842105261
smote_v2,0.270999278447897,0.9508739143545301,0.0030127316637970003,6,transxion,lightgbm,0.005627227558195,0.361893349310964,,1,0.40614188237701104,0.24794745484400602,0.370288248337028,0.7128603104212861,0.7461197339246121,0.75,0,902,5180,1819722,86.73884725570679,0.337344714289949,0.955638635382652,0.0026948692345560004,0.005225139193211,0.37495837495837503,0.42661754433130006,779,0.253147482014388,0.406931964056482,0.7625160462130931,0.7997432605905
feature_noise_v2,0.277025436053845,0.9454525668920171,0.002856598683937,6,transxion,lightgbm,0.005092724476416,0.355610817531861,,1,0.39450027068342103,0.24708423326133902,0.382483370288248,0.696230598669623,0.7339246119733921,0.75,2,902,5180,1819722,90.98159313201904,0.33327379845182203,0.949475328042033,0.0025766879616430003,0.004833427778526,0.372696245733788,0.420678091199422,779,0.25383542538354203,0.40564826700898504,0.7599486521181,0.794608472400513
smote_v2,0.28157950540200904,0.9537823316286901,0.0029038586758220004,6,transxion,lightgbm,0.005355646933086,0.362180474283954,,1,0.402978541194811,0.250746268656716,0.379157427937915,0.70509977827051,0.7527716186252771,0.75,1,902,5180,1819722,86.57171177864075,0.33484304858997105,0.9532753369295011,0.0025734291580210003,0.004946646702505,0.37924016282225204,0.42894273030724805,779,0.257722452743199,0.414634146341463,0.7702182284980741,0.808729139922978
smote_v2,0.28233100709671,0.9462470121616571,0.0029936455403360004,6,transxion,lightgbm,0.005570789175308,0.35054021608643404,,1,0.39310073760190706,0.240329218106995,0.373614190687361,0.691796008869179,0.740576496674057,0.75,2,902,5180,1819722,81.36413717269897,0.33542251365879705,0.9571852563631931,0.0026603180814340002,0.005161988458298,0.36442371752165204,0.41452536509662,779,0.24606387764282503,0.431322207958921,0.7650834403080871,0.8048780487804871
mixup_v2,0.26754057613631105,0.951098949268205,0.003127744980887,6,transxion,lightgbm,0.006092904471704,0.35127978817299205,,1,0.396432502217453,0.239086904285142,0.373614190687361,0.695121951219512,0.736141906873614,0.75,1,902,5180,1819722,87.6504077911377,0.32800671517587204,0.9555122377240891,0.0027818085842730004,0.0056307344358540005,0.35934426229508204,0.41084477272489806,779,0.24130339057683803,0.41976893453145003,0.7560975609756091,0.7997432605905
