dataset,augmentation,detector_hardness,detector_hardness,ledger_violation_rate,ledger_violation_rate,mean_flow_residual,mean_flow_residual,profile_drift,profile_drift,temporal_violation_rate,temporal_violation_rate,acceptance_rate,acceptance_rate
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
amlnet,curriculum_projected_v2,4.091311351113115,0.2772194506008399,0.0,0.0,0.0,0.0,0.723448953615443,0.18191518700125792,0.0,0.0,0.9492242595204511,0.0
amlnet,edge_rewire_v2,0.10765217948566101,0.05341359762830819,0.0,0.0,0.0,0.0,2.1214536451613064,0.015870126812930402,0.0,0.0,0.9492242595204511,0.0
amlnet,feature_noise_v2,1.2511746119641307,0.7077725096114382,0.4200752233192285,0.0191199667941433,0.08829529903472184,0.007352930145737051,2.1800409335746713,0.03413542423334575,0.0,0.0,0.5413728255759281,0.01499094193085945
amlnet,hard_projected_v2,7.582998230060585,0.5381763155195132,0.0,0.0,0.0,0.0,0.5626452308053427,0.17558008094738606,0.0,0.0,0.9492242595204511,0.0
amlnet,mixup_v2,1.7326819360269123,0.2662703411058252,0.0,0.0,0.0,0.0,1.5348621810905536,0.0327647292903395,0.0,0.0,0.9492242595204511,0.0
amlnet,none,,,,,,,,,,,,
amlnet,plausible_hard_projected_v2,6.684358805245663,1.1354678126730118,0.0,0.0,0.0,0.0,0.385814380016631,0.07235103810190496,0.0,0.0,0.9492242595204511,0.0
amlnet,plausible_typology_projected_v2,7.775897294578094,1.9170047960427945,0.0,0.0,0.0,0.0,0.3662292155277099,0.1131319803310702,0.0,0.0,0.9492242595204511,0.0
amlnet,random_feasible_v2,0.019491956377274838,0.01488800636789151,0.0,0.0,0.0,0.0,2.0881858409220193,0.01913422641628716,0.0,0.0,0.9492242595204511,0.0
amlnet,smote_v2,0.05577552029414501,0.029872301779091403,0.0,0.0,0.0,0.0,2.2758636166506445,0.02643973742196421,0.0,0.0,0.9492242595204511,0.0
amlnet,typology_projected_v2,9.248492938672321,1.9136700797538164,0.0,0.0,0.0,0.0,0.5351270413287758,0.2056524532636893,0.0,0.0,0.9492242595204511,0.0
transxion,curriculum_projected_v2,3.032313533977766,0.3375014020622159,0.0,0.0,0.0,0.0,0.3906619781343382,0.01421545275404768,0.0,0.0,0.9500000000000001,0.0
transxion,edge_rewire_v2,0.2489194595974047,0.030022235287099918,0.0,0.0,0.0,0.0,0.4793299049670767,0.011025481015513566,0.0,0.0,0.9500000000000001,0.0
transxion,feature_noise_v2,3.6099612910370578,2.604306089772243,0.7445195195195192,0.009446222685016034,0.6060279010867525,0.011495906542388952,1.9850802800146063,0.05505178603070656,0.0,0.0,0.24136636636636585,0.010740827033583672
transxion,hard_projected_v2,4.846319966247903,0.7240719969383241,0.0,0.0,0.0,0.0,0.4975572272201927,0.019423983812880012,0.0,0.0,0.9500000000000001,0.0
transxion,mixup_v2,0.8428663413705856,0.11865649586546867,0.0004504504504501667,0.0005697797585886437,0.0004637792956661667,0.00027498965923992443,0.6295421758192431,0.0074561992533438955,0.0,0.0,0.9495495495495495,0.0005697797585891102
transxion,none,,,,,,,,,,,,
transxion,plausible_hard_projected_v2,3.6367489341690287,0.5453795178553813,0.0,0.0,0.0,0.0,0.21797158022788768,0.0035062764638710852,0.0,0.0,0.9500000000000001,0.0
transxion,plausible_typology_projected_v2,3.636328714238536,0.54090484923402,0.0,0.0,0.0,0.0,0.21835335250762986,0.003403180466737091,0.0,0.0,0.9500000000000001,0.0
transxion,random_feasible_v2,0.0430137361897485,0.0157571766645973,0.0,0.0,0.0,0.0,0.5172973173278453,0.010066958885431984,0.0,0.0,0.9500000000000001,0.0
transxion,smote_v2,0.49846731667168404,0.20552574248393854,0.0,0.0,0.0,0.0,0.6442504764932612,0.02540864762749041,0.0,0.0,0.9500000000000001,0.0
transxion,typology_projected_v2,4.845585605314221,0.7244536961656652,0.0,0.0,0.0,0.0,0.4958752147244632,0.02144666085162315,0.0,0.0,0.9500000000000001,0.0
