dataset,detector,augmentation,label_fraction,heldout_typology,auprc,auprc,auroc,auroc,recall_at_1pct_fpr,recall_at_1pct_fpr,precision_at_k,precision_at_k,ece,ece,training_seconds,training_seconds
,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
amlnet,lightgbm,curriculum_projected_v2,1,,0.9734450732899065,0.0025122271151932,0.9996111645022246,0.00013550432901076934,0.9910569105691054,0.0028163427765348905,0.953658536585365,0.0024390243902440156,0.00028129979395000003,3.2685369270884646e-05,22.50835386912028,0.5409856481109333
amlnet,lightgbm,edge_rewire_v2,1,,0.971863899359481,0.0010919644154935085,0.9987089337498771,0.000986833750917476,0.9861788617886175,0.001408171388267389,0.9512195121951214,0.0024390243902434744,0.0002473955893576667,2.8429550004499227e-06,22.467015902201336,0.6141703041944898
amlnet,lightgbm,feature_noise_v2,1,,0.9706417267139065,0.000722431844388685,0.9992996306206594,4.303176665617801e-05,0.98780487804878,0.002439024390243988,0.9504065040650405,0.0028163427765342335,0.00024486748753600003,1.9182740558892147e-05,24.651796340942383,0.929391940504342
amlnet,lightgbm,hard_projected_v2,1,,0.9776701159134021,0.00196734285301849,0.9996202836422388,0.00019699025668020871,0.9926829268292682,0.004224514164802336,0.9512195121951214,0.0024390243902434605,0.00037457752048900006,2.6304831033186765e-05,24.74339731534322,1.247213438929506
amlnet,lightgbm,mixup_v2,1,,0.9702800850005024,0.00451794375804997,0.9987476256520175,0.0009758496635590833,0.9829268292682923,0.006453051978206063,0.9520325203252024,0.0014081713882674132,0.00030358124784,3.360071274567863e-05,23.38140861193339,0.9489332387222993
amlnet,lightgbm,none,1,,0.9713560939888867,0.0002486505432806228,0.9994297231289367,6.235788784033631e-05,0.9886178861788614,0.0014081713882674453,0.951219512195121,0.0,0.0002416341654216667,2.678186578102382e-06,20.71443772315979,0.8668825754288965
amlnet,lightgbm,plausible_hard_projected_v2,1,,0.978215419510876,0.003134679818737107,0.9996969501688121,0.00018398265452174313,0.9926829268292682,0.002439024390243988,0.9520325203252024,0.0014081713882674453,0.0003376077711153334,3.075188857377257e-05,23.526361385981243,0.9202973729632679
amlnet,lightgbm,plausible_typology_projected_v2,1,,0.9779375119785074,0.0008827750147033228,0.9994878525097711,0.00027185253479019444,0.9926829268292682,0.002439024390243988,0.9520325203252024,0.0014081713882674613,0.0003567501020336667,2.7740119538930206e-05,23.927284558614094,2.6490200107739486
amlnet,lightgbm,random_feasible_v2,1,,0.9700764929430177,0.001884248598028206,0.9993998328219921,8.733637228009685e-05,0.9845528455284548,0.005077234145039532,0.951219512195121,0.0,0.0002564435336786667,2.2064001689063658e-05,22.085171381632488,1.519091864147598
