augmentation,auprc,auroc,brier,candidate_multiplier,dataset,detector,ece,f1,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr
none,0.00019870186270300001,0.833984712587814,0.000194986752978,8,amlnet,lightgbm,0.00022691219331400002,0,integration,1,-0.000100783097667,0,0,0,0,0.75,3,13,913,654071,15.590300559997559,0.00020516000523200002,0.808768243349486,0.000131101727246,0.000154445116541,0,-6.892242096957295e-05,9,0,0,0,0
none,0.00017870620092900002,0.8295914814651171,0.00019261724818100002,8,amlnet,lightgbm,0.00021912656539800003,0,integration,1,-0.000100783097667,0,0,0,0,0.75,0,13,913,654071,17.210504293441772,0.00012955223469300002,0.754741177743879,0.00014074271266,0.00015968284972500002,0,-7.423240136402366e-05,9,0,0,0,0
none,0.000135253926218,0.769969160075995,0.00019923529458000001,8,amlnet,lightgbm,0.000230564920901,0,integration,1,-0.00010213618614500001,0,0,0,0,0.75,1,13,913,654071,17.27388858795166,0.00011839817084500001,0.7535358454887591,0.000124210778279,0.00014570301895300001,0,-6.752975013578093e-05,9,0,0,0,0
none,0.00016087579464500002,0.799657491273803,0.00019653249748100002,8,amlnet,lightgbm,0.00022721054148200001,0,integration,1,-9.941160673851388e-05,0,0,0,0,0.75,2,13,913,654071,18.366137981414795,0.000150702414881,0.762809399243208,0.000126776100081,0.000148752959463,0,-6.610776006552238e-05,9,0,0,0,0
none,0.00019780868942800001,0.833724561481023,0.00020809008122100003,8,amlnet,lightgbm,0.000234312885648,0,integration,1,-0.000100783097667,0,0,0,0,0.75,4,13,913,654071,14.915531873703003,0.00019275036417,0.796950779968919,0.00014446622738200002,0.00016458196521600002,0,-7.423240136402366e-05,9,0,0,0,0
random_feasible_v2,0.000151508585387,0.8054377236778151,0.00020509768216200002,8,amlnet,lightgbm,0.00023968756834200002,0,integration,1,-0.000100783097667,0,0,0,0,0.75,0,13,1598,654756,18.456181287765503,0.000135280208629,0.8406694724718651,0.00015510832191300002,0.00018036021417300001,0,-7.294113700498489e-05,9,0,0,0,0
random_feasible_v2,0.000149300195571,0.802396854151018,0.00022776220619900002,8,amlnet,lightgbm,0.00025852951575,0,integration,1,-0.000107378288009,0,0,0,0,0.75,1,13,1598,654756,17.817781448364258,0.000127494213537,0.804028597158662,0.00015057638849400002,0.000174696910535,0,-7.162661006478273e-05,9,0,0,0,0
random_feasible_v2,0.00012656232193100002,0.723740732558653,0.00020116089934600002,8,amlnet,lightgbm,0.00023102658587900003,0,integration,1,-9.6610272137663e-05,0,0,0,0,0.75,2,13,1598,654756,17.28295350074768,0.000128388707694,0.7571574579486581,0.000137816238814,0.00016147252344000002,0,-7.028751537522729e-05,9,0,0,0,0
random_feasible_v2,0.00018748265995000002,0.8318130163919941,0.000193581865,8,amlnet,lightgbm,0.00021859276293400003,0,integration,1,-9.6610272137663e-05,0,0,0,0,0.75,3,13,1598,654756,17.355952262878418,0.000181523567187,0.8471438577575201,0.00013163624483400002,0.000153766288116,0,-6.316786172493724e-05,9,0,0,0,0
random_feasible_v2,0.00011783391212100001,0.7457666239561701,0.00020488159424500001,8,amlnet,lightgbm,0.00023252682960000001,0,integration,1,-0.00010347159411500001,0,0,0,0,0.75,4,13,1598,654756,17.309495210647583,9.894714251552018e-05,0.780174147792827,0.00014440688786800001,0.00017003448413500003,0,-7.162661006478273e-05,9,0,0,0,0
hard_projected_v2,0.00014377810997600002,0.78773649096452,0.000275562191249,8,amlnet,lightgbm,0.00033307726100500004,0,integration,1,-0.00012062594888700001,0,0,0,0,0.75,0,13,1598,654756,20.009214639663696,0.000109011233913,0.8001333472194141,0.000223571678064,0.000274000477545,0,-9.747662145730753e-05,9,0,0,0,0
hard_projected_v2,0.000117183020124,0.7347999823266911,0.00038319804875500005,8,amlnet,lightgbm,0.00046580020276600005,0,integration,1,-0.00015096344425800001,0,0,0,0,0.75,1,13,1598,654756,20.40940284729004,8.908880375504868e-05,0.7472687303833581,0.00029289368455100005,0.000363166078582,0,-0.00011114427912000001,9,0,0,0,0
hard_projected_v2,0.00010659215667600001,0.7204764724075461,0.00028720563607,8,amlnet,lightgbm,0.000343786962734,0,integration,1,-0.00012941234577,0,0,0,0,0.75,2,13,1598,654756,18.595101356506348,8.584717707318643e-05,0.743018160135103,0.000241196096423,0.00029364802712100003,0,-0.00010223551764500001,9,0,0,0,0
hard_projected_v2,0.00011472695899200001,0.734955860911059,0.00031120059798100003,8,amlnet,lightgbm,0.00037466841334200004,0,integration,1,-0.000138633693633,0,0,0,0,0.75,3,13,1598,654756,20.287030696868896,9.05577442211851e-05,0.7569813293472111,0.00028665290377700005,0.000343201230211,0,-0.000112841755088,9,0,0,0,0
hard_projected_v2,9.81625217457067e-05,0.6922946140591171,0.000287647591927,8,amlnet,lightgbm,0.00033412476192700005,0,integration,1,-0.000126189085981,0,0,0,0,0.75,4,13,1598,654756,20.304076194763184,9.12020305104388e-05,0.761814910792139,0.00026650250738700004,0.000314640379947,0,-0.00010766916888700001,9,0,0,0,0
