dataset,detector,augmentation,label_fraction,heldout_typology,auprc,auprc,auroc,auroc,recall_at_1pct_fpr,recall_at_1pct_fpr,precision_at_k,precision_at_k,ece,ece,training_seconds,training_seconds
,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
amlnet,lightgbm,curriculum_projected_v2,1,integration,0.00011040695858532859,1.7490613955459006e-05,0.7233547474925989,0.04191892420587219,0.0,0.0,0.0,0.0,0.000259229896052,2.2956026143720254e-05,18.654079294204713,0.8554415368678386
amlnet,lightgbm,hard_projected_v2,1,integration,0.00011608855350274134,1.7184931638849122e-05,0.7340526841337867,0.03468203872293393,0.0,0.0,0.0,0.0,0.0003702915203548,5.598324011913787e-05,19.920965147018432,0.7558194580521924
amlnet,lightgbm,none,1,integration,0.0001742692947846,2.679703547865079e-05,0.8133854813767505,0.028169467568610777,0.0,0.0,0.0,0.0,0.00022762542134860002,5.618589867048653e-06,16.671272659301756,1.3944184772253878
amlnet,lightgbm,plausible_hard_projected_v2,1,integration,0.00013002885088954705,2.8988342208817345e-05,0.7606625370034901,0.05268065452475187,0.0,0.0,0.0,0.0,0.00035676578684680005,1.9509765224365945e-05,19.216589546203615,0.7748462991480738
amlnet,lightgbm,plausible_typology_projected_v2,1,integration,0.00012487755248568043,2.941286208783576e-05,0.7488259444174432,0.06196368844434428,0.0,0.0,0.0,0.0,0.0003649833293168,6.6338693377321865e-06,19.258772325515746,0.6743760647143868
amlnet,lightgbm,random_feasible_v2,1,integration,0.00014653753499200002,2.7072836922289678e-05,0.7818309901471301,0.045148510809352116,0.0,0.0,0.0,0.0,0.00023607265250100005,1.4671064303546914e-05,17.644472742080687,0.5037501479279085
amlnet,lightgbm,typology_projected_v2,1,integration,0.0001188186533225721,1.5262861625270827e-05,0.737865028940043,0.03324945895507246,0.0,0.0,0.0,0.0,0.000396752202796,3.114880602371837e-05,18.97273120880127,0.3927533257771157
amlnet,xgboost,curriculum_projected_v2,1,integration,0.0003248393087284,3.535687041018471e-05,0.9038682278089514,0.010294254574728157,0.0,0.0,0.0,0.0,0.00042296469802420003,5.601343114461898e-05,23.741557264328,1.105404225034054
amlnet,xgboost,hard_projected_v2,1,integration,0.0004182693345784,7.9204211640854e-05,0.923051508858746,0.017472441549075114,0.0,0.0,0.0,0.0,0.00041016352495100005,6.766660496098427e-05,24.009208059310915,0.8606760178722568
amlnet,xgboost,none,1,integration,0.0003008939375394,3.0669333558842826e-05,0.8931299253302697,0.01313133469596979,0.0,0.0,0.0,0.0,0.00024178962633960004,4.746128509650161e-06,21.525609683990478,0.3391114591161986
amlnet,xgboost,plausible_hard_projected_v2,1,integration,0.0006574623861942,6.32885528945549e-05,0.9537653514779298,0.00504300880246954,0.0,0.0,0.0,0.0,0.0002908749718402,2.9246132841123773e-05,23.852918815612792,1.0957720261906936
amlnet,xgboost,plausible_typology_projected_v2,1,integration,0.0005505173376012001,0.0001849879954936057,0.9416880484248658,0.01556839436045964,0.0,0.0,0.0,0.0,0.0002890523836812,1.376341843039835e-05,23.067335414886475,0.6148909587469487
amlnet,xgboost,random_feasible_v2,1,integration,0.0002833573766242,5.2238736391598e-05,0.888902081032121,0.022755795303301896,0.0,0.0,0.0,0.0,0.00024867577346,9.950218580454258e-06,20.997127771377563,1.0212953624910783
amlnet,xgboost,typology_projected_v2,1,integration,0.00043641473136000005,4.771439359809942e-05,0.9300719833870895,0.008135023665599194,0.0,0.0,0.0,0.0,0.00029012649526920003,2.9092626697487174e-05,22.28197021484375,1.0691664849151623
