dataset,detector,augmentation,label_fraction,heldout_typology,auprc,auprc,auroc,auroc,recall_at_1pct_fpr,recall_at_1pct_fpr,precision_at_k,precision_at_k,ece,ece,training_seconds,training_seconds
,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
amlnet,lightgbm,curriculum_projected_v2,1,layering,0.9452740476022798,0.002826863294782674,0.9934319221736345,0.0026136033758960096,0.9550143266475641,0.005738612754842383,0.9209169054441256,0.006364214421760374,0.00024816990914080004,1.4897122175453028e-05,14.961559057235718,0.7588355370030927
amlnet,lightgbm,hard_projected_v2,1,layering,0.945757446561678,0.0014588705171953368,0.9940999280787477,0.0023889498897302435,0.9521489971346704,0.004063428345020601,0.931232091690544,0.005402917143736788,0.0002493694476816,1.7357455389627537e-05,15.463812756538392,0.9993559698085911
amlnet,lightgbm,none,1,layering,0.9318258327593612,0.0014235675204896656,0.9967005794845036,0.0005475980288816148,0.9518624641833808,0.001812193501529157,0.8982808022922629,0.0015101612512742873,0.0002988506440379,9.631361490732438e-06,12.854891610145568,0.6131897626468382
amlnet,lightgbm,plausible_hard_projected_v2,1,layering,0.9467820043141575,0.0017062885167689404,0.9956114409101902,0.0010105682161320791,0.9530085959885385,0.003080136675567777,0.9309455587392547,0.004366429589555883,0.0002575209016917,1.041713177235019e-05,15.558153915405274,1.2095470255494114
amlnet,lightgbm,plausible_typology_projected_v2,1,layering,0.9460540161496306,0.0033027465919067845,0.995883646226438,0.0010549430021411304,0.9544412607449855,0.005309242448782184,0.9332378223495699,0.0055773835035936945,0.0002505228207269,1.4164376724222308e-05,15.155155229568482,1.057978879067239
amlnet,lightgbm,random_feasible_v2,1,layering,0.9342210672234248,0.0017962539056402935,0.9966874618381224,0.0007735424636842534,0.9553008595988537,0.004907443201018233,0.904011461318051,0.007051013877857469,0.0002794540390745,1.6906465352355944e-05,13.47384717464447,0.8412570271454556
amlnet,lightgbm,typology_projected_v2,1,layering,0.9473495783548327,0.0018101919349143335,0.9944360468656649,0.0020877249398222222,0.9544412607449855,0.0045705773119409645,0.9361031518624638,0.0023589472846663713,0.0002474528966207,1.1541961410183835e-05,15.00861165523529,1.286139429800525
amlnet,xgboost,curriculum_projected_v2,1,layering,0.9455723284840577,0.00256071779118091,0.9930882570863824,0.001811158225677281,0.9538681948424067,0.005309242448782182,0.9269340974212031,0.008462294721427592,0.0002428377580238,7.998648567556374e-06,20.05561993122101,0.7659980174523092
amlnet,xgboost,hard_projected_v2,1,layering,0.9450855848975479,0.0027740251664636856,0.9928381390005742,0.0020305058656020355,0.9515759312320915,0.004152256947332255,0.9352435530085957,0.0024162580020388605,0.00025082485872280003,1.3297106941751005e-05,19.584789299964903,0.9652286037851358
amlnet,xgboost,none,1,layering,0.9274052506621885,0.0009745274332597823,0.9934704890809712,0.0010848864507453338,0.9426934097421201,0.0027014585718683976,0.9025787965616041,0.0013507292859342068,0.00028619548824790006,6.904854511677526e-06,17.882059574127197,0.9411547722782689
amlnet,xgboost,plausible_hard_projected_v2,1,layering,0.9452190189252387,0.0024409731326267385,0.994194017534302,0.0009719560945958948,0.954154727793696,0.004870123699706597,0.9352435530085957,0.002768171298221471,0.00024376852875170003,1.2968537253027589e-05,19.860700035095213,0.8882549969315481
amlnet,xgboost,plausible_typology_projected_v2,1,layering,0.9408544128960283,0.0037085651184419685,0.9936276019611292,0.0016951614896460658,0.955587392550143,0.007429011072638077,0.9358166189111745,0.0030801366755677153,0.0002496519872466,1.0966398531246149e-05,20.333660936355592,0.4743665484445712
amlnet,xgboost,random_feasible_v2,1,layering,0.9316865230968082,0.001518208670573895,0.9947808139774095,0.0010479610824528957,0.94756446991404,0.003832359627075241,0.9060171919770769,0.004639907469528634,0.0002792351421069,1.75122565535926e-05,18.383784770965576,0.36513910047292414
amlnet,xgboost,typology_projected_v2,1,layering,0.9418684226371801,0.004870575089770839,0.993145322073899,0.0018994753718336633,0.954154727793696,0.007147387558307471,0.9363896848137532,0.0026330561131022267,0.00025740745720360004,1.4070504227392967e-05,20.556479048728942,0.9378489572662142
