dataset,detector,augmentation,label_fraction,heldout_typology,auprc,auprc,auroc,auroc,recall_at_1pct_fpr,recall_at_1pct_fpr,precision_at_k,precision_at_k,ece,ece,training_seconds,training_seconds
,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
amlnet,lightgbm,curriculum_projected_v2,1,structuring,0.3873665251576296,0.0061201034681219145,0.9957791882060114,0.0011359445556675654,0.9291666666666663,0.040611643103370884,0.375,0.0,0.00019328482925060002,1.5084060820758862e-05,17.434036254882812,1.1055909977811462
amlnet,lightgbm,hard_projected_v2,1,structuring,0.39031793071903065,0.0027654335208454127,0.9964102814474437,0.0006039247063756449,0.9958333333333332,0.009316949906249388,0.375,0.0,0.00031130659363300003,2.2974404779007537e-05,19.1306143283844,1.5542762238974097
amlnet,lightgbm,none,1,structuring,0.6184252702574002,0.04056354727894125,0.9997804135554273,4.0608626587928774e-05,1.0,0.0,0.375,0.0,0.00017346746593080003,2.7844002641682136e-06,15.934089756011963,1.0598885539461953
amlnet,lightgbm,plausible_hard_projected_v2,1,structuring,0.3862501589343694,0.003461773012188017,0.9954356883017418,0.0011613393036461299,0.8833333333333331,0.07878196000495415,0.375,0.0,0.0003079675372712,2.5449742906865413e-05,18.891660308837892,0.34146877621294963
amlnet,lightgbm,plausible_typology_projected_v2,1,structuring,0.3856733098256892,0.002196483126512269,0.9950039058012633,0.0015682748029643987,0.8374999999999997,0.16757564626825183,0.375,0.0,0.0003113865928668,3.1394414060770796e-05,18.590539932250977,0.8000232834319546
amlnet,lightgbm,random_feasible_v2,1,structuring,0.5925738644755139,0.021810174918409263,0.9997662454528043,1.86228769634374e-05,1.0,0.0,0.375,0.0,0.00018361478656300003,7.445947655652681e-06,16.92251501083374,0.7146318469509024
amlnet,lightgbm,typology_projected_v2,1,structuring,0.3858806183242306,0.002328051928747994,0.9960960367604821,0.0005118542548879681,0.9791666666666666,0.029462782549439518,0.375,0.0,0.0003157933237038,3.30304227786851e-05,19.31758279800415,1.1319420013229005
amlnet,xgboost,curriculum_projected_v2,1,structuring,0.3859626242315156,0.006550672833668603,0.9965957495692127,0.0010743583295252342,0.9624999999999997,0.061449505015636105,0.375,0.0,0.0003356183398904,3.390696563285226e-05,23.058264303207398,0.8156360720059542
amlnet,xgboost,hard_projected_v2,1,structuring,0.38735123387876824,0.006205759161904811,0.9964747080222092,0.0006819110587963868,0.9708333333333332,0.027950849718747436,0.375,0.0,0.00018028221860880001,2.2896770188312655e-05,25.355038928985596,5.177411211193677
amlnet,xgboost,none,1,structuring,0.6247515247558288,0.028893805713515353,0.9998301742293698,2.6886192272818347e-05,1.0,0.0,0.43333333333333324,0.04973890160963886,0.00015596248161380002,7.722520630559282e-06,20.830053281784057,1.0830658597142044
amlnet,xgboost,plausible_hard_projected_v2,1,structuring,0.39303200552693085,0.004783402581836864,0.9974043844533789,0.0006374096495942845,0.9958333333333332,0.009316949906249395,0.375,0.0,0.00020092910517540002,1.4967523682877422e-05,23.09110860824585,1.0871340108191963
amlnet,xgboost,plausible_typology_projected_v2,1,structuring,0.3921909211865252,0.006560885147484328,0.9975115067968596,0.0004896702493135621,0.9958333333333332,0.009316949906249388,0.375,0.0,0.00019076888352900003,1.0862092979851168e-05,22.493615245819093,1.5478363986738006
amlnet,xgboost,random_feasible_v2,1,structuring,0.7088258694633041,0.03678378172024354,0.9998700938158145,2.5837905443876377e-05,1.0,0.0,0.5458333333333328,0.06144950501563604,0.0001271216169798,1.166208690411605e-05,19.571101665496826,1.0637600068965052
amlnet,xgboost,typology_projected_v2,1,structuring,0.385659974600263,0.004000877261172767,0.9964315814665898,0.0006385475278477147,0.9416666666666662,0.04516559039308063,0.375,0.0,0.000186766666625,3.812094468981319e-05,23.61962833404541,0.8589984488883596
