dataset,augmentation,detector_hardness,detector_hardness,ledger_violation_rate,ledger_violation_rate,mean_flow_residual,mean_flow_residual,profile_drift,profile_drift,temporal_violation_rate,temporal_violation_rate,acceptance_rate,acceptance_rate
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
amlnet,curriculum_projected_v2,4.276541888259214,1.6431070375519665,0.0,0.0,0.0,0.0,1.6244962284012154,0.45616338214136104,0.0,0.0,0.9163841807909601,0.042686175057038166
amlnet,none,,,,,,,,,,,,
amlnet,plausible_hard_projected_v2,6.068755430704836,2.179383873588546,0.0,0.0,0.0,0.0,1.1594273244703868,0.4712474581217526,0.0,0.0,0.9163841807909601,0.042686175057038166
amlnet,plausible_typology_projected_v2,6.455705645680395,2.05963221410901,0.0,0.0,0.0,0.0,1.1735553475308367,0.4701328520828356,0.0,0.0,0.9163841807909601,0.042686175057038166
amlnet,random_feasible_v2,0.16269282101104254,0.3866316797074139,0.0,0.0,0.0,0.0,2.1155897894448494,0.2977336684732689,0.0,0.0,0.9163841807909601,0.042686175057038166
amlnet,typology_projected_v2,7.3892627798893455,2.005260817951793,0.0,0.0,0.0,0.0,1.459834715931945,0.4499676495344673,0.0,0.0,0.9163841807909601,0.042686175057038166
transxion,curriculum_projected_v2,4.95170428046956,2.444200133464087,0.0,0.0,0.0,0.0,0.35664166507248296,0.04572663818989457,0.0,0.0,0.9348621348621344,0.018594837029940685
transxion,none,,,,,,,,,,,,
transxion,plausible_hard_projected_v2,5.753798490424063,2.969368794346507,0.0,0.0,0.0,0.0,0.20336468761188614,0.03319292895312984,0.0,0.0,0.9348621348621344,0.018594837029940685
transxion,plausible_typology_projected_v2,5.771400706566497,2.9541231836239037,0.0,0.0,0.0,0.0,0.2036089756879152,0.034826103140542124,0.0,0.0,0.9348621348621344,0.018594837029940685
transxion,random_feasible_v2,0.03223040475984534,0.030780917860916905,0.0,0.0,0.0,0.0,0.49206923604907854,0.1329706995206361,0.0,0.0,0.9348621348621344,0.018594837029940685
transxion,typology_projected_v2,7.6231859107062165,3.022506867607774,0.0,0.0,0.0,0.0,0.4835900978281124,0.09703027720340189,0.0,0.0,0.9348621348621344,0.018594837029940685
