augmentation,auprc,auroc,brier,candidate_multiplier,dataset,detector,ece,f1,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr
none,0.270090060963429,0.9469385890405111,0.0031594350243270004,6,transxion,lightgbm,0.005783959405843001,0.34030026493965204,,1,0.38389178778897803,0.23166332665330602,0.36363636363636304,0.685144124168514,0.7305986696230591,0.75,2,902,2960,1817502,74.93046522140503,0.349778746521107,0.9502763776585771,0.0028338798666030004,0.0053988939609160005,0.355121951219512,0.40708700577705903,779,0.23780487804878,0.42362002567394,0.7483953786906291,0.79204107830552
none,0.27803847827496103,0.9432027070811261,0.0030898272994530004,6,transxion,lightgbm,0.0053929437767680005,0.342754058929645,,1,0.384096975809719,0.23514851485148502,0.368070953436807,0.68070953436807,0.729490022172949,0.75,1,902,2960,1817502,87.65868425369263,0.34807347275551304,0.9477709794340831,0.00278979355604,0.005100861230355001,0.355700325732899,0.40753412447785303,779,0.23832387603666502,0.42618741976893404,0.7560975609756091,0.7907573812580231
none,0.26664223402290305,0.9460071508577901,0.003223432608482,6,transxion,lightgbm,0.005749641147794001,0.32773595830920604,,1,0.37161031054527405,0.221786833855799,0.38470066518847,0.68070953436807,0.7195121951219511,0.75,0,902,2960,1817502,90.74989748001099,0.327850961418001,0.9478956012963481,0.0028988096610560003,0.005396429243168001,0.342566061763769,0.395405418289802,779,0.22777307366638402,0.41206675224646905,0.745827984595635,0.7894736842105261
feature_noise_v2,0.28279391823528405,0.9474643577611691,0.0028953814082750004,6,transxion,lightgbm,0.005146021654204001,0.35446153846153805,,1,0.39445103389394703,0.24531516183986302,0.375831485587583,0.709534368070953,0.750554323725055,0.75,0,902,5180,1819722,86.80257558822632,0.33799460511766805,0.9483132146963501,0.0026012561278310003,0.004845893067558,0.370797962648556,0.419209242815952,779,0.252077562326869,0.42490372272143706,0.7573812580231061,0.794608472400513
feature_noise_v2,0.278690912029188,0.94064096343137,0.0029246642254330004,6,transxion,lightgbm,0.005203638725058001,0.351920693928128,,1,0.390789667765623,0.24419604471195103,0.371396895787139,0.6906873614190681,0.73170731707317,0.75,2,902,5180,1819722,77.13807702064514,0.320035156338351,0.9480723747103311,0.002607777734665,0.004896196607857,0.369283276450511,0.41680611380708305,779,0.251510925151092,0.417201540436457,0.7509627727856221,0.794608472400513
feature_noise_v2,0.277088990113168,0.939085599960343,0.0028634453090930004,6,transxion,lightgbm,0.0052162700788350004,0.360326428123038,,1,0.398587585028273,0.251313485113835,0.37250554323725005,0.698447893569844,0.750554323725055,0.75,1,902,5180,1819722,90.67038249969482,0.322075336184449,0.946919647413417,0.0025776391267440003,0.004908168505499,0.37456807187284,0.42114298389741806,779,0.256264775413711,0.42875481386392805,0.7496790757381251,0.7907573812580231
feature_noise_repaired_v2,0.269334741735973,0.9477271349096531,0.0036777830674220003,6,transxion,lightgbm,0.008201641500872001,0.31564916022394,,1,0.367786977204335,0.20779220779220703,0.373614190687361,0.68070953436807,0.7305986696230591,0.75,0,902,5180,1819722,89.8014726638794,0.33370856312678604,0.9537957767851211,0.003157460260182,0.007065555895271001,0.33565586186004204,0.394007143482251,779,0.21966693100713702,0.41976893453145003,0.7496790757381251,0.781771501925545
feature_noise_repaired_v2,0.26795070361475404,0.9442420352008771,0.004331190804468,6,transxion,lightgbm,0.010059634541927001,0.283557442793111,,1,0.344755254827249,0.18010188792328402,0.38026607538802604,0.676274944567627,0.729490022172949,0.75,1,902,5180,1819722,89.33877491950989,0.32336878255092,0.9552496808313791,0.0035586097143860003,0.008205499463679001,0.313159355913381,0.37900451579828903,779,0.19978746014877702,0.42362002567394,0.740693196405648,0.788189987163029
feature_noise_repaired_v2,0.277826905366018,0.9422859505067891,0.004897307375529,6,transxion,lightgbm,0.012162754736580001,0.26046511627906904,,1,0.32972703507411605,0.160919540229885,0.38359201773835905,0.68070953436807,0.7450110864745011,0.75,2,902,5180,1819722,83.68487310409546,0.330718235882802,0.954998158486509,0.003837287558856,0.009339097304302001,0.290918553213635,0.360418762241614,779,0.18244125326370703,0.42490372272143706,0.7368421052631571,0.7856225930680361
smote_v2,0.270999278447897,0.9508739143545301,0.0030127316637970003,6,transxion,lightgbm,0.005627227558195,0.361893349310964,,1,0.40614188237701104,0.24794745484400602,0.370288248337028,0.7128603104212861,0.7461197339246121,0.75,0,902,5180,1819722,87.09822630882263,0.337344714289949,0.955638635382652,0.0026948692345560004,0.005225139193211,0.37495837495837503,0.42661754433130006,779,0.253147482014388,0.406931964056482,0.7625160462130931,0.7997432605905
smote_v2,0.28157950540200904,0.9537823316286901,0.0029038586758220004,6,transxion,lightgbm,0.005355646933086,0.362180474283954,,1,0.402978541194811,0.250746268656716,0.379157427937915,0.70509977827051,0.7527716186252771,0.75,1,902,5180,1819722,87.68743586540222,0.33484304858997105,0.9532753369295011,0.0025734291580210003,0.004946646702505,0.37924016282225204,0.42894273030724805,779,0.257722452743199,0.414634146341463,0.7702182284980741,0.808729139922978
smote_v2,0.28233100709671,0.9462470121616571,0.0029936455403360004,6,transxion,lightgbm,0.005570789175308,0.35054021608643404,,1,0.39310073760190706,0.240329218106995,0.373614190687361,0.691796008869179,0.740576496674057,0.75,2,902,5180,1819722,78.00879406929016,0.33542251365879705,0.9571852563631931,0.0026603180814340002,0.005161988458298,0.36442371752165204,0.41452536509662,779,0.24606387764282503,0.431322207958921,0.7650834403080871,0.8048780487804871
smote_repaired_v2,0.276568325721872,0.946127559839493,0.003286993123484,6,transxion,lightgbm,0.006237544009773,0.342127659574468,,1,0.390623908824397,0.22988943957300803,0.392461197339246,0.7084257206208421,0.7483370288248331,0.75,0,902,5180,1819722,88.2509560585022,0.32616603132453104,0.9552564233410961,0.002896013590141,0.005691775128485,0.35810598933835003,0.41556639637674103,779,0.23692946058091202,0.41206675224646905,0.774069319640564,0.8035943517329911
smote_repaired_v2,0.28203825377436703,0.9457842840058701,0.003133424949572,6,transxion,lightgbm,0.005857861691151001,0.34644744568408603,,1,0.391202438353327,0.23562300319488802,0.38470066518847,0.7039911308203991,0.7483370288248331,0.75,1,902,5180,1819722,87.07435369491577,0.331036101109621,0.953456196584426,0.0027887094223810003,0.005369491826809,0.36034872457216605,0.414089840163022,779,0.24072476272648802,0.41848523748395305,0.7625160462130931,0.8048780487804871
mixup_v2,0.267374839803779,0.9473252059497381,0.0029858256325630004,6,transxion,lightgbm,0.005888533246437001,0.361870066788099,,1,0.404428848678104,0.249163879598662,0.376940133037694,0.713968957871396,0.7483370288248331,0.75,0,902,5180,1819722,78.96795630455017,0.33389868513213705,0.9524288379601681,0.002685448219047,0.0054498618093880005,0.36928213689482403,0.41976198788553604,779,0.24954873646209302,0.40949935815147603,0.7573812580231061,0.7894736842105261
smote_repaired_v2,0.27748517069940104,0.9507022727723561,0.003265768244079,6,transxion,lightgbm,0.006062892624612,0.337423312883435,,1,0.387409681122499,0.22540983606557302,0.38913525498891305,0.70509977827051,0.750554323725055,0.75,2,902,5180,1819722,85.14989900588989,0.340365780337117,0.9590829418758001,0.0028456682665180004,0.005490127505708001,0.350600126342387,0.40581330315580005,779,0.23250942605781302,0.41976893453145003,0.76765083440308,0.802310654685494
mixup_repaired_v2,0.26542480720835004,0.9432058519619131,0.003519678260022,6,transxion,lightgbm,0.008189941136377001,0.334451901565995,,1,0.383619182025876,0.223635003739715,0.36696230598669605,0.695121951219512,0.74390243902439,0.75,0,902,5180,1819722,75.82145977020264,0.334622162994748,0.9491675339585771,0.0031163655660470004,0.007383225675757001,0.34624846248462404,0.404422519160727,779,0.227658714112414,0.427471116816431,0.7599486521181,0.802310654685494
mixup_v2,0.26754057613631105,0.951098949268205,0.003127744980887,6,transxion,lightgbm,0.006092904471704,0.35127978817299205,,1,0.396432502217453,0.239086904285142,0.373614190687361,0.695121951219512,0.736141906873614,0.75,1,902,5180,1819722,88.45218515396118,0.32800671517587204,0.9555122377240891,0.0027818085842730004,0.0056307344358540005,0.35934426229508204,0.41084477272489806,779,0.24130339057683803,0.41976893453145003,0.7560975609756091,0.7997432605905
mixup_v2,0.27708396465870905,0.9473831883147431,0.0030719916463100004,6,transxion,lightgbm,0.005866603158443001,0.34769775678866505,,1,0.39195856133718004,0.23692679002413503,0.381374722838137,0.70509977827051,0.7483370288248331,0.75,2,902,5180,1819722,86.82068467140198,0.33756543072779505,0.9523110455940571,0.002755417725668,0.005407923668886001,0.36115621955180205,0.414220201325924,779,0.241739130434782,0.41591784338896004,0.7637997432605901,0.802310654685494
mixup_repaired_v2,0.27185274457423003,0.9459810369846331,0.0026897094368060004,6,transxion,lightgbm,0.005192646773684,0.37512339585389903,,1,0.40928817567401804,0.266729059429106,0.375831485587583,0.70620842572062,0.7461197339246121,0.75,1,902,5180,1819722,88.55529856681824,0.32665398041152605,0.9518398421836881,0.002357965847599,0.004748571484779,0.39882912550311,0.440696507602628,779,0.278915046059365,0.41206675224646905,0.761232349165596,0.8035943517329911
mixup_repaired_v2,0.267420833944192,0.948562859488647,0.003198770900309,6,transxion,lightgbm,0.006819385505902001,0.34708308780200303,,1,0.39148238822451104,0.23635634028892402,0.390243902439024,0.7039911308203991,0.747228381374722,0.75,2,902,5180,1819722,77.46770358085632,0.32726514804712703,0.959122546164312,0.002839034249254,0.006226592640626001,0.36785364260045705,0.42112528957934803,779,0.24671340929009603,0.41976893453145003,0.7637997432605901,0.8035943517329911
edge_rewire_v2,0.270565010531567,0.9503325421868891,0.0036447714330330003,6,transxion,lightgbm,0.007384694625992,0.317248733671021,,1,0.36966421318811704,0.20884520884520802,0.37250554323725005,0.688470066518847,0.740576496674057,0.75,0,902,5180,1819722,85.40783596038818,0.35152271215866004,0.956541130279916,0.003185979815052,0.006614136066402001,0.334407027818448,0.397223831720936,779,0.21661608497723803,0.433889602053915,0.758664955070603,0.806161745827984
edge_rewire_v2,0.272374272403407,0.9483417703374051,0.0037820409402380003,6,transxion,lightgbm,0.008069189313331001,0.310085558724397,,1,0.364751830089799,0.202368866328257,0.38026607538802604,0.6818181818181811,0.7272727272727271,0.75,1,902,5180,1819722,88.67593026161194,0.33754170037381304,0.9554893072505131,0.003341482205048,0.007237276652863001,0.32438739789964904,0.38576895625919505,779,0.209890524726311,0.42618741976893404,0.7355584082156611,0.7830551989730421
edge_rewire_v2,0.265543491048144,0.9472588134111141,0.003682799644376,6,transxion,lightgbm,0.0074683152836470005,0.317526853549908,,1,0.372219787564809,0.20789022298456203,0.379157427937915,0.6906873614190681,0.736141906873614,0.75,2,902,5180,1819722,83.91572856903076,0.336514851698822,0.9573883039245441,0.0031928389557050003,0.006658873730798,0.331075110456553,0.39242855161292906,779,0.21483180428134502,0.42233632862644405,0.7573812580231061,0.79204107830552
random_feasible_v2,0.26214025878255703,0.9451087522501471,0.0031777720596180004,6,transxion,lightgbm,0.005620997081034001,0.34352941176470503,,1,0.387667582346075,0.23378702962369802,0.376940133037694,0.691796008869179,0.7416851441241681,0.75,0,902,5180,1819722,85.16708111763,0.33063085741364,0.9486949260354851,0.0028163001146830004,0.0052410204291420005,0.35981912144702805,0.413433563929445,779,0.240397065170479,0.410783055198973,0.7573812580231061,0.7894736842105261
random_feasible_v2,0.257398339686823,0.9425955783152061,0.00315588013419,6,transxion,lightgbm,0.005614247406753,0.341492185196107,,1,0.38502755355446106,0.232623543591803,0.35809312638580904,0.685144124168514,0.7416851441241681,0.75,1,902,5180,1819722,73.5446081161499,0.311455940187015,0.9481566879061021,0.002831897841466,0.005271669600917001,0.359405300581771,0.41286678586788006,779,0.24017278617710502,0.40564826700898504,0.7560975609756091,0.7894736842105261
random_feasible_v2,0.267097431344197,0.9420810017780961,0.0031667048171690002,6,transxion,lightgbm,0.005816882425064,0.336293664890467,,1,0.37866463506458203,0.22940226171243902,0.36696230598669605,0.68070953436807,0.717294900221729,0.75,2,902,5180,1819722,80.97438097000122,0.34244802066795904,0.9458840972126901,0.0028401263277940004,0.005434379650314,0.35297906602254403,0.405924173929172,779,0.235597592433362,0.417201540436457,0.745827984595635,0.7830551989730421
