dataset,augmentation,detector_hardness,detector_hardness,ledger_violation_rate,ledger_violation_rate,mean_flow_residual,mean_flow_residual,profile_drift,profile_drift,temporal_violation_rate,temporal_violation_rate,acceptance_rate,acceptance_rate
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
amlnet,curriculum_projected_v2,3.853759479123926,0.0652769114799125,0.0,0.0,0.0,0.0,0.8972697014024714,0.03376624303151483,0.0,0.0,0.95004233700254,0.0
amlnet,plausible_hard_projected_v2,5.813677591904379,0.03678669155780006,0.0,0.0,0.0,0.0,0.45869721305341704,0.0239527236565353,0.0,0.0,0.95004233700254,0.0
amlnet,plausible_typology_projected_v2,6.228096006588914,0.07110269480926303,0.0,0.0,0.0,0.0,0.47976201227189236,0.023477225277738507,0.0,0.0,0.95004233700254,0.0
amlnet,random_feasible_v2,0.03481893164064534,0.004269787406518956,0.0,0.0,0.0,0.0,2.0858252118574243,0.009042318476194008,0.0,0.0,0.95004233700254,0.0
amlnet,typology_projected_v2,7.5172397784122635,0.01330248303136661,0.0,0.0,0.0,0.0,0.7254055392476525,0.017431032612231848,0.0,0.0,0.95004233700254,0.0
transxion,curriculum_projected_v2,3.4885432357212807,0.012375251304872159,0.0,0.0,0.0,0.0,0.3801127886741287,0.0021802046744379706,0.0,0.0,0.9500000000000001,0.0
transxion,plausible_hard_projected_v2,4.289843795031342,0.049126814517169874,0.0,0.0,0.0,0.0,0.21296624936879602,0.0008392460914520767,0.0,0.0,0.9500000000000001,0.0
transxion,plausible_typology_projected_v2,4.290141126818451,0.05106790004514845,0.0,0.0,0.0,0.0,0.21347652951616303,0.0009760804637652656,0.0,0.0,0.9500000000000001,0.0
transxion,random_feasible_v2,0.028405617569894,0.001290259250090028,0.0,0.0,0.0,0.0,0.5159286014196247,0.010630266738849592,0.0,0.0,0.9500000000000001,0.0
transxion,typology_projected_v2,5.617347717486425,0.05097471827608721,0.0,0.0,0.0,0.0,0.47914235337979405,0.008732202697427062,0.0,0.0,0.9500000000000001,0.0
