baseline,augmentation,dataset,detector,heldout_typology,mean_delta,ci_low,ci_high,n_pairs,win_rate
none,curriculum_projected_v2,all,all,all,-0.0508321221574398,-0.08465861204394515,-0.017005632270934455,40,0.65
none,curriculum_projected_v2,amlnet,lightgbm,integration,-6.38623361992714e-05,-0.00010261092428097564,-2.5113748117567165e-05,5,0.2
none,curriculum_projected_v2,amlnet,lightgbm,layering,0.01344821484291867,0.011507905220922814,0.015388524464914528,10,1.0
none,curriculum_projected_v2,amlnet,lightgbm,structuring,-0.23105874509977062,-0.2648952444109257,-0.19722224578861552,5,0.0
none,curriculum_projected_v2,amlnet,xgboost,integration,2.3945371189000024e-05,5.146633417237753e-06,4.27441089607623e-05,5,1.0
none,curriculum_projected_v2,amlnet,xgboost,layering,0.018167077821869215,0.016860901401802922,0.01947325424193551,10,1.0
none,curriculum_projected_v2,amlnet,xgboost,structuring,-0.23878890052431326,-0.2690498764611432,-0.20852792458748332,5,0.0
none,hard_projected_v2,all,all,all,-0.050278067460540046,-0.08376458321445886,-0.016791551706621236,40,0.625
none,hard_projected_v2,amlnet,lightgbm,integration,-5.818074128185865e-05,-8.774164959543644e-05,-2.8619832968280866e-05,5,0.0
none,hard_projected_v2,amlnet,lightgbm,layering,0.013931613802316955,0.012842974972955749,0.01502025263167816,10,1.0
none,hard_projected_v2,amlnet,lightgbm,structuring,-0.22810733953836962,-0.26348617119539713,-0.1927285078813421,5,0.0
none,hard_projected_v2,amlnet,xgboost,integration,0.00011737539703900002,2.500186858578976e-05,0.00020974892549221026,5,1.0
none,hard_projected_v2,amlnet,xgboost,layering,0.01768033423535942,0.01635997992737121,0.019000688543347626,10,1.0
none,hard_projected_v2,amlnet,xgboost,structuring,-0.23740029087706066,-0.2608447127814383,-0.213955868972683,5,0.0
none,plausible_hard_projected_v2,all,all,all,-0.049755302863934425,-0.08317171339228649,-0.01633889233558236,40,0.625
none,plausible_hard_projected_v2,amlnet,lightgbm,integration,-4.4240443895052975e-05,-7.528747841254886e-05,-1.3193409377557082e-05,5,0.0
none,plausible_hard_projected_v2,amlnet,lightgbm,layering,0.014956171554796472,0.013728196880709205,0.01618414622888374,10,1.0
none,plausible_hard_projected_v2,amlnet,lightgbm,structuring,-0.23217511132303087,-0.26602543859496725,-0.1983247840510945,5,0.0
none,plausible_hard_projected_v2,amlnet,xgboost,integration,0.00035656844865480003,0.00029552277856888156,0.0004176141187407185,5,1.0
none,plausible_hard_projected_v2,amlnet,xgboost,layering,0.017813768263050412,0.016497031001132742,0.019130505524968082,10,1.0
none,plausible_hard_projected_v2,amlnet,xgboost,structuring,-0.23171951922889802,-0.25583641330547113,-0.20760262515232492,5,0.0
none,plausible_typology_projected_v2,all,all,all,-0.05121970513687914,-0.08454279332955633,-0.017896616944201943,40,0.625
none,plausible_typology_projected_v2,amlnet,lightgbm,integration,-4.9391742298919586e-05,-8.841898550778849e-05,-1.0364499090050684e-05,5,0.0
none,plausible_typology_projected_v2,amlnet,lightgbm,layering,0.014228183390269478,0.01274824083595045,0.015708125944588508,10,1.0
none,plausible_typology_projected_v2,amlnet,lightgbm,structuring,-0.23275196043171106,-0.2681479391955389,-0.19735598166788318,5,0.0
