dataset,detector,augmentation,mean,std,count
amlnet,lightgbm,curriculum_projected_v2,0.9734450732899065,0.002512227115193226,3
amlnet,lightgbm,edge_rewire_v2,0.971863899359481,0.0010919644154933719,3
amlnet,lightgbm,feature_noise_repaired_v2,0.9718443475551432,0.0021284952943490714,3
amlnet,lightgbm,feature_noise_v2,0.9706417267139064,0.0007224318443886523,3
amlnet,lightgbm,hard_projected_v2,0.9776701159134019,0.001967342853018545,3
amlnet,lightgbm,mixup_repaired_v2,0.9715854036712154,0.002184603277069758,3
amlnet,lightgbm,mixup_v2,0.9702800850005024,0.004517943758050024,3
amlnet,lightgbm,none,0.9713560939888867,0.0002486505432806228,3
amlnet,lightgbm,plausible_hard_projected_v2,0.978215419510876,0.003134679818737081,3
amlnet,lightgbm,plausible_typology_projected_v2,0.9779375119785074,0.0008827750147034283,3
amlnet,lightgbm,random_feasible_v2,0.9700764929430177,0.0018842485980282951,3
amlnet,lightgbm,smote_repaired_v2,0.9719850995898011,0.0022731598642044388,3
amlnet,lightgbm,smote_v2,0.972594523121615,0.0018135122190439112,3
amlnet,lightgbm,typology_projected_v2,0.9766731754194916,0.0016698278000505937,3
amlnet,xgboost,curriculum_projected_v2,0.9715244897265709,0.002456918866625831,3
amlnet,xgboost,edge_rewire_v2,0.9734452053547153,0.001410402266879671,3
amlnet,xgboost,feature_noise_repaired_v2,0.9750794665271595,0.0013940618372411157,3
amlnet,xgboost,feature_noise_v2,0.973114241950674,0.0015582249341407532,3
amlnet,xgboost,hard_projected_v2,0.9679698359244236,0.0046790527958867215,3
amlnet,xgboost,mixup_repaired_v2,0.972647991200586,0.003351147079668763,3
amlnet,xgboost,mixup_v2,0.9747032967353048,0.0015620325868487836,3
amlnet,xgboost,none,0.9738463144504973,0.0006196073046067129,3
amlnet,xgboost,plausible_hard_projected_v2,0.9655866453564217,0.0013596563253692043,3
amlnet,xgboost,plausible_typology_projected_v2,0.967043364456314,0.0018705066347986308,3
amlnet,xgboost,random_feasible_v2,0.9732712610335263,0.00015649480707702928,3
amlnet,xgboost,smote_repaired_v2,0.9740332872515979,0.000976585035958668,3
amlnet,xgboost,smote_v2,0.9742692342488878,0.0014508966622374967,3
amlnet,xgboost,typology_projected_v2,0.9680324770875588,0.00244219444687235,3
transxion,lightgbm,curriculum_projected_v2,0.26440625741414164,0.004125160228992003,3
transxion,lightgbm,edge_rewire_v2,0.26949425799437265,0.003539036129765155,3
transxion,lightgbm,feature_noise_repaired_v2,0.27170411690558166,0.00534745680475179,3
transxion,lightgbm,feature_noise_v2,0.2795246067925467,0.00294242016688067,3
transxion,lightgbm,hard_projected_v2,0.2627994307105457,0.0018480860895334445,3
transxion,lightgbm,mixup_repaired_v2,0.26823279524225735,0.003289993245750813,3
transxion,lightgbm,mixup_v2,0.27066646019959967,0.00555833965721747,3
transxion,lightgbm,none,0.27159025775376433,0.005844359551776433,3
transxion,lightgbm,plausible_hard_projected_v2,0.2601260196102773,0.0017910833276531754,3
transxion,lightgbm,plausible_typology_projected_v2,0.2654219177316517,0.0056382729648102045,3
transxion,lightgbm,random_feasible_v2,0.26221200993785904,0.004849943908515937,3
transxion,lightgbm,smote_repaired_v2,0.27869725006521334,0.0029294846844861466,3
transxion,lightgbm,smote_v2,0.278303263648872,0.006336587296118544,3
transxion,lightgbm,typology_projected_v2,0.26338893543832204,0.0005574943272638623,3
transxion,xgboost,curriculum_projected_v2,0.23273124727921132,0.002060188366424361,3
transxion,xgboost,edge_rewire_v2,0.254002404549516,0.005174620806370058,3
transxion,xgboost,feature_noise_repaired_v2,0.25757739242419236,0.0029752308065262583,3
transxion,xgboost,feature_noise_v2,0.25741518297045235,0.004099496516734544,3
transxion,xgboost,hard_projected_v2,0.23349053810603568,0.006196802363484357,3
transxion,xgboost,mixup_repaired_v2,0.24858784568710235,0.0023466156584455514,3
transxion,xgboost,mixup_v2,0.257486817220201,0.0030854650200344033,3
transxion,xgboost,none,0.24942313326216067,0.004204767275466329,3
transxion,xgboost,plausible_hard_projected_v2,0.23505145714760833,0.003256336478277471,3
transxion,xgboost,plausible_typology_projected_v2,0.2377449187063967,0.0017724681158293454,3
transxion,xgboost,random_feasible_v2,0.23950939978861,0.0018487681907830434,3
transxion,xgboost,smote_repaired_v2,0.2584981324750893,0.0005843832015084735,3
transxion,xgboost,smote_v2,0.25585230710542567,0.0017168179485667447,3
transxion,xgboost,typology_projected_v2,0.232068116949005,0.0034286773748074166,3
