augmentation,auprc,auroc,brier,dataset,detector,ece,f1,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr
none,0.564187253787347,0.8674511430752001,0.026452845494990003,ellipticpp,lightgbm,0.027008838712554002,0.612612612612612,,1,0.624216807264042,0.839506172839506,0.515366430260047,0.48226950354609904,0.48936170212765906,1,0,423,3138,27938,7.856085538864136,0.956586730698155,0.9842336307562851,0.011481087479349,0.010128407006223,0.9381551362683431,0.931676507318363,984,0.968614718614718,0.9227642276422761,0.91260162601626,0.9247967479674791
none,0.562863585864785,0.8652607253880491,0.026714919256026003,ellipticpp,lightgbm,0.027352428352296003,0.610778443113772,,1,0.6214396228203001,0.832653061224489,0.5035460992907801,0.48463356973995203,0.49408983451536603,1,1,423,3138,27938,6.567420721054077,0.9562929110699081,0.9843795602981841,0.011638022975242001,0.009889338106361,0.9386470896696381,0.932249030981078,984,0.9696641386782231,0.9237804878048781,0.91260162601626,0.9247967479674791
none,0.564000294016421,0.8657032232673041,0.026985970526281003,ellipticpp,lightgbm,0.027533847838279002,0.604444444444444,,1,0.6119738893869391,0.8095238095238091,0.5082742316784871,0.47990543735224506,0.49408983451536603,1,2,423,3138,27938,6.569735527038574,0.9558096262454301,0.9839372571298051,0.011863798799331,0.010571077228983001,0.93536521282186,0.92869174418816,984,0.968443960826985,0.921747967479674,0.9105691056910561,0.9237804878048781
ours,0.565972745671624,0.864812643100463,0.026398091794884,ellipticpp,lightgbm,0.026418540101718003,0.6165413533834581,,1,0.628859333224378,0.8471074380165281,0.515366430260047,0.48463356973995203,0.49408983451536603,1,0,423,6276,31076,9.128383159637451,0.9568624451484721,0.9844519149957971,0.011092955489262,0.010261434004001,0.9400630914826491,0.9339532125050041,984,0.9738562091503261,0.9268292682926831,0.918699186991869,0.9278455284552841
ours,0.565080423748047,0.8659210151922491,0.026057138881390003,ellipticpp,lightgbm,0.026125085517032003,0.618181818181818,,1,0.6327523183308961,0.8607594936708861,0.51063829787234,0.48226950354609904,0.49408983451536603,1,1,423,6276,31076,9.343636989593506,0.9570505248501581,0.9843767539608401,0.011451601172082,0.010418771040757,0.9389473684210521,0.9327628379158521,984,0.9737991266375541,0.9227642276422761,0.9146341463414631,0.9247967479674791
ours,0.572054781231305,0.8754317944299511,0.026352058431702,ellipticpp,lightgbm,0.026594071944181,0.6110283159463481,,1,0.6205382447748831,0.826612903225806,0.5059101654846331,0.48463356973995203,0.48936170212765906,1,2,423,6276,31076,10.476172685623169,0.9573401168282961,0.9849538833364081,0.011600192148773001,0.010354360399155,0.9367088607594931,0.9303792376440321,984,0.973684210526315,0.921747967479674,0.9166666666666661,0.9237804878048781
none,0.556578875660372,0.850947886833294,0.026690974264003003,ellipticpp,xgboost,0.025761736362154,0.607250755287009,,1,0.620089011326957,0.8410041841004181,0.5082742316784871,0.47990543735224506,0.48463356973995203,1,0,423,3138,27938,98.70838475227356,0.9573403633893831,0.983963490283239,0.011409681443916,0.007009913648372001,0.936775553213909,0.9303974044475751,984,0.972647702407002,0.921747967479674,0.9105691056910561,0.921747967479674
none,0.5533673793499161,0.8420161575547731,0.026726736874864,ellipticpp,xgboost,0.025929878060372002,0.6081694402420571,,1,0.6215045416379611,0.8445378151260501,0.5035460992907801,0.477541371158392,0.49172576832151305,1,1,423,3138,27938,31.262564659118652,0.9564519596741101,0.9834601797812911,0.011467302945576002,0.007378935509310001,0.9351607801792301,0.928626129860293,984,0.9715224534501641,0.9207317073170731,0.91260162601626,0.9227642276422761
none,0.554563186721425,0.8457735336274451,0.026960480710425002,ellipticpp,xgboost,0.026609161892770003,0.605697151424287,,1,0.61636716920944,0.8278688524590161,0.5082742316784871,0.477541371158392,0.49408983451536603,1,2,423,3138,27938,4.619708061218262,0.955914283281264,0.9832278638550581,0.011251134138879001,0.006996546903913,0.9371069182389931,0.930508072366048,984,0.967532467532467,0.921747967479674,0.915650406504065,0.921747967479674
ours,0.552288423030275,0.8412387281377061,0.027688588830654,ellipticpp,xgboost,0.028677442343761003,0.598518518518518,,1,0.605617504317701,0.8015873015873011,0.5059101654846331,0.475177304964539,0.48463356973995203,1,0,423,6276,31076,5.7112555503845215,0.9555227924079681,0.98368285654882,0.011929388645216001,0.008268390508523,0.9348054679284961,0.928094071683328,984,0.9684095860566441,0.9176829268292681,0.9095528455284551,0.9176829268292681
ours,0.555035364267362,0.8426610237550091,0.027316411380508002,ellipticpp,xgboost,0.028295877547306003,0.609865470852017,,1,0.6200633903729711,0.829268292682926,0.5035460992907801,0.48226950354609904,0.48936170212765906,1,1,423,6276,31076,8.276929378509521,0.954988419512361,0.9834588376199521,0.012073830760944001,0.008480149100993001,0.93312434691745,0.9259297597421071,984,0.9602150537634401,0.9166666666666661,0.908536585365853,0.9166666666666661
ours,0.555977613852367,0.850857738527365,0.026984809792719004,ellipticpp,xgboost,0.026676602475120003,0.606606606606606,,1,0.6177469938784791,0.831275720164609,0.501182033096926,0.48226950354609904,0.486997635933806,1,2,423,6276,31076,4.320526838302612,0.95698888705238,0.984704241327441,0.011482343802225,0.0072500277751610005,0.934873949579831,0.9281184828497061,984,0.967391304347826,0.9197154471544711,0.91260162601626,0.9207317073170731
