augmentation,auprc,auroc,brier,dataset,detector,ece,f1,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr
none,0.02778825685488,0.6990357443631531,0.35720269776672203,transxion,logistic,0.38337398628234903,0.005048106746067,,1,0.021413822104153,0.0025338309376460003,0.06541019955654101,0.229490022172949,0.39467849223946705,1,0,902,2960,1817502,54.87763714790344,0.030236713847630003,0.7426861203984161,0.22340731380018303,0.24373220301928403,0.006832009378853,0.034028209911907005,779,0.003434028718504,0.08600770218228401,0.31193838254172,0.363286264441591
none,0.024969492355945002,0.781932202256798,0.107660692492013,transxion,logistic,0.11319598249269701,0.015695484684013,,1,0.06004560429838501,0.007950440320919001,0.044345898004434,0.139689578713968,0.30044345898004404,1,1,902,2960,1817502,54.01934003829956,0.020289594406948,0.7837902852888881,0.10237014272806,0.107539185647853,0.013462118925445,0.053673835821340006,779,0.006811136054733001,0.034659820282413004,0.137355584082156,0.30038510911424904
none,0.117512206328461,0.792718600883443,0.12390268535045401,transxion,logistic,0.13721975216395102,0.013925713603248001,,1,0.057281146883840006,0.007038682571111001,0.24390243902439002,0.48780487804878003,0.49667405764966704,1,2,902,2960,1817502,53.67357063293457,0.10154176693848901,0.8087374386412781,0.10760804611608901,0.118767553392238,0.013580280990366001,0.057021210801662,779,0.006863935043736001,0.23876765083440302,0.42490372272143706,0.43902439024390205
random_graph,0.064762556489093,0.77125818821761,0.244104242666409,transxion,logistic,0.288712381755722,0.007341252637359,,1,0.035957146075461,0.0036898653634950002,0.123059866962305,0.44345898004434503,0.470066518847006,1,0,902,5920,1820462,54.546324729919434,0.050184514967051,0.771936491753595,0.165038414961551,0.19793741857278802,0.008573355990675,0.041212523465747004,779,0.004315384086376,0.11681643132220701,0.377406931964056,0.40564826700898504
random_graph,0.051482733931078,0.699868894941525,0.23042838894552803,transxion,logistic,0.27250195337654304,0.006507167669651001,,1,0.028006289796881002,0.0032716315109770004,0.11640798226164001,0.36917960088691804,0.38359201773835905,1,1,902,5920,1820462,55.57832908630371,0.043379553392732,0.728620611824624,0.151331919737927,0.18320599907072002,0.008235001519882,0.037145508031366,779,0.004147260210424,0.11681643132220701,0.33761232349165604,0.355584082156611
random_graph,0.054651931881310005,0.7729528519472371,0.14625572335547402,transxion,logistic,0.170244622243546,0.011355585294812,,1,0.049103110517180006,0.005728639224796,0.129711751662971,0.42350332594235,0.442350332594235,1,2,902,5920,1820462,54.51978063583374,0.04827509337701601,0.7824245536659591,0.113799492073458,0.13216729852128,0.011993132353683001,0.05133475953259101,779,0.00605612433542,0.10911424903722701,0.396662387676508,0.42362002567394
adv_no_projection,0.041666314873663006,0.7813691577186741,0.18160338447731503,transxion,logistic,0.21009930913069402,0.009452665302691001,,1,0.043305442814347006,0.004760383386581001,0.06319290465631901,0.30598669623059804,0.46674057649667405,1,0,902,5920,1820462,53.97373962402344,0.032086029470208,0.7833351489100131,0.14783044345311802,0.171133289815835,0.009453730325032,0.043614141588635004,779,0.004763027124702,0.06418485237483901,0.332477535301668,0.427471116816431
adv_no_projection,0.046385103267656005,0.776567557031533,0.14379858225017902,transxion,logistic,0.171933556293858,0.011346842423701,,1,0.048822023945343004,0.005724636955934,0.09645232815964501,0.364745011086474,0.43791574279379103,1,1,902,5920,1820462,54.25315618515015,0.038414615154266,0.775386028041096,0.11676779388831601,0.13831561875700502,0.010903445831143001,0.046254038888634004,779,0.005504134271257,0.10141206675224601,0.359435173299101,0.38125802310654605
adv_no_projection,0.039661452557094,0.697828471179029,0.09259277496514101,transxion,logistic,0.11034165210507801,0.014605618011575,,1,0.053230503042023,0.007403993855606,0.069844789356984,0.382483370288248,0.39689578713968904,1,2,902,5920,1820462,52.834102630615234,0.032793048478401005,0.733868496173906,0.07747676722315701,0.092381675878518,0.014889234216327001,0.055002219788958,779,0.007550904459065,0.048780487804878,0.35815147625160404,0.373555840821566
random_feasible,0.06554419847847101,0.7724104947134991,0.24442269523599602,transxion,logistic,0.286458838959869,0.007320389026388,,1,0.035660673077694,0.003679476696647,0.12638580931263801,0.46008869179600803,0.48558758314855804,1,0,902,5920,1820462,53.89682698249817,0.052761259405458005,0.779427831643775,0.16439892433490502,0.195581410935274,0.008803679662984001,0.042611987576068,779,0.004431519180168,0.125802310654685,0.406931964056482,0.43260590500641805
