dataset,augmentation,detector_hardness,detector_hardness,ledger_violation_rate,ledger_violation_rate,mean_flow_residual,mean_flow_residual,profile_drift,profile_drift,temporal_violation_rate,temporal_violation_rate,acceptance_rate,acceptance_rate
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
amlnet,adv_no_projection,7.147601201586964e-08,3.2160692689427402e-09,0.9619047619047615,0.0058300003605194954,0.399621765776206,0.005076269389492692,2.1304756739263473,0.05359391215868367,0.02,0.0,0.03809523809523767,0.0058300003605195015
amlnet,none,,,,,,,,,,,,
amlnet,ours,7.147601201586964e-08,3.2160692689427402e-09,0.0,0.0,0.0,0.0,2.099150945571972,0.045116089624540195,0.0,0.0,0.9492063492063489,0.0
amlnet,random_feasible,6.86300631894733e-08,4.223411460849544e-09,0.0,0.0,0.0,0.0,2.0948857795548452,0.028254752677681717,0.0,0.0,0.9492063492063489,0.0
amlnet,random_graph,6.86300631894733e-08,4.223411460849544e-09,0.9227513227513224,0.0038753519866229873,0.23701975754515603,0.004617484830326654,2.0972258843815093,0.029706666871601492,0.05,0.0,0.07724867724867666,0.003875351986622962
transxion,adv_no_projection,0.037125899159536,0.0020688422946389586,0.9581081081081079,0.006758743745994529,0.40319349192629766,0.0026271877611024675,0.6567075211377544,0.020741363665327795,0.02,0.0,0.04189189189189133,0.006758743745994533
transxion,none,,,,,,,,,,,,
transxion,ours,0.037125899159536,0.0020688422946389586,0.0,0.0,0.0,0.0,0.5274058766128064,0.01432879296841384,0.0,0.0,0.9500000000000001,0.0
transxion,random_feasible,0.010341438100284001,0.0002943916796913192,0.0,0.0,0.0,0.0,0.5120686627463887,0.0031665327747580118,0.0,0.0,0.9500000000000001,0.0
transxion,random_graph,0.010341438100284001,0.0002943916796913192,0.9262387387387384,0.0068141442116505715,0.24145218312474237,0.004075168657269009,0.5576752512300593,0.004375924205977354,0.05,0.0,0.07376126126126067,0.006814144211650541
