dataset,detector,augmentation,label_fraction,heldout_typology,auprc,auprc,auroc,auroc,recall_at_1pct_fpr,recall_at_1pct_fpr,precision_at_k,precision_at_k,ece,ece,training_seconds,training_seconds
,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
amlnet,graphsage_lite,adv_no_projection,1,,0.8489718479563076,0.2030562311612661,0.8842072558990951,0.2000264743714197,0.8756097560975608,0.20069777148459225,0.8154471544715444,0.17394764461077228,0.013485878743407,0.007281759991668863,59.25553806622823,2.4342336332057606
amlnet,graphsage_lite,none,1,,0.8392535918383116,0.20681553489513177,0.8837868695217673,0.20001919335660875,0.8666666666666664,0.1972043353253384,0.812195121951219,0.17749663803571003,0.027629343346368337,0.007986339357065097,58.23260752360026,0.9864722419068587
amlnet,graphsage_lite,ours,1,,0.8497761612516052,0.20660541458318474,0.8836429824930067,0.20069200633257406,0.8731707317073166,0.20069777148459225,0.8211382113821134,0.17693156558807557,0.017762582260179335,0.011158656985407106,59.92574326197306,2.1956097619980715
amlnet,graphsage_lite,random_feasible,1,,0.8437452944069523,0.20251694497966027,0.8836351372680867,0.1998119038526468,0.8715447154471541,0.19925998330785955,0.8097560975609754,0.17347962831300787,0.01841776201722567,0.004208157524196841,60.01312073071798,1.3146462134278727
amlnet,graphsage_lite,random_graph,1,,0.848796675347391,0.20861550727653874,0.884148280354716,0.20007127973337824,0.8756097560975608,0.20066812850806479,0.8203252032520321,0.17617344040041416,0.02152416709662967,0.002047301374939856,58.89087192217509,1.493567266720165
amlnet,lightgbm,adv_no_projection,1,,0.973406122839172,0.0011084157886817323,0.9988892842633191,0.000983713137478204,0.9869918699186987,0.001408171388267389,0.949593495934959,0.0014081713882667882,0.00024724055764200004,1.3767257868199464e-05,9.925045410792032,1.002907127695347
amlnet,lightgbm,none,1,,0.970446682432749,0.000531458537781261,0.9991325460089752,0.0001685511851286588,0.9869918699186987,0.0014081713882673653,0.95040650406504,0.0014081713882667963,0.00021566751077300005,1.5148720125431716e-05,9.679110447565714,1.1257180386627899
amlnet,lightgbm,ours,1,,0.9709042274219911,0.0018313787465581446,0.9991060440920313,0.00015718304975398232,0.98780487804878,0.0,0.9520325203252024,0.0014081713882674613,0.00021244176205800002,5.206454158978915e-06,10.641714572906494,1.221199302988547
amlnet,lightgbm,random_feasible,1,,0.9735612287137257,0.0009753401224493251,0.9990681665989545,0.00024314252566174903,0.98780487804878,0.002439024390243988,0.9520325203252024,0.0014081713882674613,0.00021097902564800003,1.576471677191888e-05,11.286595582962036,0.8956597238921722
amlnet,lightgbm,random_graph,1,,0.972931548851887,0.0010811133262555537,0.9994052273480801,0.00014458188115088472,0.9894308943089426,0.0014081713882674453,0.95040650406504,0.0014081713882668442,0.000227217400886,9.68600997116178e-06,10.24424441655477,0.6669859771874403
amlnet,logistic,adv_no_projection,1,,0.06818783973191334,0.04338468384204895,0.9828198353436717,0.010818123254444858,0.2593495934959344,0.18065801686091154,0.05934959349593467,0.04337990755107045,0.04257870106151534,0.02247080412069241,6.2290840943654375,3.0720946111326692
amlnet,logistic,none,1,,0.09514807599699167,0.012606359629479235,0.9907852435055077,0.0013465675617566285,0.46260162601626004,0.06482178622854527,0.08861788617886135,0.0451274441833429,0.021115776176750336,0.002381936740731306,6.836556990941365,0.7336549275149256
amlnet,logistic,ours,1,,0.06326698726664667,0.021566896793134716,0.9846362215902454,0.006020476415178804,0.246341463414634,0.1529211886772412,0.01869918699186967,0.01730389971853041,0.037371971981162336,0.010162456195323287,8.603119134902954,1.2503605641797089
amlnet,logistic,random_feasible,1,,0.07959376167217734,0.03351734093120975,0.987121790579192,0.006920563473453877,0.3178861788617884,0.2073362018913089,0.06910569105691,0.039729403976815104,0.031411127123469336,0.015171078303999478,8.238175312678019,3.0831219931645664
amlnet,logistic,random_graph,1,,0.046241919002198005,0.004631169309818996,0.9804363775607884,0.0019338954451126895,0.14227642276422733,0.07825176855620153,0.030894308943088672,0.007040856941337182,0.046166253982103,0.004127329108094503,8.254006306330362,2.6678814495687653
amlnet,random_forest,adv_no_projection,1,,0.958105912522966,0.0054047712098930405,0.9970820638545268,0.001325526803630853,0.990243902439024,0.0024390243902440156,0.9260162601626014,0.011265371106138929,0.0017413859951480003,0.0018877020733026725,27.95364801088969,0.9609615836209894
amlnet,random_forest,none,1,,0.961997604547738,0.003315049740554683,0.9960984295540828,2.3877533979795746e-05,0.9910569105691054,0.0014081713882674774,0.9308943089430888,0.0028163427765348103,0.00039887997714466665,1.5449211272941088e-05,27.01124707857768,0.8705718936867719
amlnet,random_forest,ours,1,,0.9571396604201617,0.0029497403253231813,0.9976872706555895,0.0016685874976631932,0.990243902439024,0.0024390243902440156,0.9268292682926828,0.008794027501131419,0.0009833243182120002,0.0008500771224799958,26.799784024556477,0.1677820094028805
amlnet,random_forest,random_feasible,1,,0.9570877735942457,0.004235312102491367,0.9980416842950737,0.0008267301629325,0.990243902439024,0.0024390243902440434,0.9284552845528452,0.003725671296711693,0.0005223378164056667,6.257217949666079e-05,27.267003138860066,0.6027240043843668
amlnet,random_forest,random_graph,1,,0.9559575238089111,0.001221113935658462,0.9980425734205643,0.0018057361777374951,0.9926829268292682,0.0,0.9252032520325201,0.00745134259342404,0.0005236728328626667,6.44794517109926e-05,27.836496829986572,0.37936528233945105
amlnet,topology_lr,adv_no_projection,1,,0.049527346817687334,0.010264670469057118,0.932859507898927,0.005808149044104409,0.43170731707317,0.11499683155245154,0.047154471544715006,0.006138076776642601,0.08453489639120566,0.04877671876835098,7.783878008524577,0.2206902924699676
amlnet,topology_lr,none,1,,0.029646792393768332,0.02149773904778594,0.8722727186973187,0.08922853198632437,0.22926829268292667,0.1924048626514452,0.04471544715447101,0.026755256377080167,0.22880977238155267,0.13306371314400298,7.606221119562785,0.06231599821773874
amlnet,topology_lr,ours,1,,0.06891267839397934,0.010204225276104017,0.9405885992070714,0.01598248272432785,0.5463414634146337,0.027701991930732677,0.05691056910569067,0.010998170128836296,0.08377367739549435,0.06048155727804504,7.873191277186076,0.6530448550673033
amlnet,topology_lr,random_feasible,1,,0.089394543836587,0.03816180824216878,0.9205919222201984,0.01546398627398997,0.568292682926829,0.06868355044062806,0.12520325203252,0.09336505508914164,0.08853799824981534,0.06106578482945437,7.198724349339803,0.3067735633874394
amlnet,topology_lr,random_graph,1,,0.04852059454580467,0.03316201855289629,0.9298039254143258,0.010082178784575754,0.2910569105691054,0.28236206598577185,0.05609756097560934,0.04896307292654802,0.069146634917345,0.03906344263671205,8.20303193728129,0.4208521586762226
amlnet,xgboost,adv_no_projection,1,,0.9747406438827725,0.0018417892557497028,0.9995226741009507,4.926842168463168e-05,0.990243902439024,0.0024390243902440156,0.951219512195121,0.0,0.00031152065414600003,1.9483959609953182e-05,11.629852851231893,0.3593526919620084
amlnet,xgboost,none,1,,0.9743830738285578,0.00044833544754582777,0.9993026192777718,4.473931167029699e-05,0.9886178861788614,0.0014081713882674132,0.95040650406504,0.0014081713882667963,0.00026737622014333335,7.198269293078351e-06,9.826155026753744,1.3719922797340849
amlnet,xgboost,ours,1,,0.9733845028053135,0.001263004086286655,0.9990190330760284,0.0001879266639766558,0.9886178861788614,0.0014081713882674613,0.9528455284552836,0.0014081713882674774,0.00027027920948100004,1.0375677085810919e-05,10.941666762034098,0.6839191371806439
amlnet,xgboost,random_feasible,1,,0.9739713422774985,0.0008687225679788243,0.999153588022956,0.000206612386845185,0.98780487804878,0.0,0.951219512195121,0.0,0.00026949237596400003,1.2436702651178257e-05,11.071732838948568,0.7355907906525695
amlnet,xgboost,random_graph,1,,0.9739537588887645,0.00161597326530846,0.999500490793535,8.451324410792702e-05,0.9894308943089426,0.0014081713882674453,0.9520325203252024,0.0014081713882674453,0.00029412386593300003,4.6538246809858955e-06,9.578147967656454,0.5273282830634047
transxion,graphsage_lite,adv_no_projection,1,,0.12257084985916335,0.013432101663359015,0.9214493009369847,0.004453618706997151,0.6821877309682184,0.017187015453412446,0.15188470066518803,0.018944575931968254,0.045851741739947,0.006156902202723365,63.237868547439575,1.5290637348164846
transxion,graphsage_lite,none,1,,0.11386142066046967,0.0030486737938430195,0.9151177264374883,0.007485626154612786,0.6703621581670357,0.005468828007001974,0.13599408721359935,0.009936681197153616,0.054467209323297676,0.026806016342665225,60.644279877344765,3.1638652798125237
transxion,graphsage_lite,ours,1,,0.114710926635324,0.006009383893317146,0.9066536075430888,0.013523941280616712,0.6555801921655577,0.019965916717280225,0.15040650406504033,0.010937656014005172,0.03910068674575567,0.011427656745334447,62.05408453941345,1.9932672561097493
transxion,graphsage_lite,random_feasible,1,,0.12546795586831402,0.005079228359188089,0.9070199207891765,0.009588833319686612,0.6844050258684401,0.005689136850827735,0.151145602365114,0.012361957637603442,0.03021478642495767,0.0023357359356666134,61.47063819567362,3.5007932753412656
transxion,graphsage_lite,random_graph,1,,0.12891322578772302,0.02343898501816458,0.9306080242994353,0.0026864174760375748,0.6973392461197337,0.0022172949002214892,0.15853658536585333,0.022089643952517845,0.043454112174220995,0.006293788083509672,58.031469106674194,3.0900327135637675
transxion,lightgbm,adv_no_projection,1,,0.25238245137909704,0.0019677548949030626,0.9431815139567533,0.0015493394987443675,0.7250554323725055,0.004832482199047264,0.364375461936437,0.0027900348984743837,0.010083105418048667,0.0005297354090491144,36.11729017893473,0.3346117717676623
