augmentation,auprc,auroc,brier,dataset,detector,ece,f1,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr
none,0.9317409123553121,0.9978298148974091,0.00026492597464700004,amlnet,lightgbm,0.000268957391715,0.913107511045655,layering,1,0.9133308289081411,0.9393939393939391,0.896848137535816,0.9426934097421201,0.9484240687679081,1,0,349,220,653378,6.021553754806518,0.873830690317263,0.996170413673308,0.000317963124248,0.00032587364789500004,0.868131868131868,0.8710722857124831,296,0.9480000000000001,0.824324324324324,0.905405405405405,0.9358108108108101
none,0.9253911243220451,0.9958263291030911,0.00025545484638,amlnet,lightgbm,0.00025256147602,0.9158050221565731,layering,1,0.9161164123826251,0.945121951219512,0.896848137535816,0.939828080229226,0.9426934097421201,1,1,349,220,653378,6.38914942741394,0.860887416567767,0.993186446426025,0.000313613465617,0.000318143193434,0.8702010968921391,0.8730057106809621,296,0.9482071713147411,0.824324324324324,0.881756756756756,0.905405405405405
none,0.9340424686778911,0.9962385020630041,0.000255565914992,amlnet,lightgbm,0.00025772866550000003,0.9158050221565731,layering,1,0.9161164123826251,0.945121951219512,0.89971346704871,0.9455587392550141,0.9484240687679081,1,2,349,220,653378,6.158491611480713,0.8730974997209571,0.9944410056939,0.00030428919839500004,0.000303704735165,0.8729281767955801,0.8763552819728401,296,0.9595141700404851,0.820945945945945,0.8952702702702701,0.9121621621621621
adv_no_projection,0.9364137820582171,0.9976238929969761,0.00025867925056800005,amlnet,lightgbm,0.000255083753578,0.910688140556368,layering,1,0.910768423792329,0.931137724550898,0.89971346704871,0.9455587392550141,0.9484240687679081,1,0,349,440,653598,6.212517499923706,0.875133457706852,0.995109839052814,0.00032800526524600005,0.000336462605895,0.8675136116152451,0.86976416316641,296,0.9372549019607841,0.8277027027027021,0.8918918918918911,0.9087837837837831
adv_no_projection,0.9341024096594521,0.99785580529584,0.000256530419271,amlnet,lightgbm,0.00025707267482100003,0.9133627019089571,layering,1,0.9135128079317371,0.9367469879518071,0.9025787965616041,0.9484240687679081,0.9512893982808021,1,1,349,440,653598,5.8716983795166025,0.8748522836749351,0.9962513169286611,0.000314792048794,0.000322634524302,0.8706739526411651,0.8732011261947431,296,0.9446640316205531,0.8344594594594591,0.898648648648648,0.922297297297297
adv_no_projection,0.9364253051076491,0.998142232916233,0.000268809377065,amlnet,lightgbm,0.00027780459131500004,0.9067055393586001,layering,1,0.906697717169702,0.9228486646884271,0.9054441260744981,0.9484240687679081,0.9512893982808021,1,2,349,440,653598,6.159483194351196,0.8777491165250491,0.9956815481468121,0.00030698545682800003,0.00030614543168900005,0.871794871794871,0.874752969408993,296,0.9520000000000001,0.8412162162162161,0.905405405405405,0.9256756756756751
ours,0.9286562915295641,0.9967688167884281,0.00027930217167400004,amlnet,lightgbm,0.00028780733221,0.903988183161004,layering,1,0.904275496036776,0.9329268292682921,0.8911174785100281,0.9455587392550141,0.9484240687679081,1,0,349,440,653598,5.80809211730957,0.8710718607355811,0.9952989185910831,0.00032856993657900003,0.00033676688052200005,0.8592592592592591,0.863107298796229,296,0.950819672131147,0.820945945945945,0.9121621621621621,0.9290540540540541
ours,0.9315585044879251,0.9965910445697811,0.00025389616293400004,amlnet,lightgbm,0.00026420310094800003,0.9167883211678831,layering,1,0.9168230532863381,0.9345238095238091,0.9025787965616041,0.9455587392550141,0.9484240687679081,1,1,349,440,653598,6.560228109359741,0.8742286257815861,0.994365969942484,0.00029823853311800004,0.00030393666956400004,0.8784029038112521,0.8806975484842621,296,0.9490196078431371,0.8412162162162161,0.905405405405405,0.905405405405405
ours,0.9336785038117261,0.9974790366831301,0.00025160557684800005,amlnet,lightgbm,0.000254785798855,0.9162995594713651,layering,1,0.916455177312106,0.9397590361445781,0.9025787965616041,0.9455587392550141,0.9484240687679081,1,2,349,440,653598,6.471928596496582,0.8743949826271811,0.995437953598412,0.00031151038406500005,0.000317810458291,0.8682745825602961,0.8723510228665641,296,0.962962962962962,0.831081081081081,0.9121621621621621,0.9324324324324321
none,0.930265103240371,0.995459738088145,0.00028006666684800004,amlnet,xgboost,0.000278823448767,0.9038737446197991,layering,1,0.903720743871638,0.9051724137931031,0.9025787965616041,0.939828080229226,0.9455587392550141,1,0,349,220,653378,5.66372013092041,0.8740444933709881,0.9914397463847481,0.00032734520215600005,0.000329692883391,0.861261261261261,0.8630099869014081,296,0.922779922779922,0.8277027027027021,0.905405405405405,0.9155405405405401
