augmentation,auprc,auroc,brier,dataset,detector,ece,f1,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr
none,0.569314629557212,0.9996932797242961,0.000166131752159,amlnet,lightgbm,0.000171110271944,0.49315068493150604,structuring,1,0.519543218956768,0.72,0.375,1.0,1.0,1,0,48,757,653915,6.018773317337036,0.531364490230072,0.991470717966847,0.00026001213568,0.000268327381482,0.544,0.582994735847248,85,0.85,0.43529411764705805,0.788235294117647,0.917647058823529
none,0.569467999011364,0.9997276469461991,0.00016215060923,amlnet,lightgbm,0.000164159190699,0.5,structuring,1,0.53026185729376,0.75,0.375,1.0,1.0,1,1,48,757,653915,5.803741693496704,0.545831006551391,0.9862925641117111,0.000267488004599,0.000276686048369,0.527131782945736,0.555843235344057,85,0.772727272727272,0.47058823529411703,0.905882352941176,0.917647058823529
none,0.5935229051574591,0.999758376412023,0.00016040009369,amlnet,lightgbm,0.000165136850154,0.5070422535211261,structuring,1,0.5416720362681771,0.7826086956521741,0.375,1.0,1.0,1,2,48,757,653915,5.837862968444824,0.54727551003122,0.99129849933026,0.00025789977195400004,0.000262413671361,0.536585365853658,0.5805506177299,85,0.8684210526315791,0.48235294117647004,0.905882352941176,0.917647058823529
adv_no_projection,0.5011821620903021,0.9995609802795321,0.00017017184943200002,amlnet,lightgbm,0.000178009875858,0.49315068493150604,structuring,1,0.519543218956768,0.72,0.375,1.0,1.0,1,0,48,1514,654672,5.974243640899658,0.492218198191579,0.9859599107879351,0.000269036688403,0.00027184809521000003,0.535433070866141,0.5689341473324541,85,0.8095238095238091,0.4,0.8588235294117641,0.894117647058823
adv_no_projection,0.5735492984041061,0.9996535515986981,0.00018344094855800002,amlnet,lightgbm,0.000192794175126,0.461538461538461,structuring,1,0.47425228835847005,0.6000000000000001,0.375,1.0,1.0,1,1,48,1514,654672,7.238871335983276,0.541965885059287,0.9867968955239371,0.000268432140976,0.000272555746145,0.535433070866141,0.5689341473324541,85,0.8095238095238091,0.49411764705882305,0.8470588235294111,0.929411764705882
adv_no_projection,0.567251644325061,0.9997221903120811,0.00017235041756400002,amlnet,lightgbm,0.00017876686238,0.486486486486486,structuring,1,0.5094489679196701,0.6923076923076921,0.375,1.0,1.0,1,2,48,1514,654672,8.863578796386719,0.5351081660615841,0.991674747861321,0.000266842948516,0.000274890863525,0.535433070866141,0.5689341473324541,85,0.8095238095238091,0.42352941176470504,0.905882352941176,0.929411764705882
ours,0.49857440992968105,0.9994769289680261,0.00016330217301500002,amlnet,lightgbm,0.000167901198131,0.5,structuring,1,0.53026185729376,0.75,0.375,1.0,1.0,1,0,48,1514,654672,9.061629295349121,0.49854092636599906,0.9847665967197371,0.00026103726964800004,0.00026638270940900003,0.535433070866141,0.5689341473324541,85,0.8095238095238091,0.4,0.8352941176470581,0.917647058823529
ours,0.544978404393708,0.9996643691365111,0.00016255990108900002,amlnet,lightgbm,0.00016773131717400002,0.5070422535211261,structuring,1,0.5416720362681771,0.7826086956521741,0.375,1.0,1.0,1,1,48,1514,654672,8.704284191131592,0.537114292070718,0.9887849775186031,0.00026045057630400003,0.00026949302697200004,0.539682539682539,0.575835862959546,85,0.829268292682926,0.47058823529411703,0.894117647058823,0.929411764705882
ours,0.573994025685118,0.9997232433467351,0.00016233923667300002,amlnet,lightgbm,0.000174335226723,0.486486486486486,structuring,1,0.5094489679196701,0.6923076923076921,0.375,1.0,1.0,1,2,48,1514,654672,8.048785924911499,0.547346095657668,0.990876871783062,0.000270473247887,0.000278221166925,0.53125,0.5622745500339601,85,0.7906976744186041,0.517647058823529,0.8588235294117641,0.917647058823529
none,0.670342832794459,0.999876220562894,0.000147544285057,amlnet,xgboost,0.000139124065159,0.461538461538461,structuring,1,0.47425228835847005,0.6000000000000001,0.45833333333333304,1.0,1.0,1,0,48,757,653915,7.783571243286133,0.581022656370317,0.9867940846736221,0.000273954908159,0.000256966689535,0.492537313432835,0.511196978550264,85,0.673469387755102,0.47058823529411703,0.929411764705882,0.9411764705882351
