dataset,augmentation,detector_hardness,detector_hardness,ledger_violation_rate,ledger_violation_rate,mean_flow_residual,mean_flow_residual,profile_drift,profile_drift,temporal_violation_rate,temporal_violation_rate,acceptance_rate,acceptance_rate
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
amlnet,adv_no_projection,1.890503981767208e-06,3.725112783309914e-06,0.9564965645672457,0.027893439273846465,0.40105710650281573,0.023742843247973766,2.1167943365692214,0.15095093245521815,0.02,0.0,0.04350343543275347,0.02789343927384626
amlnet,none,,,,,,,,,,,,
amlnet,ours,1.890503981767208e-06,3.725112783309914e-06,0.0,0.0,0.0,0.0,2.12728027996619,0.18398563353375214,0.0,0.0,0.9340453007744745,0.023279884892457525
amlnet,random_feasible,1.8598205413374686e-06,3.656945805448437e-06,0.0,0.0,0.0,0.0,2.1865493396347415,0.18563620244363765,0.0,0.0,0.9340453007744745,0.023279884892457525
amlnet,random_graph,1.8598205413374686e-06,3.656945805448437e-06,0.9369483893248766,0.035234644212434045,0.2291861157154363,0.029456569658762144,2.1875608507349287,0.18044536627473015,0.05,0.0,0.06305161067512273,0.03523464421243369
transxion,adv_no_projection,0.008136821995654499,0.014699900900824963,0.9584834834834831,0.01238684368847114,0.40115626417149663,0.013749895104603099,0.6059163503903402,0.08804477301429034,0.02,0.0,0.04151651651651607,0.012386843688471075
transxion,none,,,,,,,,,,,,
transxion,ours,0.008136821995654499,0.014699900900824963,0.0,0.0,0.0,0.0,0.46280290715622635,0.09965420605587441,0.0,0.0,0.9457207207207204,0.006427301628279199
transxion,random_feasible,0.002587940898349891,0.004015000370637506,0.0,0.0,0.0,0.0,0.47632134740932386,0.11190928204500054,0.0,0.0,0.9457207207207204,0.006427301628279199
transxion,random_graph,0.0025879408983498905,0.004015000370637506,0.9374999999999997,0.01859868473021507,0.24173202405001862,0.007636606961256187,0.5243620901276381,0.10217962723680557,0.05,0.0,0.062499999999999604,0.01859868473021516
