dataset,detector,label_fraction,heldout_typology,adv_no_projection,none,ours,random_feasible,random_graph
amlnet,graphsage_lite,0.01,,0.5457658271074264,0.5891789330471277,0.5152220541077951,0.4403941639945397,0.3442652730525693
amlnet,graphsage_lite,0.05,,0.7958462285008435,0.746091769995903,0.5597094034129194,0.74756187769641,0.8033372022062477
amlnet,graphsage_lite,0.1,,0.7253023216178541,0.6353067861609146,0.715477779889027,0.5746081282741864,0.6287056769155808
amlnet,graphsage_lite,0.25,,0.9147065985760884,0.7337124043124841,0.8188428653256526,0.8751511698919524,0.7631259314615647
amlnet,graphsage_lite,1.0,,0.8489718479563076,0.8392535918383116,0.8497761612516052,0.8437452944069523,0.848796675347391
amlnet,lightgbm,0.01,,0.6120932686247557,0.5687485523973793,0.6134155953707371,0.6268602978321697,0.6126307286433804
amlnet,lightgbm,0.05,,0.8430118900656658,0.790405625981577,0.7997353925338512,0.7718194748539892,0.7855335014028336
amlnet,lightgbm,0.1,,0.8213748461808924,0.8394270813075031,0.8249250129795661,0.8516759134265396,0.861693837093144
amlnet,lightgbm,0.25,,0.8946521267192434,0.8719992027073317,0.8851087173721984,0.8842660900931137,0.9013048260211507
amlnet,lightgbm,1.0,,0.973406122839172,0.970446682432749,0.9709042274219911,0.9735612287137257,0.972931548851887
amlnet,topology_lr,0.01,,0.010227964111552334,0.01614148366276767,0.029791109400199006,0.00886448304109,0.009935114005378666
amlnet,topology_lr,0.05,,0.00417656351878,0.036231030252912334,0.005630500294768334,0.005824120118042667,0.006713823962416667
amlnet,topology_lr,0.1,,0.005517008292898334,0.009183290084001667,0.008979606495602335,0.020958821910347338,0.013944026936404336
amlnet,topology_lr,0.25,,0.042157543140269337,0.03750824392788233,0.03686115080539667,0.10462202726363767,0.07599538976926667
amlnet,topology_lr,1.0,,0.049527346817687334,0.029646792393768332,0.06891267839397934,0.089394543836587,0.04852059454580467
amlnet,xgboost,0.01,,0.2419682601201287,0.347187784927846,0.3431937798050054,0.33612418026822,0.34769211201431904
amlnet,xgboost,0.05,,0.4473753801342264,0.511345781436218,0.5066781582823904,0.5778332808843857,0.44745599030782907
amlnet,xgboost,0.1,,0.6543868299446481,0.6820488571527371,0.6514331572763568,0.618606475497243,0.6547291902736104
amlnet,xgboost,0.25,,0.892247335163896,0.7741554936454534,0.8644921241737636,0.8287007123447787,0.835829960140213
amlnet,xgboost,1.0,,0.9747406438827725,0.9743830738285578,0.9733845028053135,0.9739713422774985,0.9739537588887645
transxion,graphsage_lite,0.01,,0.11416706857655634,0.10446120388144468,0.11247637698433734,0.10679849808744668,0.102954026317872
transxion,graphsage_lite,0.05,,0.09651384661841701,0.09301356625567668,0.07875485424994468,0.08909870680385601,0.078045462746339
transxion,graphsage_lite,0.1,,0.08866429410647099,0.08799404180885734,0.096038632146828,0.08616734001713568,0.09598809739122934
transxion,graphsage_lite,0.25,,0.10947283022699368,0.08948702423344668,0.10868623813498168,0.10144623109418067,0.09503320533113135
transxion,graphsage_lite,1.0,,0.12257084985916335,0.11386142066046967,0.114710926635324,0.12546795586831402,0.12891322578772302
transxion,lightgbm,0.01,,0.034291925974555666,0.04371487839221234,0.03708215781212534,0.032769722203199,0.03282267282287967
transxion,lightgbm,0.05,,0.10139634735186769,0.09648261834017902,0.09488221658736834,0.09085343417268933,0.10236471551064101
transxion,lightgbm,0.1,,0.14626458440860368,0.13513076464224902,0.13097898328807933,0.12499455278568435,0.13706774672603836
transxion,lightgbm,0.25,,0.18087992596763802,0.169767816855841,0.17287443430129434,0.16899941940801835,0.181727074363531
transxion,lightgbm,1.0,,0.25238245137909704,0.25124769931894203,0.24737677804018401,0.25331928679466437,0.26191215000290236
transxion,topology_lr,0.01,,0.006663624706424,0.005121503676598333,0.008693218912870334,0.007741350461451334,0.006120453116534002
transxion,topology_lr,0.05,,0.004639973496472333,0.005414340853344667,0.0056602297349033345,0.005784708473203667,0.008766975716944334
transxion,topology_lr,0.1,,0.007073549056249334,0.00594296060506,0.007353598800076334,0.004512719772378667,0.009197539704382668
transxion,topology_lr,0.25,,0.013454418196676336,0.007234125753834667,0.012075756385521668,0.021881511931196,0.022660159823185668
transxion,topology_lr,1.0,,0.047217928737703,0.041322742743087004,0.06312941438934401,0.05920637604398033,0.05324353813891634
transxion,xgboost,0.01,,0.016478928671334003,0.017438259985583335,0.018459334011170336,0.019414411809547668,0.017233893789043334
transxion,xgboost,0.05,,0.07360135456274035,0.06680710609340033,0.06623168303698068,0.066385658569657,0.07182609434702135
transxion,xgboost,0.1,,0.11170202800947,0.10248798649695201,0.09924193628547734,0.10598478949297901,0.11446317800945068
transxion,xgboost,0.25,,0.15032448907754567,0.14309027553454134,0.13971584592951,0.14837091684954867,0.15845957675827002
transxion,xgboost,1.0,,0.2378654654707367,0.2496076557154344,0.22789679742627902,0.24592797720638168,0.23693508973290536
