augmentation,auprc,auroc,brier,dataset,detector,ece,f1,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr
none,0.020873114780742,0.814511249311883,0.47739920613823206,transxion,logistic,0.501545631107437,0.004996158059084,1,0.026542547859943002,0.002505468414372,0.034368070953436004,0.12860310421286,0.23725055432372502,0.5,0,902,2960,50000,1.5485303401947021,0.025816781320977002,0.820161938195308,0.33768489145283304,0.357643582425933,0.00583173381579,0.034198315782399,779,0.0029263347081720003,0.03594351732991,0.169448010269576,0.377406931964056
random_graph,0.11264650905237901,0.778291778242125,0.606517450389509,transxion,logistic,0.639774588352031,0.0038928021525500003,1,0.016112862885373003,0.0019509018755310002,0.211751662971175,0.48891352549889106,0.5055432372505541,0.5,0,902,4440,51480,1.652470350265503,0.104116435232792,0.79485839292196,0.453730127917764,0.48676411088709903,0.00431678900936,0.023970134027358002,779,0.002164071019341,0.21437740693196403,0.43003851091142403,0.44672657252888304
adv_no_projection,0.044009007917670005,0.7498902691347921,0.39082309065547205,transxion,logistic,0.42988283222164103,0.005055248829732,1,0.023635968051724,0.002536359596021,0.08980044345898,0.37804878048780405,0.42682926829268203,0.5,0,902,4440,51480,1.622152328491211,0.03226595717492,0.7694608757758461,0.251263740375619,0.28235996438466904,0.0063742973387890004,0.033463103931564,779,0.0032017075773740004,0.06033376123234901,0.34146341463414603,0.39152759948652105
random_feasible,0.05906455832512301,0.7395859352823411,0.539187248791694,transxion,logistic,0.5762652422104071,0.0039563046865460005,1,0.015070719804891,0.001983229334721,0.11640798226164001,0.43348115299334805,0.46119733924611905,0.5,0,902,4440,51480,1.610513687133789,0.047776503974464,0.7602051019264111,0.397155862086761,0.43216833882814304,0.004492966458335,0.023622011276500002,779,0.0022531437444810003,0.10783055198973,0.39281129653401803,0.41591784338896004
ours,0.053151228308191,0.752296387002608,0.516109036049155,transxion,logistic,0.554187086485476,0.004160768796598001,1,0.017367206132131,0.0020859444676540003,0.123059866962305,0.399113082039911,0.429046563192904,0.5,0,902,4440,51480,1.589818954467773,0.042784067595304,0.77832999066731,0.357590454638256,0.39081821924380306,0.005119741318333,0.028660864042219004,779,0.002568294238657,0.110397946084724,0.35815147625160404,0.386392811296534
none,0.260568138862235,0.9418471333414641,0.005856189128724001,transxion,lightgbm,0.012164612579176,0.24051329055912002,1,0.32181200854205305,0.14408082582912302,0.356984478935698,0.709534368070953,0.751662971175166,0.5,0,902,2960,50000,10.169210195541382,0.30476674482925104,0.9450273826410011,0.005271595978031,0.011220025449635001,0.25187284875480803,0.34395339437405903,779,0.14951923076923002,0.377406931964056,0.793324775353016,0.8125802310654681
random_graph,0.266491921634364,0.9392141423808191,0.005419249461713,transxion,lightgbm,0.011369938196776001,0.25920125293657004,1,0.33808718169565904,0.15739419876367,0.35920177383592,0.7228381374722831,0.753880266075388,0.5,0,902,4440,51480,8.963104486465454,0.303424593822397,0.946696075296054,0.004800577619812001,0.010392624131182,0.26901347240330203,0.35719970911764404,779,0.16191472665445902,0.37483953786906204,0.7894736842105261,0.820282413350449
adv_no_projection,0.26530904498984903,0.945806886462018,0.005744185996381,transxion,lightgbm,0.012720120580955,0.248405253283302,1,0.32939781403205504,0.149503161698283,0.349223946784922,0.720620842572062,0.7527716186252771,0.5,0,902,4440,51480,11.290833473205566,0.30758523873200805,0.949818080065266,0.005089102585288,0.011599771148852,0.25871061965366104,0.349081370794781,779,0.15445939212755302,0.386392811296534,0.794608472400513,0.8177150192554551
random_feasible,0.258049852331374,0.9403588386683921,0.0057092518343830004,transxion,lightgbm,0.011777159605244001,0.24872809496890902,1,0.32925981207285104,0.14982973893303,0.348115299334811,0.7161862527716181,0.747228381374722,0.5,0,902,4440,51480,10.409956455230713,0.300180102069382,0.9475689035748871,0.005019076271797001,0.010699351846383001,0.26295666949872504,0.35230115357525804,779,0.157546449478238,0.373555840821566,0.7907573812580231,0.8125802310654681
ours,0.260713344401704,0.940930127522496,0.0060771053163550005,transxion,lightgbm,0.013172579959498,0.234517222916294,1,0.317125110749416,0.139757498404594,0.348115299334811,0.71840354767184,0.7461197339246121,0.5,0,902,4440,51480,9.953348875045776,0.30055403321211305,0.9471753451072871,0.005369257998726,0.012016923990441,0.24725384461753502,0.33948722747216303,779,0.146404919583727,0.37869062901155304,0.79204107830552,0.8125802310654681
none,0.05374171343496,0.8032278064919811,0.297472642999907,transxion,topology_lr,0.349042685356303,0.0066688960015280005,1,0.034936218871902,0.0033488782697140003,0.097560975609756,0.409090909090909,0.48004434589800404,0.5,0,902,2960,50000,1.072645425796508,0.044149637410512005,0.794011897135058,0.280030767060344,0.32578896325350204,0.006060419929772001,0.033716594218092005,779,0.003042340958029,0.089858793324775,0.38767650834403006,0.41848523748395305
random_graph,0.068461374298086,0.7294268679818481,0.1417443464167,transxion,topology_lr,0.207290034572119,0.010389131936449001,1,0.045207155000529006,0.00523808197041,0.174057649667405,0.414634146341463,0.43791574279379103,0.5,0,902,4440,51480,1.168840169906616,0.050402415305913,0.7353969889687081,0.131243347795603,0.188269785855245,0.009725843963633001,0.04446791528286,779,0.0049013638577690005,0.12836970474967901,0.38254172015404303,0.40179717586649505
adv_no_projection,0.044118461503415,0.7915646513889381,0.154770150322353,transxion,topology_lr,0.23269478541462302,0.01049163340808,1,0.049589927065860004,0.005284403669724,0.059866962305986,0.414634146341463,0.467849223946784,0.5,0,902,4440,51480,1.109660863876342,0.033359447735433,0.7876267075477461,0.14201836310236102,0.20989985135114902,0.009430276337287,0.045968893367541,779,0.004747981437270001,0.04364569961489,0.36842105263157804,0.41591784338896004
random_feasible,0.040059493603716,0.7238758858209171,0.18381984827799702,transxion,topology_lr,0.26036646039850103,0.008089607965152,1,0.037337114767461,0.0040701881331400005,0.05210643015521001,0.41906873614190604,0.44345898004434503,0.5,0,902,4440,51480,1.161084175109863,0.031517328064489,0.7282233755280141,0.16605028806934602,0.23297318021979202,0.007734789536376001,0.037718283179467,779,0.0038908386313580004,0.038510911424903004,0.37997432605905,0.40179717586649505
ours,0.033940121403956004,0.7133189352040631,0.21357897824819702,transxion,topology_lr,0.303998035766039,0.0070976279917150005,1,0.033346956547241,0.0035679126517700003,0.036585365853658,0.381374722838137,0.417960088691796,0.5,0,902,4440,51480,1.016849279403686,0.027720235238799,0.720771753433039,0.194542195469487,0.27159102468366103,0.006765640588557001,0.033934269580072,779,0.0034003214366350003,0.029525032092426004,0.36456996148908805,0.39281129653401803
